,id_news,country,media_outlet,url,title,text,date
36,21917890.0,chile,radiosago,https://www.radiosago.cl/core-aprobo-274-millones-para-implementar-control-de-las-nuevas-cuarentenas-en-la-region-de-los-lagos/,CORE aprobó $274 millones para implementar control de las nuevas cuarentenas en la región de Los Lagos,"El Consejo Regional en sesión virtual dio su aprobación al proyecto presentado por la seremi de Salud de Los Lagos en relación a la obtención de los recursos para la implementación de los controles para las nuevas cuarentenas que comienzan mañana jueves en las comunas de Osorno, Puerto Varas, Puerto Montt, Calbuco Ancud, Castro, Dacahue, y Quellón. Al respecto, Juan Cárcamo, Presidente del Consejo Regional manifestó que se aprobó por mayoría de votos el programa de fiscalización y fortalecimiento de las barreras sanitarias para toda la región de Los Lagos, esperando que lo más pronto posible estos recursos sean transferidos a la seremi de salud a través de ítem de emergencias con el Ministerio de Interior. En torno a posibles recursos para las familias más vulnerables que enfrentarán una nueva cuarentena, el presidente del Core sostuvo que están esperando noticias de aquello por parte del Gobierno central, pero por ahora no hay nada concreto. Los recursos aprobados por el Consejo Regional se destinarán en recurso humano, gastos de operación y habilitación para efectuar la puesta en marcha del periodo de confinamiento de 8 comunas para la región de Los Lagos.",2021-01-14
63,21918342.0,chile,radiosago,https://www.radiosago.cl/570-casos-nuevos-por-covid-19-informa-region-de-los-lagos-hay-6-camas-uci-disponibles/,570 casos nuevos por covid-19 informa región de Los Lagos: Hay 6 camas UCI disponibles,"En un nuevo balance de las autoridades a nivel regional se informó sobre 570 nuevos contagios por coronavirus, de ellos, las comunas con números mas altos fueron Puerto Montt con 177 casos, Osorno con 115, Ancud con 36 y Río Negro con 31. A la fecha son 35.305 contagiados, de los cuales, 3.312 son activos y 31.610 se han recuperado. Sobre decesos, esta jornada no se reportaron nuevas víctimas, con ello, a la fecha son 319 las personas fallecidas. Respecto a los hospitalizados, se informan 372 personas, 69 están en la Unidad de Cuidados Intensivos conectados a ventilación mecánica. Por último sobre la disponibilidad en la red asistencial, se reportan 6 camas y 19 ventiladores mecánicos disponibles. Comenta!#wpdevar_comment_1 span,#wpdevar_comment_1 iframe{width:100% !important;} #wpdevar_comment_1 iframe{max-height: 100% !important;}/* custom css */ .tdi_3.td-a-rec{
112,21445711.0,chile,elrepuertero,https://www.elrepuertero.cl/noticia/economia/en-castro-se-desarrollara-nueva-version-de-expo-empleos-online-chiloe-2021,En Castro se desarrollará nueva versión de Expo Empleos Online Chiloé 2021," Castro Municipio y AIEP Castro realizarán por tercera vez en siete meses una feria laboral online a través de expoempleos.aiep.cl, con el objetivo de acercar la oferta a la comunidad en un formato que les permita la búsqueda de empleos sin riesgo de contagio de Covid 19. Al respecto, el alcalde de la comuna de Castro, Juan Eduardo Vera, expuso que “nuevamente hemos aunado voluntades y fuerzas en esta alianza público-privada con AIEP para la realización de una nueva Expo Empleo, nuevamente 100% online, respondiendo a la contingencia del coronavirus, lo cual se suma a las iniciativas anteriormente desarrolladas durante el año anterior, para apoyar a los vecinos que lo están pasando mal con la actual crisis.” En esta oportunidad, el edil de Castro quiso hacer extensiva la invitación al resto de los municipios de Chiloé para ampliar la entrega de oportunidades laborales a todas y todos sus residentes, por ello, y gracias al apoyo de Sence Región de Los Lagos, en esta ocasión, la iniciativa público-privada congregará a las comunas de Castro, Ancud, Curaco de Velez, Dalcahue, Chonchi y Quinchao. La Expo Empleos Chiloé es totalmente gratuita y se llevará a cabo entre el 19 y 24 de enero a través de la plataforma expoempleos.aiep.cl, ofreciendo más de 800 puestos laborales.  ",2021-01-19
130,21430933.0,chile,elheraldoaustral,https://www.eha.cl/noticia/regional/consejo-regional-aprobo-274-millones-para-implementar-control-de-las-nuevas-cuarentenas-en-la-region-de-los-lagos-9919,Consejo Regional aprobó $274 millones para implementar control de las nuevas cuarentenas en la región de Los Lagos,"El Consejo Regional en sesión virtual dio su aprobación al proyecto presentado por la seremi de Salud de Los Lagos en relación a la obtención de los recursos para la implementación de los controles para las nuevas cuarentenas que comienzan hoy jueves en las comunas de Osorno, Puerto Varas, Puerto Montt, Calbuco Ancud, Castro, Dacahue, y Quellón. Al respecto el Intendente Regional, Carlos Geisse indicó que “hoy día(ayer) nos informamos que la región tuvo ayer más de 3 mil casos activos. Mañana(hoy) comienza la cuarentena en 8 comunas de la región, en ese contexto la seremi de salud presentó un requerimiento hacia el Consejo Regional para requerir los fondos de emergencia para poder implementar  los controles de estas cuarentenas. Yo quiero agradecer al Consejo Regional la rápida tramitación que tuvieron estos 274 millones para poder ayudar en esa importante labor"". Por su parte el seremi de Salud señaló que “elevamos este requerimiento para tener más recursos en la fiscalización de las cuarentenas que comienzan mañana(hoy). Recordemos que es una cuarentena más acotada, pero donde pretendemos ejercer una fuerte fiscalización. El llamado es a hacer un nuevo esfuerzo, cumplir esta cuarentena, para que comencemos a mejorar nuestros números que hoy nos tienen en una difícil situación”. Asimismo Juan Cárcamo, Presidente del Consejo Regional manifestó que “el Consejo Regional aprobó por mayoría de votos el programa de fiscalización y fortalecimiento de las barreras sanitarias para toda la región de Los Lagos. Nosotros queremos que lo más pronto posible estos recursos sean transferidos  a la seremi de salud a través de ítem de emergencias con el Ministerio de Interior"". Los recursos aprobados por el Consejo Regional se destinarán en recurso humano, gastos de operación  y habilitación para efectuar la puesta en marcha del periodo de confinamiento de 8 comunas para la región de Los Lagos. ",2021-01-14
172,21440606.0,chile,elvacanudo,https://www.elvacanudo.cl/noticia/sociedad/tome-nota-estos-son-los-nuevos-bonos-y-beneficios-que-llegaran-mas-de-220-mil-hogar,Tome nota: Estos son los nuevos bonos y beneficios que llegarán a más de 220 mil hogares en Los lagos,"La Seremi de Desarrollo Social y Familia, Soraya Said Teuber junto al Intendente Regional, Harry Jürgensen anunciaron detalles sobre la postulación a un nuevo IFE COVID y BONO COVID. La entrega de los beneficios variará de acuerdo a las fases de Cuarentena, Transición, Preparación y Apertura. Por ejemplo, para quienes soliciten el beneficio en el mes de enero, se considerará el estado de su comuna entre los días 27 de noviembre y el 31 de diciembre, mientras que, para los hogares y/o familias que soliciten el pago en el mes de febrero se considerará la condición sanitaria de su comuna durante el 28 de diciembre y el 31 de enero. Las postulaciones pueden realizarse a partir del 8 de enero de manera online en www.ingresodeemergencia.cl, cuyo trámite solo requiere fecha de nacimiento, el número de documento del carnet y el rut para acceder a la solicitud en línea. Asimismo, para aquellos hogares que recibieron el Ingreso Familiar de Emergencia, ellos solamente tendrán que hacer un click en la declaración de solicitud, en el caso de las familias que lo están solicitando por primera vez tendrán que completar un formulario muy simple. El monto a pagar dependerá de la fase en que se encuentre la comuna de residencia en el Plan Paso a Paso y el número de integrantes del hogar. Para las comunas en cuarentena se pagará: Hasta $100.000 por persona para comunas que hayan estado al menos 28 días en cuarentena en los periodos señalados y hasta $80.000 por persona para comunas que hayan estado entre 14 y 27 días en cuarentena durante el mismo periodo. ""El IFE Covid y el Bono Covid son instrumentos nuevos que son postulables, se debe generar una declaración de los ingresos para poder tener derecho a esto y ahora tiene una aplicación distinta, en cuanto a que se determina por la fase en que se encuentra la comuna con montos distintos en función del grado de confinamiento que generó una decisión del Estado. La región tendrá hasta 532 mil potenciales beneficiados"",  enfatizó el Intendente Regional, Harry Jürgensen. En la región de Los Lagos las comunas donde aplica el pago de enero del IFE Covid según situación sanitaria con un monto máximo de $80 mil pesos por personas son: Paso 1: Cuarentena del Plan “Paso a Paso”: Ancud, Calbuco, Chonchi, Maullín, Puqueldón, Queilén y Quemchi. Paso 2: Transición” del Plan “Paso a Paso” son: Castro, Dalcahue, Hualaihué, Los Muermos, Osorno, Puerto Montt, Puerto Varas, Purranque, Quinchao, Río Negro y San Juan de la Costa. Mientras que las comunas donde aplica el pago de enero del Bono Covid según situación sanitaria son: Paso 3: Preparación” o “Paso 4: Apertura Inicial” del Plan “Paso a Paso” son:Chaitén, Cochamó, Curaco de Vélez, Fresia, Frutillar, Futaleufú, Llanquihue, Palena, Puerto Octay, Puyehue, Quellón, y San Pablo. DETALLE DE ENTREGA DE BENEFICIOS IFE COVID: En el caso de que la comuna haya estado en Cuarentena, al menos 28 días, los montos a entregar serán de $100 mil por persona integrante del hogar, mientras que las comunas que hayan estado en cuarentena entre 14 y 27 días, el monto llegará a $80.000 por persona. En ambos casos, el monto decaerá a partir del quinto integrante. IFE COVID: Para las comunas que hayan estado en transición, al menos durante 14 días el monto del beneficio llegará a los $40.000 por persona integrante del hogar. El beneficio decae a partir del quinto integrante, con un tope de 10 o más integrantes. BONO COVID: Y para las comunas que hayan estado en preparación y apertura, los montos llegarán a los $25.000. en este caso, el monto tendrá un tope sólo en hogares con con 10 o más integrantes.  Imagen: Huawei / Agencia Uno",2021-01-08
180,21441057.0,chile,elheraldoaustral,https://www.eha.cl/noticia/economia/escuela-de-tecnologia-medica-uach-titula-cuatro-profesionales-9820,Escuela de Tecnología Médica UACh titula cuatro profesionales,"De las menciones Otorrinolaringología y Oftalmología. De las menciones Otorrinolaringología y Oftalmología. El viernes 11 de diciembre por plataforma Zoom se titularon cuatro Tecnólogos/as Médicos en las menciones de Oftalmología y Otorrinolaringología, quienes rindieron su examen de grado exitosamente, ellos/as son, Pamela Leuquén Soto de la mención Oftalmología y Jorge Mardones Meléndez, Julio César Soto González y Miguel Ángel Sebastián Bustamante Subiabre de la mención Otorrinolaringología. El examen estuvo a cargo de la comisión conformada por docentes de ambas menciones y liderada por el profesor David Ávila Quezada y con la presencia de la Directora Académica Mg. Claudia Zil Bontes y la directora de escuela Geovana Casanova Torres. La Directora de Escuela, Geovana Casanova, indicó que se encuentra “feliz y orgullosa del trabajo realizado por el equipo de docentes de la Escuela que están tras la puesta en marcha y todo lo que significa levantar un proceso de esta magnitud, y a pesar de la virtualidad, mantener la solemnidad de los procesos y la exigencia académica propia de un examen de título. Junto con esto se realizaron también procesos de ensayo y contención emocional a nuestros ahora colegas, ya que es un momento muy fuerte emocionalmente el rendir el examen de título y en la presencialidad a veces es más fácil transmitir tranquilidad para que los chicos puedan rendir su examen satisfactoriamente sin que los nervios interfieran en su resultado final, por eso ponemos especial énfasis en el apoyo emocional y tenemos salas virtuales donde los chicos están siempre acompañados en el proceso. Feliz por los colegas recién titulados porque han culminado esta etapa de sus vidas y tenemos la certeza que serán un gran aporte para nuestra sociedad”. Respecto a esta titulación la Tecnóloga Médica mención Oftalmología, Pamela Leuquén, hija única, originaria del sector Pichi Pelluco de Puerto Montt, exalumna de la Escuela Arturo Prat Chacón y el Liceo Isidora Zegers destacó que es la primera profesional por ambos lados de su familia. “El examen de grado es el paso cúlmine de tanto esfuerzo, la instancia en donde apliqué todo lo aprendido y lo di desde mi casa, vía online pero aun así sentí la presión propia del acto. Mi proyección profesional es trabajar en cualquiera de los campos en los que se desarrolla esta hermosa profesión, servicios de salud, como las UAPO (unidad de atención primaria oftalmológica) u hospitales, educación, ópticas, etc. y contribuir con un granito de arena en la salud pública. Lo social también es super importante, sobre todo en estos tiempos”, destacó. Por su parte Jorge Mardones, Tecnólogo Médico mención Otorrinolaringología, proveniente de la ciudad de Curicó, Séptima región, el mayor de dos hermanos. Destacó que “Mi opinión sobre el examen de grado es súper buena, sentí la experiencia como si realmente fuera presencial, los profesores siempre estuvieron al pendiente ante alguna duda de este proceso. Este examen lo rendí en mi hogar, debido a que por la pandemia covid-19 me fui de Puerto Montt y volví a Curicó con mi familia, ya que era mucho mejor para mi estar con ellos. Mi proyección es trabajar de forma independiente con un colega, haremos todo lo posible para lograrlo. Julio Soto, Tecnólogo Médico mención Otorrinolaringología, originario de Ancud, exalumno del Instituto del Mar Capitán Willians, de una familia de 5 hermanos. Indicó que “el examen fue expedito, distinto obviamente, por la pandemia se tuvo que emplear esta forma y creo que está muy bien el hacerlo en casa de tus familiares ya que puede ayudar a la seguridad y apoyo al darlo. Mi proyección es cuanto antes poder comenzar a trabajar en el área en la que me especialicé. Por su parte, Miguel Ángel Bustamante exalumno de la escuela Santa Inés de Puerto Montt y del Liceo Manuel Montt, con tres hermanos y papá de una pequeña niña llamada Amelia. Destacó que el “examen lo realicé desde mi casa y particularmente no tuve problemas con este tipo de modalidad. Extrañamente me sentí muy tranquilo y con cero nervios para rendirlo. Llevo trabajando alrededor de 2 años en un emprendimiento el cual se vincula totalmente con mi carrera. Tengo una página de facebook (Sebastian Tecnologías) y un perfil de instagram (@sebastiantecnologias) en donde vendo diferentes softwares relacionados con rehabilitación vestibular y simuladores para el área de otoneurología y audiología, en donde diferentes especialistas del mundo compran estos simples programas, pero que aportan mucho valor a sus consultas clínicas o a sus clases en universidades. A nivel nacional tengo muchos clientes como tecnólogos médicos, fonoaudiólogos y kinesiólogos los cuales gustan de mis productos informáticos, así también como universidades como la universidad del Bío Bío, UNAB y la UACh. Mi proyección es seguir creando herramientas de simulación debido a la gran aceptación de las instituciones de educación debido a la pandemia y la teleeducación, pero personalmente deseo volver a trabajar en el rol clínico del Tecnólogo Médico Otorrinolaringólogo, seguir ganando experiencia y ayudar a los pacientes”.  ",2021-01-02
181,21443587.0,chile,elheraldoaustral,https://www.eha.cl/noticia/deportes/en-el-inicio-de-la-copa-chile-atletico-puerto-varas-se-quedo-con-el-clasico-ganando-partidos-de-ida-y-vuelta-contra-ceb-puerto-montt-9966,En el Inicio de la Copa Chile: Atlético Puerto Varas se quedó con el clásico ganando partidos de ida y vuelta contra CEB Puerto Montt,"El pasado sábado 16 de enero se dio inicio a la Copa Chile, luego de 10 meses de suspensión debido a la pandemia y, al equipo local Atlético Puerto Varas le tocó iniciar las fuegos enfrentándose, en un clásico cestero del sur de Chile, a CEB Puerto Montt. Los locales vencieron a sus rivales en ambas jornadas, con resultados de 80-65 el sábado de local, y de 60-82 el domingo de visita en Puerto Montt. Cabe señalar que los encuentros siguen todas las normas que impone la actual situación epidemiológica y se juega sin público. Cabe señalar que en la Copa Chile están participando 12 equipos de la primera división del básquetbol nacional, los cuales, se agrupan en tres zonas, siendo la ZONA C donde Atlético jugará esta fase junto a CEB Puerto Montt, CD Las Ánimas, y ABA Ancud. Durante la fase zonal se disputarán seis juegos, enfrentándose a cada rival de zona tanto de local como visita, fase que está programada hasta el 31 de enero. Los primeros de cada zona más el mejor segundo avanzarán a semifinales. En el cuarto fin de semana de juego tendrá lugar el Final Four, con semifinales y una gran final para definir al campeón. Próximo Encuentro Este fin de semana Atlético enfrentará a Las Ánimas jugando de visita el sábado 23 de enero y de local el domingo 24 de enero. Todos los partidos son transmitidos via streaming a través de Facebook Live y Youtube Live de LNB Chile Atlético Puerto Varas está dirigido por Leonardo Monsalve quien cuenta con un plantel formado por: el refuerzo extranjero, Arnold Louis. Además, Patricio Arroyo, Tomás Álvarez, Héctor Gómez, Juan Fontena, Daniel Arcos, Nicolás Villagrán, Rodrigo Muñoz, Peterson Alday, Joaquín Pino, Joaquín Maldonado, Alejandro Zuhayle, Raimundo Norambuena, Joaquín Pino, Nicolás Murillo y Francisco Salamanca. El campeón de la Copa Chile, que antes solo medía en un cuadrangular a los dos mejores de la Conferencia Centro y Sur, se ganará un lugar en la Súpercopa 2021, torneo en la que desafiará al monarca de la Liga, que arrancará un fin de semana después del término del primer certamen del año y que no tendrá descensos. La Segunda División, en tanto, tiene su inicio programado para marzo. ",2021-01-19
188,21435145.0,chile,elheraldoaustral,https://www.eha.cl/noticia/regional/zorro-chilote-hallado-en-un-pozo-en-la-comuna-de-ancud-vuelve-a-su-habitat-tras-un-mes-de-rehabilitacion-9954,Zorro chilote hallado en un pozo en la comuna de Ancud vuelve a su hábitat tras un mes de rehabilitación,"El zorro chilote, es una especie endémica del sur de Chile que se encuentra en peligro de extinción. El zorro chilote, es una especie endémica del sur de Chile que se encuentra en peligro de extinción. En un esfuerzo conjunto entre distintas instituciones y luego de un mes de rehabilitación fue posible devolver a su hábitat a un ejemplar de zorro de Chilote que fue hallado en un pozo en el sector rural Puntra Estación, en la comuna de Ancud, donde se estima habría permanecido alrededor de tres semanas y donde se habría alimentado de animales muertos que se hallaban en el lugar y que también habría caído al pozo. Según los antecedentes aportados por Javier Cabello Stom, Médico Veterinario y presidente de la ONG Chiloé Silvestre, se trata de un ejemplar macho de alrededor de un año y medio de vida. “De acuerdo al estado en que fue encontrado su salud estaba deteriorada y principalmente afectado por la deshidratación, por lo que fue necesario trasladarlo a un centro de recuperación para procurar mejorar sus condiciones físicas”, señaló el profesional. Se trata de las especies de cánido en mayor riesgo de extinción en el mundo, cuya población se concentra en un 90% en la Isla de Chiloé, existiendo también en otras zonas de bosques templado en el sur del país. La población total se estima en cerca de 600 ejemplares actualmente y va en decrecimiento. Para Javier Cabello, se trata de “noticias tristes, pero con final feliz, porque después de un mes de recuperación el ejemplar fue devuelto a su hábitat. Esto nos permite recordar a las personas que tenemos especies endémicas que están en peligro de extinción y que debemos conocerlas y apreciarlas para poder cuidarlas”. Con ello hizo referencia a las principales causas de amenaza del zorro chilote, que son víctimas de ataques de perros, transmisión de enfermedades, víctimas de cacería, lo más grave aún es que se están quedando sin hábitat para vivir producto de la disminución de los bosques nativos. El tratamiento fue realizado en Chiloé-Silvestre que, con mucho esfuerzo, recursos propios y el aporte y trabajo de voluntarios, rescatan y tratan animales de fauna silvestre de toda la provincia, en colaboración con redes de rescate y el apoyo del Colegio Médico Veterinario. Chiloé Silvestre, la ONG a cargo de este rescate, se dedica a la conservación de la biodiversidad en Chiloé, siendo el único centro de rehabilitación que existe en la Isla Grande, actividad que se complementa con acciones en educación ambiental y el desarrollo de proyectos de investigación en conjunto con Buin Zoo, la Universidad de Santiago y el Ministerio de Medio Ambiente.   ",2021-01-19
195,21439877.0,chile,elheraldoaustral,https://www.eha.cl/noticia/deportes/un-centenar-de-proyectos-fueron-postulados-al-fondeporte-2021-de-mindep-ind-en-la-region-10033,Un centenar de proyectos fueron postulados al FONDEPORTE 2021 de Mindep IND en la región,"Las iniciativas corresponden a las categorías Formación para el Deporte, Deporte Recreativo y Deporte de Competición. Las iniciativas corresponden a las categorías Formación para el Deporte, Deporte Recreativo y Deporte de Competición. Cien proyectos fueron presentados por organizaciones deportivas, juntas de vecinos y municipios de la región al concurso público del Fondo Nacional para el Fomento del Deporte, FONDEPORTE 2021 de Mindep IND. Así lo informó el Seremi del Deporte, Matias Bahamonde Maldonado, quien se refirió a las categorías presentadas, señalando que “este año postularon cien proyectos al FONDEPORTE 2021, específicamente 29 en la categoría Formación para el Deporte, 37 Deporte Recreativo y 34 Deporte de Competición. Este fondo, que el Ministerio del Deporte tiene a disposición de las organizaciones a través del Instituto Nacional de Deportes, es para nosotros una herramienta de fomento deportivo importante para las entidades deportivas, que tiene por objetivo financiar total o parcialmente distintos proyectos, programas, actividades de promoción de ejecución, práctica  y de desarrollo de iniciativas en sus diversas modalidades y manifestaciones, con el objetivo de mejorar la calidad de vida de la comunidad”. En tanto, el Director Regional del IND, José Moraga Lira se refirió a las comunas que presentaron proyectos, detallando que “las iniciativas fueron postuladas este año por las siguientes comunas: Ancud 4, Cochamó 3, Curaco de Vélez 2, Fresia 1, Frutillar 1, Futaleufú 3, Hualaihué 1, Llanquihue 3, Los Muermos 2, Osorno 12, Puerto Montt 23, Puerto Octay 4, Puerto Varas 6, Puqueldón 3, Purranque 12, Quellón 4, Quinchao 12, Río Negro 2 y San Pablo 2”. El cronograma del concurso público FONDEPORTE 2021 continúa con las etapas de evaluación de proyectos, selección y notificación, esta última estimada para el mes de marzo de este año. ",2021-01-27
209,21430939.0,chile,elheraldoaustral,https://www.eha.cl/noticia/regional/medida-rige-a-partir-de-este-sabado-a-las-05-horas-todas-las-comunas-de-las-provincias-de-llanquihue-y-osorno-estaran-en-fase-2-9859,Medida rige a partir de este sábado a las 05 horas: Todas las comunas de las provincias de Llanquihue y Osorno estarán en Fase 2,"El seremi de Salud, Alejandro Caroca, informó que a partir de este sábado 9 de enero, a las 05 horas, todas las comunas de las provincias de Llanquihue y Osorno se encontrarán en Fase de Transición (Paso 2) del Plan Paso a Paso, lo que significa que tendrán cuarentena los fines de semana y festivos. Según explicó la autoridad sanitaria, “con esta medida queda prácticamente toda la Región como un área territorial común, a excepción de la provincia de Palena, que está en Fase 4”. Frente a la determinación de considerar a unidades territoriales más extensas a la hora de aplicar el plan Paso a Paso, el médico epidemiólogo José Antonio Vergara, dijo celebrar la decisión, “tomando en cuenta la realidad sociológica de provincias como las nuestras. Todos sabemos que nuestras provincias funcionan como una especie de sistema solar; hay una gran ciudad en torno a la cual orbitan comunidades más pequeñas y con las cuales tiene inmensa interacción”. El profesional agregó que “estamos muy preocupados por el aumento de la incidencia de casos, es decir, la aparición de nuevos casos, y en la medida que ingresan nuevos casos va aumentando nuestra especie de piscina de casos activos, que son los que recién se han diagnosticado y que son infectantes”. Proceso de vacunación En una línea paralela, el seremi de Salud, junto a la directora del Hospital de Puerto Montt, Mónica Winkler, valoraron la culminación exitosa del primer proceso de vacunación contra el Covid19, que se efectuó este martes en la Región. En ese sentido, Caroca informó que se entregaron 540 dosis, desglosados en 265 vacunas en el Hospital Puerto Montt, 20 en la Clínica Universitaria Puerto Montt, 20 en la Clínica Puerto Montt. El Hospital Base de Osorno recibió 117 vacunas, y la Clínica Alemana de Osorno 48 vacunas, mientras que en Chiloé, el Hospital de Castro recibió 60 vacunas y el Hospital de Ancud 10 vacunas. “Estamos tremendamente contentos con el inicio de este proceso de vacunación, fue realmente impecable, fue bastante emocionante, en especial para los profesionales y funcionarios de los hospitales y clínicas, y esto nos abre una luz de esperanza en poder rápidamente terminar con esta pandemia que ha sido tan dolorosa para todos”, dijo el seremi de Salud. ",2021-01-08
211,21430950.0,chile,elheraldoaustral,https://www.eha.cl/noticia/regional/autoridades-supervisaron-diversos-puntos-de-fiscalizacion-en-inicio-de-cuarentena-en-puerto-montt-9928,Autoridades supervisaron diversos puntos de fiscalización en inicio de cuarentena en Puerto Montt,"Hasta el Paseo Talca de Puerto Montt llegó ayer el Intendente Regional, Carlos Geisse, acompañado de la Gobernadora de Llanquihue, Leticia Oyarce, el Secretario Regional Ministerial de Salud de Los Lagos, Alejandro Caroca y el Jefe de la Defensa Regional, General Cristian Eguía para supervisar en terreno las fiscalizaciones y controles por inicio de cuarentena en la capital regional. A las 05:00 hrs de la madrugada ayer jueves se dio inicio a la cuarentena para 8 comunas de la región de Los Lagos: Osorno, Puerto Varas, Puerto Montt, Calbuco Ancud, Castro, Dacahue, y Quellón. Por ello, las autoridades encabezadas por el Intendente Carlos Geisse verificaron en terreno el cumplimiento de las medidas por parte de la ciudadanía como contar con los permisos de desplazamiento respectivos, cédula de identidad, pasaporte sanitario, contrato de trabajo en caso de ser requerido para trabajadores y uso de elementos de protección personal. Geisse hizo un llamado enérgico a los habitantes de las comunas en inicio de cuarentena y a todos los habitantes de la región poder respetar y hacer un esfuerzo para tener un cuarentena corta y no seguir con aumento de casos covid-19 “estamos viendo la fiscalización de la cuarentena aquí en Puerto Montt, la información que hay hasta el momento es que hay 14 detenidos en Puerto Montt por infringir esta cuarentena y ya van 9 vehículos que se les ha cursado una infracción por violar la restricción vehicular que hay hoy día de los dos dígitos. El acceso a Puerto  Montt en la ruta 5 está bastante congestionada y eso es producto de la fiscalización que se está haciendo para el ingreso norte por Puerto Montt”. Agregó que “este es un cambio con respecto a la cuarentena anterior que no tenía limite, esta si tiene límite ahora es periodo máximo de 4 semanas, por lo que le pedimos a la ciudadanía que cumpla esta cuarentena porque realmente es la única forma que tenemos de controlar esta pandemia.  Esta pandemia no es una enfermedad más, es una pandemia que trae muertos, hay muchos fallecidos tanto en Puerto Montt como en Osorno y es por ello que debemos hacer estas cuarentenas, no es para complicarles la vida a la gente”. Por su parte el seremi de Salud, Alejandro Carocca indicó que “hemos estado planteando la situación dramática que estamos teniendo en plena navidad y año nuevo y lo que estamos viviendo ahora es simplemente las consecuencias del comportamiento  que nosotros hemos tenido así que el mensaje es siempre el mismo y ahora hemos pasado a una etapa de mayor fiscalización y que tiene que ver con disminuir la movilidad es decir a través de la disminución de la movilidad poder mejorar nuestras cifras de contagio tanto en los casos nuevos como los antiguos”. El Jefe de la Defensa Regional, General Cristian Eguía “tenemos varias unidades móviles fiscalizando dentro de la ciudad para poder verificar que las personas anden con sus permisos pero aquí lo principal es que la gente por favor cumpla con esta cuarentena, es muy importante bajar los índices de contagio, estamos bordeando casi los mil solamente en la capital regional de activos con un promedio de casi 500 diarios en la región, así que lo principal es disminuir el  desplazamiento que se queden en casa que hagan esta cuarentena obligatoria que salgan  estrictamente lo necesario el permiso de desplazamiento cambio también solo es por 2 horas así que tienen que programarse para poder hacer en 2 horas y solo 2 veces por semana para evitar ser multados por no andar con los permisos”. Fiscalizaciones La nueva cuarentena para la región contempla diversos puntos de fiscalización, control de aduanas sanitarias y patrullas sanitarias en las 8 comunas de las provincias de Osorno, Llanquihue y Chiloé que inician confinamiento durante esta jornada. La Gobernadora Provincial, señaló que esta es una  situación crítica que pone en  riesgo la vida de las personas. “Por eso hemos reforzado la fiscalización, sobre todo en los peatones y  los vehículos. Invitamos a la comunidad a respetar las medidas,  a quedarse en casa y hacer un esfuerzo adicional por estas primeras dos semanas para disminuir los contagios y salir lo antes posible de esta cuarentena”. Recordar que las cuarentenas o fase 1 para las comunas de la región tienen una duración máxima de 1 mes y se enmarcan en los cambio en el Plan Paso a Paso del Ministerio de Salud.  ",2021-01-15
