,title,text
0,Ordenan cambio de celda por recluso covid positivo,"Los alcances del primer interno contagiado con covid-19 que contabilizan las cárceles de la provincia siguen extendiéndose, después que la defensa de uno de los dos reclusos con los que comparte celda de aislamiento en audiencia de cautela de garantías exigiera su traslado a otra repartición dentro de la unidad penal de Castro. El requerido de 50 años arrojó negativo al examen de PCR que fue sometido por permanecer en contacto con este condenado que se infectó en su salida trimestral -cumple sentencia en el CET de Osorno por un robo con homicidio cometido en Dalcahue-, tras visitar a su familia en Chonchi. Por ser el penal castreño el más cercano fue remitido al recinto de calle Monjitas. Ante los riesgos de propagación, el defensor Nelson Troncoso, quien representa al sujeto que está en prisión preventiva por un caso de lesiones menos graves en contexto de violencia intrafamiliar pidió su cambio de módulo. ""La magistrada se contactó con Gendarmería y ordenó que se separara del contagiado con coronavirus y que permaneciera en otra celda cumpliendo con su aislamiento preventivo"", indicó el abogado. Igualmente, el profesional remarcó que hoy, también por este mismo isleño, se analiza un recurso de amparo que interpuso ante la Corte de Apelaciones de Puerto Montt para impugnar la decisión que lo privó de libertad por esta causa de VIF. ""Pedimos que se suspenda el procedimiento por enajenación mental y salga de la cárcel, ya que presentamos informes siquiátricos, la ficha clínica que demuestra esta condición"", manifestó el abogado."
1,Con 14 pruebas buscan acreditar ataque a mujer,"Con la confirmación de los 14 medios de prueba establecidos en la acusación se preparó en las últimas horas el juicio oral contra un sujeto que arriesga 8 años de cárcel por embestidas contra su expareja, en el sector alto de Castro. Otra muestra de los alcances de la violencia intrafamiliar (VIF) en Chiloé. En audiencia realizada vía remota con el Juzgado de Garantía local, el Ministerio Público presentó la evidencia contra el imputado de iniciales P. J. R. O. (34), quien enfrenta cargos por lesiones menos graves y desacato contra la mujer de 38 años, por los hechos registrados el 3 de junio del 2020. Durante esa noche, como expuso el fiscal Luis Barría en su requerimiento, el sujeto llegó al domicilio de la víctima y la agredió con un objeto contundente en la cabeza y también le provocó heridas en el cuello y la mano derecha. Con ello, igual habría quebrantado una prohibición de acercamiento por una condena por amenazas del 1 de abril de ese mismo año. Tal como remarcó el persecutor, con la prueba fijada se busca acreditar la existencia de los ilícitos y la participación del obrero. ""Se mantuvieron todos los antecedentes probatorios, como los testigos, los peritos y documentos. Creo que tenemos la información necesaria para una eventual condena"", explicó el abogado. La declaración de la afectada se constituye en el puntal acusatorio. Sin embargo, el abogado igual relevó ""el trabajo de Carabineros que abordó el procedimiento, los certificados de lesiones y las resoluciones de cautelares vigentes"", para llegar a desvirtuar la presunción de inocencia del imputado. Por su parte, la absolución invocará el defensor Juan Manuel Castro en favor de su representado, en el juicio oral que en las próximas horas será fijado. Aclaró el profesional que ""descartamos la existencia del desacato porque ambos estaban juntos de forma voluntaria, como pareja. Mientras que las lesiones respondieron a una agresión previa de parte de la víctima"". Más allá de esta teoría del caso, el jurista igual reconoció que se exploró un eventual procedimiento abreviado. ""Estuvimos en conversaciones, pero se agotaron las posibilidades"", enfatizó. A ello, agregó el fiscal Barría que no se llegó a acuerdo, puesto que el encartado ""tiene antecedentes penales anteriores, por lo cual todas las condenas que se impongan tienen que ser efectivas"". Incluso, se invocó la agravante de reincidencia específica en esta causa por la cual el capitalino se encuentra privado de libertad desde el momento de su aprehensión, la misma jornada de los hechos. 7 documentos y cinco testigos fijó el Ministerio Público en la audiencia."
2,Joven admite 5 delitos de VIF contra su expareja y accede a pena remitida,"En una gráfica muestra de los alcances de la violencia intrafamiliar (VIF), donde pese a una serie de episodios de agresividad la víctima se retracta, un sujeto fue sentenciado en las últimas horas por cinco delitos en perjuicio de una joven de 24 años. Sin embargo, los intervinientes habrían reiniciado su relación. La espiral de violencia no sólo fue expuesta en el Juzgado de Garantía de Castro, sino que también fue reconocida por el imputado, identificado con las iniciales F. M. R. A. (27). Por ello, accedió a un procedimiento abreviado que le permitió recibir una exigua sanción. Durante la audiencia remota, se acreditó que el encartado atacó el 18 de junio del 2019 a la madre de su hijo, con quien convivía en una casa del sector Mocopulli, comuna de Dalcahue. La expulsó del domicilio y la amenazó con matarla con un cuchillo. Pese a que un mes después se le impuso al oriundo de Maullín una prohibición de acercarse a la ancuditana, el obrero quebrantó la medida apenas dos días después de ser decretada. Y no solo eso, el 1 de agosto de ese año, volvió a irrumpir contra la afectada en la localidad de Pid Pid (Castro), a quien persiguió en una camioneta y la intimidó. Esta secuencia fue admitida sin reparos por el acusado, más allá de la prueba reunida en su contra, primordialmente testimonial. De esta forma, la magistrada Jesica Yáñez terminó por condenarlo a 41 días de prisión por un delito de lesiones menos graves, dos de amenazas (41 días por cada ilícito) y a dos penas de 300 días de reclusión por igual número de desacatos, todo en contexto de VIF. No obstante, estas sanciones corporales fueron sustituidas por una pena única de 2 años de remisión condicional, quedando sujeto a los programas del Centro de Reinserción Social (CRS) de Gendarmería. A esta resolución se llegó por el acuerdo previo entre los intervinientes, lo cual se posibilitó, como explicó el fiscal Luis Barría, por la circunstancia que el imputado tenía irreprochable conducta anterior. La atenuante sumada a la colaboración sustancial, por aceptar el abreviado, permitió este dictamen. ""Como el imputado no registraba condenas anteriores se le concedió la remisión condicional, con la accesorias legales típicas de los delitos de VIF"", apuntó el persecutor, aclarando también que se analizará si se mantiene la prohibición de acercamiento. Hasta mañana tiene plazo el Ministerio Público para informar al tribunal esta situación. ""El imputado y su defensa manifestaron que se habría reanudado la vida en común entre el acusado y la víctima, lo cual se debe hacer presente una vez que se confirme este escenario. De ser admitido por la afectada, evaluaremos otra medida accesoria que puede ser algún tipo de tratamiento"", recalcó el jurista. Por su parte, el defensor Juan Manuel Castro, resaltó este término judicial, enfatizando que ""los casos se estaban indagando por forma separada, pero al tratarse de una misma víctima e imputado, se decidió por el fiscal agrupar todo en una causa. De ahí se exploró el abreviado que se aceptó, llegando a una pena única"". Asimismo, el profesional coincidió en que se llegó a este dictamen por la irreprochable conducta anterior de su representado, sumando que el joven ""valoró este fallo y ahora sólo está pendiente si se levanta la accesoria""."
3,Castro: retomarán charlas sobre bullying durante marzo,"En marzo se retomarán las charlas online dictadas por profesionales de la Policía de Investigaciones de Chile sobre cyberbullying, luego que este mes concluyera un ciclo destinado a madres, padres y profesores, lo que fue organizado por la Dirección de Seguridad Pública y la Oficina de Inclusión y Asuntos Religiosos del municipio de Castro. Los encuentros estuvieron a cargo del técnico Claudio Moya y la sicóloga Saide Link, ambos del Departamento de Apoyo Comunitario (Dacom) de la PDI y se centraron en definir y explicar lo que es este acoso escolar virtual; sus características y el peligro de ser ejercido desde el anonimato; los delitos asociados como usurpación de identidad y amenazas, y cómo poder identificar si nuestros hijos están siendo víctimas del cyberbullying."
4,Mujer es imputada de matar a su pareja y es perseguida por vecinos,"Por parricidio fue formalizada una joven de 23 años, quien fue detenida por la policía imputada de dar muerte a su ex pareja, la noche del jueves, en la casa donde ella celebraba su cumpleaños, en el pasaje Los Herreros de Villa Artesanía. La mujer, de iniciales Y.A.O.E. -el tribunal prohibió dar su nombre-, también es investigada por otra agresión con arma blanca contra su ex pareja, presuntamente ocurrida entre el 19 y 20 de septiembre de 2020 en el mismo domicilio, y en el contexto de un hecho de violencia intrafamiliar (VIF). Esta vez el desenlace fue distinto. Según lo indagado por la Fiscalía y carabineros del OS9, la joven atacó con un cuchillo carnicero a Marcelo Edgardo Díaz Ruiz (46 años), quien murió producto de las lesiones. Según un testigo del ataque, Y.A.O.E. le propinó una puñalada en el cuello a Díaz Ruiz, quien trabajaba en la Municipalidad de Puerto Montt. La dinámica del parricidio fue dada a conocer en la audiencia de formalización de cargos por el fiscal (s) Andreas Kusch, quien estuvo en el lugar donde se desató la tragedia. Fueron varias las personas, entre amigos, vecinos y familiares, los que llegaron a festejar el cumpleaños de Y A.O.E. El incidente se registró cuando ella, la víctima y un amigo se quedaron solos ingiriendo bebidas alcohólicas en el hogar. El fiscal Kusch mencionó que tras el parricidio, un grupo de vecinos persiguió a la imputada por el barrio para evitar que huyera. ""Había como 20 personas que querían agredir a la imputada en el pasaje. Por ello, se ocultó en una casa vecina. La persona fallecida era su conviviente, con quien tienen un hijo en común. Ya había antecedentes anteriores"", relató el persecutor penal. En la audiencia virtual en el Juzgado de Garantía, el fiscal apuntó que el OS 9 recogió la declaración de un testigo presencial. Este indica que ""comienzan a discutir. El testigo se preocupa de dos niños que lloraban mucho. Ella, mientras discutía con su ex pareja, va a la cocina y llega con un cuchillo carnicero, con empuñadura de madera"". Señala además que cuando la imputada apuñala a Marcelo Díaz a la altura del cuello, el hombre le dijo: ""Viste lo que hiciste"", perdiendo el conocimiento de forma inmediata. En la misma audiencia, el abogado de la Fiscalía recordó una denuncia previa de violencia en contra del trabajador municipal: ""No era primera vez que ocurría esto. Incluso la herida de la víctima ya había cicatrizado"". Esa causa está pendiente aún, por lo cual ya fue formalizada y sigue en etapa de investigación. Ello sucedió en septiembre y estaba sometida a arresto domiciliario parcial y tenía prohibición de acercarse a su ex pareja. El abogado Gonzalo Castro, defensor de la imputada, entregó otra versión de los hechos. ""Mi representada señala que la víctima es la que se autoinfiere la herida en el cuello. Es una situación que ella no buscó, porque estaba en su casa. El único antecedente que existe es que el arma blanca coincide con la herida del cuello"", reveló. Castro agregó en la audiencia virtual que su defendida no habría participado en el hecho. ""Mi representada se tuvo que esconder, porque se produjo una ""funa"". Por ello se tuvo que ocultar. Todas las personas que estaban en el lugar se encontraban en estado etílico"", indicó. Finalmente expuso que los hechos ocurridos acaecieron en un contexto de violencia intrafamiliar (VIF). El magistrado Miguel Ángel García, tras escuchar los alegatos, resolvió la prisión preventiva para la imputada por parricidio. En su argumentación, el juez recordó la causa vigente por VIF del mes de septiembre, donde las ""cautelares eran de no aproximarse a la víctima y arresto nocturno"". Según el magistrado, ""la presencia del fiscal en el sitio del suceso allana la labor con la policía. El fiscal proporciona los datos del sitio del suceso y son concordantes con lo señalado por el testigo. (La imputada) es peligro para la seguridad social, lo que permite concluir que cualquier cautelar alternativa ""Mi representada se tuvo que esconder por una funa. Por ello se tuvo que ocultar."" Gonzalo Castro Defensor de Y.A.O.E. resulta insuficiente y se otorga la prisión preventiva"". García también decretó un plazo de seis meses para el cierre de la indagatoria. El prefecto de Carabineros, teniente coronel Fernando Fajardo, dijo que las unidades especializadas del OS 9 y el Laboratorio de Criminalística (Labocar) están a cargo de la investigación. Explicó que las primeras diligencias arrojaron que había un problema de ""índole sentimental"" entre la pareja, que incluso producto de ello estaban separados. ""Carabineros realizó las primeras diligencias y se logró establecer que el autor material del hecho había sido su ex conviviente, con la que estaba separado. Tenían una relación esporádica y, de acuerdo a los primeros antecedentes, se habría generado esta agresión por una desavenencia de orden sentimental, por el exceso de la ingesta de bebidas alcohólicas"", reveló el oficial. Marcelo Díaz era un funcionario de la Dirección de Tránsito de la Municipalidad. El trabajador tenía un hijo de 4 años con la imputada, quien hasta ayer estaba con su abuela. Sin embargo, esa situación tendrá que ser resuelta por el Juzgado de Familia, ya que no tendría más redes de apoyo. ""Estamos consternados por la pérdida del funcionario Marcelo Díaz Ruiz, quien se desempeñaba en la Dirección de Tránsito del Municipio de Puerto Montt. Expresamos nuestro sentido pésame por este fallecimiento y le enviamos nuestras sentidas condolencias a la familia, colegas y amigos"", se indicó desde el Municipio. 180 días es el plazo decretado por el magistrado Miguel García para el cierre de la investigación. 46 años tenía la víctima, quien murió en el mismo lugar donde fue atacado, con una estocada a la altura del cuello. 22.40 horas fue el llamado a la Central de Comunicaciones de Carabineros (133), dando cuenta del parricidio."
5,PDI y Castro Municipio organizan ciclo de Charlas Online sobre Cyberbullying en los jóvenes,"La última charla realizada en el mes de enero y solicitada por las iglesias evangélicas de la comuna, convocó a familias de distintas partes del país. A través de la Dirección de Seguridad Pública y la Oficina de Inclusión y Asuntos Religiosos de Castro Municipio, y por solicitud de la comunidad evangélica de la comuna, se organizaron ciclos de charlas online dictadas por profesionales de la Policía de Investigaciones de Chile (PDI), orientadas a madres, padres y profesores, sobre la agresión escolar que actualmente se ha trasladado de las aulas al mundo digital.  Para los niños, niñas y jóvenes actuales, las redes sociales se han convertido en un fenómeno en constante despliegue de posibilidades para entablar relaciones con otras personas con las que comparten intereses, preocupaciones o necesidades. Este grupo etario está pasando muchos momentos de sus vidas en un entorno virtual y el último año ha sido exacerbado por la pandemia y el confinamiento, viendo en esta herramienta la “forma” de estar conectado con sus pares. Pero esta nueva manera de crear comunidad, conlleva a muchos peligros, entre ellos el cyberbullying, que genera mucha preocupación entre madres y padres, así lo informó la encargada de la oficina de Inclusión y Asuntos Religiosos, Patricia Contreras, quien agregó que por solicitud del alcalde de la comuna de Castro, Juan Eduardo Vera, debemos estar preocupados de las necesidades materiales de las personas de la comuna, pero también de los efectos sicológicos que ha provocado la pandemia. Las Charlas, que han estado a cargo del técnico Claudio Moya y la sicóloga Saide Link, ambos del Departamento de Apoyo Comunitario (DACOM) de la PDI, se centraron en definir y explicar lo que es este acoso escolar virtual, sus características y el peligro de ser ejercido desde el anonimato, los delitos asociados, como usurpación de identidad y amenazas, y cómo poder identificar si nuestros hijos están siendo víctimas del cyberbullying. Según lo explicado por los profesionales del DACOM, el mal uso de las redes sociales y sin el control efectivo de los padres, puede llevar a situaciones lamentables, ya que las agresiones ahora no sólo ocurren en el recinto escolar, sino que transgreden la privacidad, abordando todos los aspectos de la vida de un adolescente a través de estos medios digitales.  Por su parte, la directora de Seguridad Pública de Castro Municipio, Lorena Barría, indicó que si una familia está pasando por una situación de agresiones escolares reiteradas puede acudir a la Superintendencia de Educación, a la PDI o Carabineros, Fiscalías o Tribunal de Familia, y en la comuna de Castro, la Municipalidad ha dispuesto el número gratuito #1427, perteneciente a esta Dirección, donde las personas podrán ser derivadas a la institución más pertinente según lo amerite el caso. Las Charlas Online de Cyberbullying se retomarán en los meses de marzo y abril, y desde la municipalidad se invitó a los diferentes grupos de la comunidad que estén interesados en abordar esta temática, ya sean colegios, iglesias, centros de padres, entre otros, a solicitar estas capacitaciones para coordinar su realización. "
6,denuncia y ayuda,"violencia contra la mujer.- Uno de los tantos daños colaterales que ha dejado la pandemia del coronavirus a lo largo del archipiélago ha sido el incremento de la violencia contra las mujeres. En los últimos meses se ha evidenciado un alza en las denuncias por violencia intrafamiliar, situando a Chiloé entre las provincias más golpeadas por este flagelo a nivel regional. Las autoridades llaman acudir a las redes de apoyo existentes para combatir las agresiones contra las mujeres. Director: Víctor Hugo Palma Pérez Domicilio: Blanco 324, Of. 203, Castro Teléfono: 65-2534903/65-2534904 Propietario: Sociedad Periodística Araucanía S.A. Representante legal: Rodrigo Prado Lira Email: cronica@laestrellachiloe.cl ""Esperamos no ser discriminados"", Juan Araya, presidente de la Confederación Nacional de Dueños de Camiones de Chile, tras luego que los transportistas pidieran al Gobierno ser incluidos en grupos prioritarios de vacunación. Ancud Castro Quellón Dalcahue Chonchi Ambulancias131 Bomberos132 Carabineros133 Investigaciones134 Emergencia Marítima137 Dólar observado $718,11 Euro $871,22 Peso Argentino$9,11 UF $29.207,23 UTM$51.131,00 6°C / 18°C 5°C / 18°C 5°C / 16°C 6°C / 17°C dinos que piensas"
7,Plan de seguridad amplía sus aristas por pandemia,"Ante los alcances de la pandemia del covid-19 el Plan Comunal de Seguridad Pública en Castro adecuó y extendió sus aristas. A los cuatro focos que apunta: abusos sexuales, robos, consumo de alcohol y drogas, y violencia intrafamiliar, sumó una serie de incivilidades. Este escenario fue destacado por la directora de Seguridad Pública local, Lorena Barría, quien recalcó que se agregaron otras prioridades, ""como los desórdenes en la vía pública, cualquier alteración del orden público, los ruidos molestos y otros"", remarcó. Igualmente, la funcionaria consistorial indicó que los vendedores ilegales también están en la mira. ""La cesantía producto de la pandemia también ha generado que existan más comerciantes ambulantes sin certificación o permiso. Obviamente, la falta de dinero circulante también hace que existan robos o robos con sorpresa"", agregó. Asimismo, dentro del despliegue efectuado para generar tranquilidad en la comunidad, el municipio local continúa con la difusión de la línea vecinal 1427, la implementación de cámaras de televigilancia, el trabajo de los gestores territoriales, los patrullajes preventivos con un nuevo vehículo y la labor del Consejo de Seguridad Pública. ""En el próximo consejo tenemos que abordar el tema de la seguridad en verano, que, aunque sea confinado, nuestros balnearios se alteran en su orden público y seguridad"", manifestó Barría."
8,Isleño que amarró del cuello a su esposa en isla Chaulinec evita drástica sanción,"Tras acogerse la postura de la defensa, la sanción contra un sujeto por el ataque contra su esposa, perpetrado en un apartado sector de la isla Chaulinec, comuna de Quinchao, se verá ostensiblemente disminuida. Los cargos en su contra fueron recalificados, por lo cual pasó de arriesgar 13 años de internación a menos de 300 días. Así quedó establecido en las últimas horas, después de la audiencia realizada en el Tribunal Oral en lo Penal de Castro, donde se analizó el requerimiento de medida de seguridad contra el alguero de iniciales F. H. G. M. (50), quien enfrentó este tipo de acción judicial al ser declarado inimputable. La sala presidida por la magistrada Angélica Monsalve, acreditó que el 19 de marzo del 2020, el isleño que permanecía en estado de ebriedad agredió a su cónyuge de 45 años, en una playa del sector Quentrol. Como expusieron de forma unánime las sentenciadoras, el sujeto tomó una cuerda con la cual le amarró el cuello a la mujer, quien resultó con una ""equimosis lineal perpendicular a eje mayor del cuello, excoriaciones en zona cervical izquierda, equimosis circular en ángulo de la mandíbula izquierda de aproximadamente 2 por 2 centímetros"", como informaron. El Ministerio Público calificó estos hechos como un femicidio frustrado, aduciendo una intención de matar. Sin embargo, la prueba presentada no permitió establecer esta dinámica. Es más, las lesiones fueron calificadas como clínicamente leves. Por ello, las juezas determinaron que se configura solo el delito de lesiones menos graves en contexto de violencia intrafamiliar (VIF). La determinación fue destacada por el defensor Luis Mora, quien no dudó en señalar que esta ""fue la postura que siempre presentamos, desde el inicio de la causa"". Según explicó el jurista, la participación de su representado no estuvo en discusión, pero la figura legal distaba por mucho con lo presentado por el ente persecutor. ""Acá no existió ánimo homicida"", remarcó. Por su parte, el fiscal Luis Barría, manifestó que ""se incorporó en el juicio oral la prueba reunida en la investigación, incluyendo la declaración de la víctima, de funcionarios de Carabineros y peritos del Servicio Médico Legal (SML). El tribunal valoró esta prueba, acreditando los hechos por los cuales requerimos. Si bien recalificó a un delito distinto, se logró una condena"". Asimismo, el profesional se mostró satisfecho con este veredicto, ""dada la complejidad del caso y de la forma de realización del juicio, vía Zoom, al encontrarnos en pandemia. Además, la afectada vive en un sector aislado, en la isla de Apiao (Quinchao), por lo cual debió ser trasladada con todas las medidas se seguridad para participar de la audiencia"", aclaró. Debido a este dictamen, el fiscal debió rebajar su pretensión punitiva a 300 días de internación en un recinto siquiátrico, lo cual fue rebatido por la defensa, que en su requerimiento principal instó porque se dé por cumplida la sanción, debido al tiempo en que su representado estuvo privado de libertad, tanto en prisión como arresto domiciliario. Como argumentó Mora, por el tipo delictual que se estableció, las penas van entre 61 a 540 días de presidio. Sin embargo, al tratarse de medidas de seguridad, recalcó que debe aplicarse el mínimo legal. Bajo este escenario, el especializado en estas materias legales manifestó ""cualquiera sea el resultado no pedimos internación, ya que esa disposición se debe decretar sólo hasta que las condiciones que las hacen necesarias se mantengan. Y a casi un año del hecho, se le practicó un nuevo informe siquipatrico (al requerido) y se encuentra sin alucinaciones, con juicio conservado, actualmente viviendo en otra comuna y estabilizado. Por ello pedimos que se mantenga bajo la custodia de familiares y con tratamiento ambulatorio"". 2012 año de los diagnósticos que indicaban que el isleño padecía sicosis y esquizofrenia. Estos se sumaban a otros con referencia a alucinaciones e ideación suicida. Ya estaría estabilizado. 14 fotos del peritaje del lugar y otras 7 de las lesiones de la mujer se analizaron en el juicio. 21 de febrero será la lectura de sentencia en el tribunal oral."
9,8 años de cárcel para sujeto que dejó a su pareja con lesiones graves,"A 8 años de cárcel fue condenado un sujeto por el Tribunal Oral en lo Penal de Castro, acusado de un delito de incendio y lesiones graves, hecho ocurrido día 11 de octubre de 2019. Según los antecedentes ventilados durante el juicio, aproximadamente a las 04:00 horas de ese día el acusado identificado como E.A.L.A. se encontraba en el interior de su domicilio ubicado en calle Gabriel González Videla de Castro junto a su conviviente A.A.P.B, instantes en que se produce una discusión. El imputado roció con un líquido combustible la cama del dormitorio de la vivienda y prendió fuego, debido a lo cual la víctima resultó con “quemaduras tipo AB-B en mano y antebrazo izquierdo, abdomen y quemaduras en ambas piernas en cara interna”, lesiones tipificada como de carácter grave. DICTAMEN Según lo señalado por el Fiscal Luis Barría, el veredicto condenatorio implica una pena de ocho años de presidio mayor en su grado mínimo y la determinación de la huella genética respecto del acusado. “En octubre de 2019 provocó un incendio provocó un incendio causando lesiones graves y daños. En dicho contexto, si bien el Ministerio Público estaba solicitando una pena de 15 años y un día, el tribunal consideró reconocer dos circunstancias atenuantes, que es la colaboración sustancia y la reparación del mal causado, en relación a dineros que el imputado habría entregado a familiares para reparar el inmueble dañado”, apuntó. Igualmente, el abogado señaló que hay satisfacción a pesar de que en principio la Fiscalía solicitó 15 años de prisión, ya que se trata de una pena que implica el cumplimiento efectivo en una unidad carcelaria. “No obstante estamos satisfecho ya que se trata de ocho años de cumplimiento efectivo y así mismo, en atención a que el juicio fue complejo, en atención a la diligencia de investigación que se llevaron a cabo por parte de la Policía de Investigaciones de Castro”. FORMALIZACION En otro hecho delictual ocurrido en Castro, este lunes se realizó la formalización de una mujer luego que apuñala a su pareja, provocándole lesiones de carácter grave. El fiscal Barría, señaló que el hecho ocurrió durante el fin de semana en la capital chilota, pero se solicitó ampliar la detención de la victimaria hasta este martes con la finalidad de reunir mayores antecedentes de lo ocurrido. “Se formalizó por delitos de lesiones graves en contexto de violencia intrafamiliar, quedando con medias cautelares; abandono del hogar común y prohibición de acercarse a la víctima, estableciéndose un plazo de investigación de 120 días, esto en virtud de diligencias de investigación que fueron realizadas por la SIP de Carabineros de Castro e informe del SML de Castro, que dan cuenta de la dinámica en que habrían ocurrido estos hechos”, apuntó."
