,title,text
0,Detienen a sujeto que amenazó con prender fuego a su pareja y sus tres hijos,"En horas de la noche del miércoles, en el sector de Rahue Alto, se produjo una discusión en un domicilio que una mujer comparte con su conviviente y sus tres hijos. El hecho, conllevó a que el hombre comenzara a golpear a la madre de los menores. La Fiscal en jefe de Osorno, María Angélica de Miguel, dio a conocer que uno de los hijos de la mujer buscó interceptar el ataque, tras lo cual el agresor amenazó al joven con un cuchillo. En el mismo lugar, además, roció con cera líquida a los niños de 2, 10 y 12 años; y a la mujer involucrada, intimidándolos con prenderles fuego.  Sin embargo, esta acción fue frustrada tras la llegada de Carabineros, ya que había un llamado al 133 por parte de una familiar de la víctima. Al momento de la detención se evidenció entre las pertenencias del agresor. dos municiones sin percutir y 47 papelillos con cocaína. El imputado fue formalizado por los cargos de homicidio frustrado, femicidio frustrado y parricidio frustrado, quedando en prisión preventiva mientras dure la investigación. Señalar que la unidad de víctimas y testigos de la Fiscalía se contactó con los afectados para la debida contención y protección, además de apoyo psicológico."
1,Ordenan cambio de celda por recluso covid positivo,"Los alcances del primer interno contagiado con covid-19 que contabilizan las cárceles de la provincia siguen extendiéndose, después que la defensa de uno de los dos reclusos con los que comparte celda de aislamiento en audiencia de cautela de garantías exigiera su traslado a otra repartición dentro de la unidad penal de Castro. El requerido de 50 años arrojó negativo al examen de PCR que fue sometido por permanecer en contacto con este condenado que se infectó en su salida trimestral -cumple sentencia en el CET de Osorno por un robo con homicidio cometido en Dalcahue-, tras visitar a su familia en Chonchi. Por ser el penal castreño el más cercano fue remitido al recinto de calle Monjitas. Ante los riesgos de propagación, el defensor Nelson Troncoso, quien representa al sujeto que está en prisión preventiva por un caso de lesiones menos graves en contexto de violencia intrafamiliar pidió su cambio de módulo. ""La magistrada se contactó con Gendarmería y ordenó que se separara del contagiado con coronavirus y que permaneciera en otra celda cumpliendo con su aislamiento preventivo"", indicó el abogado. Igualmente, el profesional remarcó que hoy, también por este mismo isleño, se analiza un recurso de amparo que interpuso ante la Corte de Apelaciones de Puerto Montt para impugnar la decisión que lo privó de libertad por esta causa de VIF. ""Pedimos que se suspenda el procedimiento por enajenación mental y salga de la cárcel, ya que presentamos informes siquiátricos, la ficha clínica que demuestra esta condición"", manifestó el abogado."
2,"Después de 5 semanas en fase 2, Puerto Montt vuelve a cuarentena","A un mes y siete días de haber avanzado a fase 2 (Transición) en el plan Paso a paso, la comuna de Puerto Montt nuevamente volverá a cuarentena a contar de las cinco de la mañana de este jueves 14. La decisión fue comunicada ayer por la subsecretaria de Prevención del Delito, Katherine Martorell, durante un punto de prensa realizado en La Moneda, ocasión en la que detalló que también retroceden a confinamiento total las comunas de Puerto Varas y Calbuco, en la Provincia de Llanquihue; así como Castro, Ancud, Dalcahue y Quellón, en la de Chiloé; además de Osorno, en la provincia del mismo nombre. Asimismo, desde la misma fecha la comuna de Hualaihué, en la Provincia de Palena, deja de estar en fase 4 (Apertura inicial) y queda en la etapa 2. Al analizar el escenario regional, el doctor José Antonio Vergara, epidemiólogo de la Seremi de Salud, partió reconociendo que ""estamos en una situación muy crítica"". Definió que el criterio principal que se ha empleado en esta oportunidad es la incidencia de nuevos casos. ""Hay comunas que están teniendo tasas de incidencia muy altas, que se traduce, por ejemplo, en la mantención de casos activos en un volumen muy importante, que a su vez son fuente de nuevos casos"", dijo. Según el informe de la Seremi de Salud, Puerto Montt reportó ayer 188 nuevos casos, para acumular 10.496 desde el comienzo de la pandemia. En cuanto a sus casos activos, totaliza 919, de los 1.516 de la Provincia de Llanquihue. Vergara añadió que el número reproductivo efectivo regional es de 1,29 ""superior incluso al de la Región Metropolitana"", por lo que argumentó que la medida de cuarentena total ""se hizo imprescindible en el escenario actual"". Ante una consulta, el epidemiólogo sostuvo que la situación de las comunas que retroceden a cuarentena ""es homologable"" al estado regional, ""con un incremento importante en la incidencia de casos y en la tasa de prevalencia de casos activos, que se transforman en una fuente potencial de nuevos casos"". El doctor Vergara argumentó que el ascenso de la frecuencia de aparición de casos nuevos ""tiene que ver con las comunas que son más populosas, en función de las masas de población entre las que el virus tiende a circular. La conurbación que existe entre Puerto Montt y Puerto Varas es un ejemplo del intenso intercambio de personas durante todo el día, entre ambas comunas "", apuntó. El secretario regional ministerial (seremi) de Salud, Alejandro Caroca, aseveró que ""cada uno de nosotros ha fallado"" en cuanto a mantener las medidas preventivas de contagio, como el uso adecuado de la mascarilla, mantener el distanciamiento social y el frecuente lavado de manos. ""El comportamiento de la población no ha estado a la altura"", añadió, lo que ha implicado -sostuvo- tener que implementar medidas de restricción del movimiento y libertades. Sobre la implementación de esta segunda cuarentena, el seremi Caroca resaltó que a diferencia de la primera, que se extendió por 4 meses y 6 días, el nuevo plan Paso a paso anunciado ayer por el gobierno, definió que estos confinamientos no se extenderán más allá de cuatro semanas. Caroca comentó que podría levantarse esta restricción, lo que depende la tendencia que muestren los contagios y las cifras. ""Lo peor que nos podría ocurrir como comunidad es que al cabo de un mes sigamos igual o peor (...). Sería fantástico a lo mejor estar en dos semanas más anunciando que lo hemos hecho tan increíble, cada individuo de nuestra comunidad, que podamos retrotraernos a una situación mejor"", aventuró. Cuando se le preguntó si las cuatro semanas definidas es el límite definitivo, aunque no haya variación favorable de los indicadores sanitarios, enfatizó que ""la idea de las medida de cuarentena acotada es cortarla a contar de la cuarta semana"", aunque se podría prolongar si es que se evidencia ""una situación más dramática aún; es decir, en extremo complejo que esperemos que -obviamente- no lleguemos"". Anticipó que habrá fiscalizaciones internas en cada ciudad y que implementarán cuadrillas especiales junto a las Fuerzas Armadas y Carabineros ""que van a ir de manera aleatoria buscando centros (de aglomeración de personas), con la finalidad de ir disminuyendo la movilidad"". Advirtió que serán inflexibles en cuanto a la verificación de los requisitos de desplazamiento, lo que implicará sumarios sanitarios y sanciones, en lo que no descartó proceder a la respectiva detención. En cuanto a las actividades permitidas en cuarentena, el seremi de Salud especificó que sólo estarán autorizadas las de rubros esenciales, con el debido permiso único colectivo. ""Independiente que las personas cumplan con la normativa vigente (permiso colectivo), vamos a realizar investigaciones para certificar la veracidad"", por lo que recomendó incentivar el teletrabajo. Los actuales indicadores han provocado una fuerte tensión de la red asistencial, lo que se ha visto reflejado en que ayer sólo había 3 camas UCI disponibles en toda la región, así como 14 ventiladores mecánicos para ser utilizados. El doctor Jorge Tagle, director del Servicio de Salud del Reloncaví, sostuvo que las unidades vacantes corresponden a la Clínica Alemana de Osorno y a los hospitales de Castro y de Puerto Montt. El coordinador regional de ""La conurbación que existe entre Puerto Montt y Puerto Varas es un ejemplo del intenso intercambio de personas durante todo el día"" José Antonio Vergara,, epidemiólogo de la Seremi de Salud. ""Lo peor que nos podría ocurrir como comunidad es que al cabo de un mes sigamos igual o peor"" Alejandro Caroca,, seremi de Salud. la red asistencial subrayó que ""estamos viviendo la situación más compleja en toda la pandemia"". Tal preocupación se extiende a los 228 enfermos covid que están hospitalizados en la región, de los cuales 117 están en el HPM, donde hasta las 11 horas de ayer, había 25 contagiados en la UCI, 21 de ellos conectados a ventilación mecánica invasiva. La directora de ese centro asistencial, Mónica Winkler, reconoció que hubo 11 ingresos de pacientes covid en las últimas 24 horas y que 50 de esos pacientes ocupan camas críticas, de las que existen 37 camas UCI adulto y 61 UTI. Ante este panorama, admitió que están tomando medidas ""para seguir avanzando en la complejización de camas durante esta semana y así sumar tanto cupos UCI como cupos UTI en los próximos días"". A ello sumó que resolvieron suspender las cirugías electivas, ""excepto las de tiempo sensible como el cáncer""; y que difieren prestaciones ambulatorias que no sean de primera necesidad, salvo el Policlínico de Tratamiento Anticoagulante, el Policlínico de Unacess o enfermedades de transmisión sexual, los controles pos-alta y pos-quirúrgicos, entre otros. Respecto del retroceso a cuarentena, el alcalde de Puerto Varas, Ramón Bahamonde, reaccionó con molestia, especialmente porque no fue informado de la medida. ""Que el señor ministro (Enrique Paris) no le exija a la gente que cumpla medidas restrictivas, cuando ellos no tienen la capacidad ni siquiera de comunicación para tomar medidas (...). Si la gente está violando todas las disposiciones, es porque no han sabido y no tienen los cojones ni la capacidad de tomar soluciones adecuadas"", manifestó. El jefe edilicio reclamó que no hay diálogo ni conocimiento de la realidad de Puerto Varas. ""Lo siento por nuestra gente por quienes crearon una inversión turística y que es tirada por el suelo al minuto. No se puede jugar con la gente"", manifestó. Bahamonde recordó que hace 15 días la subsecretaria de Salud, Paula Daza, analizó con él medidas a implementar ""para que Puerto Varas se incorpore a las políticas de desarrollo del turismo y sea un punto vacacional"". Consideró el anuncio de retroceso a cuarentena ""como un portazo, sin tener la decencia de comunicarse con las autoridades locales y poco respeto al comercio establecido"", ante lo que pidió que ""no nos invadan con violaciones a las disposiciones vigentes, porque la gente ya les perdió la confianza y el respeto a cualquier decisión que puedan tomar, si no hay una comunicación que llegue a la fuente oficial que debe comunicarse con las personas"". 38 días o 5 semanas y 3 días en la fase 2 (Transición) alcanzará a estar Puerto Montt este jueves, cuando comience su segunda cuarentena por covid. 18 semanas y 5 días fue la primera cuarentena en Puerto Montt (29 de julio al 7 de diciembre). Este nuevo confinamiento no debería sumar más de 4 semanas."
3,FOSIS y Fiscalía Regional renovaron convenio para apoyar a mujeres víctimas de violencia de género,"Un total de 30 usuarias serán beneficiadas a través del Programa Yo Emprendo Básico Mujeres Un total de 30 usuarias serán beneficiadas a través del Programa Yo Emprendo Básico Mujeres El Fondo de Solidaridad e Inversión Social (FOSIS) en conjunto con Fiscalía Regional, renovaron la firma del convenio de colaboración que apoyará las actividades económicas de 30 mujeres que han sufrido violencia de género y que son parte de la Unidad de Atención a Víctimas y Testigos de la Fiscalía Regional. En esta oportunidad, el convenio FOSIS & Fiscalía Regional aumentó el número de cupos de 20 a 30 usuarias y a su vez la cobertura que pasó de ser exclusiva de la provincia de Llanquihue para extenderse también hacia las provincias de Osorno y Chiloé con una inversión total de más de 25 millones de pesos. Pablo Santana, Director Regional del FOSIS, manifestó su satisfacción tras la renovación de este convenio. “Estamos orgullosos de poder continuar el convenio con Fiscalía y así colaborar con los requerimientos y especialmente con las víctimas de violencia, siendo que la región ha presentado un incremento, tal como lo dio a conocer la Fiscalía. Por ello, el poder aumentar la cobertura a otras provincias que antes no habíamos abarcado, sin duda es importante por las necesidades que se van dando y de esta manera realizar una atención integral. Ante lo cual, todos estos son avances, ya que estamos trabajando como servicio dentro de la región con estos indicadores que no son nada alentadores, por lo que un año más estamos apoyando en esa línea”. Carmen Gloria Wittwer, Fiscal Regional de Los Lagos, explicó que “como Fiscalía Regional de Los Lagos estamos muy contentos y muy satisfechos por el convenio firmado con FOSIS por varios motivos; en primer lugar por continuar renovando este convenio que nació hace un par de años y que permite que mujeres víctimas de violencia intrafamiliar (VIF) puedan emprender rehaciendo su vida laboral y así pueden ser más autónomas económicamente y luego perseverar en el proceso penal. Por otra parte, se amplió este convenio a víctimas de la provincia de Chiloé y de Osorno, ya que antes solamente teníamos cobertura en Llanquihue y esto nos permite llegar a más mujeres, lo que se traduce en un mayor número de cupos, debido a que antes teníamos 20 y ahora tenemos 30, por lo que estamos muy agradecidos del FOSIS”. “Por último, considerando que el año 2020 tuvimos un incremento de un 5,3% de casos de VIF en la región respecto del 2019. Entonces esto nos permite llegar a más víctimas y tratar de que salgan de este círculo de violencia y poder protegerlas a través de estos programas”. Carla Vargas, quien ha participado en convenios anteriores entre el FOSIS y la Fiscalía, comentó de qué trata su emprendimiento denominado Dört Creaciones. “Al principio sólo hacíamos turbantes, cintillos, zapatitos y ahora ya estamos haciendo ropa para los bebés, abarcando desde Arica hasta la Antártica, así que nos sentimos muy orgullosos de haber llegado a un rincón muy pequeño de Chile con muy poquitos habitantes y tener ahí nuestros productos”. “Además, yo creo que este es un gran apoyo y soporte en la lucha contra la violencia, especialmente violencia intrafamiliar y contra la mujer, porque no sólo es violencia física, sino que también es económica. Por lo que me gustaría que otras mujeres que se encuentran en este círculo puedan no sentir miedo de salir, porque las van apoyar, contener y ayudar, ya que poder sostener nuestro hogar solas e independientes es algo muy valioso”. El programa Yo Emprendo Básico Mujeres, inicia con el aporte de un capital semilla de 500 mil pesos para cada beneficiaria del programa y entrega a las usuarias el acompañamiento, asesoría y capacitación necesaria para el desarrollo de actividades de recuperación económica que otorguen estabilidad y autonomía en la generación de sus ingresos.  "
4,Condenan a hombre por abusar sexualmente de su suegra de 85 años,"El Juzgado de Garantía de Osorno sentenció a 4 años de prisión a un hombre de 69 años por el delito de abuso sexual de su suegra, en ese entonces de 85 años. Según informó Soy Chile, los hechos se dieron entre octubre y noviembre 2018 en Rahue Alto, cuando la víctima se encontraba de visita en la casa de su yerno. Los ataques sexuales fueron denunciados por uno de los hijos de la víctima, y a partir de testimonios de diversos familiares, se logró determinar la culpabilidad del imputado. El fiscal Jaime Sáez llevó adelante el caso. El 2 de febrero los jueces del Tribunal Oral en lo Penal de Osorno encontraron culpable al imputado, y el pasado domingo se leyó la sentencia. Imagen de archivo"
5,Detienen a hombre acusado de violar a una mujer en un céntrico edificio de Osorno,"Una investigación por violación comenzó a realizar la Fiscalía Local de Osorno, luego de la denuncia interpuesta por una mujer en carabineros de la Primera Comisaría. El hecho se reportó durante la madrugada del pasado lunes, y según el relato entregado por el fiscal José Vivallos, los hechos ocurrieron al interior de un departamento en el cuarto piso del edificio del ex Gran Hotel, de calle O'Higgins, en pleno centro de Osorno. La mujer de 30 años, quien realiza servicios como escort (trabajadora sexual), habría llegado al edificio luego de ser contactada por el ahora imputado, un trabajador independiente de iniciales J.D.M.D.. Al llegar al departamento, de inmediato fue recibida con golpes y amenazas de muerte. La víctima le devolvió el dinero por el servicio sexual e intentó salir del departamento, lo que no le gustó al cliente, que la mantuvo en el lugar y tuvo relaciones sexuales forzadas con ella. Según indicó el fiscal en la audiencia de formalización, la mujer reconoce haber estado con el agresor en días previos y esta persona se habría obsesionado con ella. Le ofreció una alta suma de dinero para que dejara su trabajo y se fueran juntos para formar una familia. Atemorizada por lo que pudiera pasar con el sujeto, mediante engaños, la mujer le pidió que la acompañe a la pieza que arrienda y donde vive para buscar sus cosas y luego viajar juntos. ""Cuando llegó a su pieza, le pidió ayuda a una vecina para llamar a carabineros. Los policías llegaron hasta calle Los Carrera con O'Higgins, donde la víctima salió de su hogar y pidió socorro. El sujeto fue detenido y quedó en prisión preventiva por el delito de violación"", indicó Vivallos. La detención se registró pasadas las 4.30 de la madrugada del lunes y el fiscal ordenó diligencias a la Brigada de Delitos Sexuales de la Policía de Investigaciones (PDI) de Osorno. El juez del Tribunal de Garantía de Osorno, Alex Francke, decretó la prisión preventiva para el imputado y un plazo de 80 días de investigación para el caso, por lo que ingresó a la cárcel de Osorno."
6,Fiscalía confirma que investiga secuestro con violación en toma MacIver en Modelo,"""Ayúdame, estoy amenazada llama al 133, me tiene en la toma de Modelo"", dice el breve mensaje que una joven entregó a la cajera de un local comercial de un servicentro de calle Urmeneta, en el centro de Puerto Montt, y que permitió la apertura de una causa penal, que se investiga como un posible secuestro y violación. Los hechos se conocieron en la audiencia virtual de control de la detención en el Juzgado de Garantía, donde por ahora se formularon cargos contra F.V. (37 años) por los delitos de violación, amenazas y desacato. Los hechos, según los detalles del fiscal Juan Pablo Llanca, tuvieron lugar desde el jueves 11 hasta el lunes 15 de febrero en una casa del sector ladera del cerro MacIver, en la población Modelo. En la audiencia Llanca dijo que el imputado el 11 de febrero alrededor de las 21 horas trasladó a la víctima (30 años) hasta una casa en la toma MacIver ""donde amenazó a la víctima y por medio de la fuerza procedió a violarla, golpeándola con un objeto contundente. Estos hechos se registraron entre el 11 y 15 de febrero"". En un momento, el lunes 15 el imputado sacó a la joven de este lugar para que la acompañe a comprar. ""La víctima logró liberarse y solicitó ayuda mediante una nota escrita que logró entregar a la dependiente del local comercial del servicentro de calle Urmeneta"", reveló el persecutor. El fiscal Llanca, en conversación con El Llanquihue, señaló que el imputado registra otra causa por desacato en el Tribunal de Juicio Oral de Osorno, donde no se presentó, también por un hecho de violencia intrafamiliar (VIF) contra la víctima, con quien habían sido pareja. ""La víctima de ahora es la misma de Osorno, y justamente en esta ciudad el imputado no se presentó al juicio oral"". Puntualiza el fiscal que ""en lo concreto y de los antecedentes que tiene la Fiscalía, existe la plena convicción que el imputado mantuvo contra su voluntad a la víctima en el interior del domicilio y de manera reiterada la habría violado en contra de su voluntad. En un descuido salieron a comprar, oportunidad que ella aprovechó de entregar un papel a la dependiente de un local comercial, donde pedía ayuda"", manifestó. Explicó el persecutor que el imputado fue formalizado, por violación, amenazas y desacato, ""y no se descarta más adelante en la investigación formalizar por un delito de secuestro. Se trata de un imputado que mantiene antecedentes penales, por robo y VIF, siendo esto último lo más reiterativo"". De acuerdo al abogado Jorge Matzner, defensor de V., existe una orden judicial, y queda en prisión preventiva por la causa que mantenía pendiente en Osorno. ""Quedó en prisión preventiva por el caso en el TOP en Osorno, pero ahora se suma está formalización por esta nueva causa con su antigua pareja"". Puntualiza Matzner que su defendido ""tiene una relación de larga data con la mujer y han compartido muchas veces, por lo que está muy sorprendido con la denuncia. Ojalá que se investigue más a fondo todas las aristas"", resaltó. La joven que estuvo perdida cinco días fue buscada por sus amigas a través de Facebook. Las medidas cautelares del imputado -en este caso- de violación y secuestro contra su ex pareja se discutirán en una audiencia fijada por el magistrado Juan Carlos Orellana el 8 de marzo próximo. 65 días es el plazo de investigación decretado por el juez de Garantía Juan Carlos Orellana. 30 años tiene la joven afectada por este delito cometido presuntamente por su ex pareja. 11 de febrero fue llevada la víctima a la casa del imputado en el campamento del cerro MacIver."
7,Postulantes del PC buscarán el voto popular en elecciones,"Bajo el programa de instalar gobernanzas locales que permitirán a los puertomontinos vivir mejor, el Partido Comunista (PC) presentó oficialmente a sus candidatos a gobernadora regional y a concejales. En un acto artístico-cultural realizado en el Paseo Talca, integrantes de la tienda política de izquierda participaron en una actividad en la que presentaron a sus tres cartas para las elecciones que se realizarán el domingo 11 de abril. Se trata del primer evento de proclamación oficial de candidatos para el proceso democrático que se efectuará en la zona. Como gobernadora regional postula la periodista Paola Venegas, quien además de representar al PC para conquistar el voto popular, será la única representante femenina en esta contienda. La dirigente regional y activista femenina basa su postulación en la idea de instalar gobiernos populares, que dirijan los destinos de las comunidades. Destacó la candidata el actual contexto histórico relacionado con el estallido social, con lo que la gente está buscando un cambio de Constitución que viene a construir una Convención Paritaria y que además vienen a impulsar elecciones de alcaldes y de gobernadores regionales, que serán elegidos por primera vez bajo el mandato popular. Indicó la postulante del PC que hasta el momento han recorrido 15 comunas de la región, seis de ellas en Osorno y nueve en Chiloé. Aseguró que les preocupa la crisis económica que se ha desatado en la zona, ""que ha provocado hambre, desempleo y que está afectando particularmente a las mujeres"". Detalló que Puerto Montt presenta enormes dificultades en la reparación de viviendas que habitan principalmente adultos mayores, construcción de viviendas sociales sobre humedales que ya presentan fallas, acceso a red de agua potable en sectores rurales, dificultades de gestión y apropiación de aguas en manos de privados, gestión deficitaria de programas de salud de derechos reproductivos y atención de las diversidades sexuales, escasos avances en la transparencia de la gestión de los concejos municipales y de acceso a la ciudadanía al ejercicio de soberanía. Afirmó que la decisión del colectivo es no apoyar a ninguno de los dos candidatos como Gervoy Paredes y Rodrigo Wainraihgt, quienes no garantizan cambios reales en sus respectivos programas para avanzar a nivel social. Una de las postulantes del PC para llegar al Concejo Municipal porteño es la trabajadora social de 28 años, Luz Torres, quien explicó que su candidatura se fundamenta en profundizar un proyecto de concejalía popular, que buscar enfocar la participación tanto a vecinos como vecinas de la comuna dentro de lo que es el funcionamiento del Concejo. La dirigente del movimiento estudiantil regional, una de las cuatro candidatas más jóvenes en postularse a nivel país, aseveró que su máxima es estar en constante alianza con el territorio, juntas de vecinos y algunos consejos de desarrollo local para que puedan intervenir en las medidas que se tomen para mejorar la calidad de vida de los puertomontinos. ""Lo importante en esta postulación es fortalecer la transparencia, a través de propuestas que se apliquen de buena forma y que pueden generar cambios para la ciudadanía"", aseveró Torres. En tanto que el otro candidato a concejal, es el profesor Jorge Cumming, quien es un conocido dirigente de la CUT y de la Asociación de Funcionarios Públicos. Cumming aseguró que una de las principales preocupación que aqueja a la comuna es el tema del agua, señalando que existen graves problemas de suministro en dos sectores específicos como son Alto Bonito y sector de Las Canchas, ""por la responsabilidad de dos empresarios locales que se proclamaron como dirigentes de APR. Existen 70 familias que no tienen el vital elemento. También hay otras denuncias en La Paloma Norte Alto y en la que una empresa inmobiliaria estaría haciendo un camino que estaría transgrediendo una explotación que se hizo por parte del Estado"", aseveró. Comentó el dirigente que ""si es que llegamos al Concejo buscaremos visibilizar los problemas que afectan a la comunidad y por otro, nuestro objetivo es encaminar a Puerto Montt como una ciudad verde, enfocados en salvaguardar los humedales del sector urbano y rural"", aseveró. 28 años tiene la candidata a concejal por Puerto Montt Luz Torres quien vive en el sector Puerta Sur."
8,Declaran culpable a hombre por abuso sexual contra su nieta de seis años,"El Ministerio Público declaró culpable a un hombre imputado por el delito de abuso sexual contra su nieta en el año 2018, quien en ese entonces tenía 6 años de edad, en la ciudad de Osorno, región de Los Lagos. El fiscal Jaime Sáez informó que los hechos se registraron durante una visita de la menor al domicilio de su abuelo paterno, a lo que la víctima le reveló lo sucedido a su madre en abril de ese mismo año, según lo señalado por Radio Bio-Bio. “La solicitud de pena con relación a estos hechos es de 6 años de presidio mayor. En tanto, la lectura de sentencia se realizará el 21 de marzo a las 11 horas”, detalló Saez. Asimismo, se sostuvo que la Brigada de Delitos Sexuales de la PDI y el Ministerio Público efectuaron las diligencias investigativas correspondientes. Foto: Huawei/Agencia Uno."
9,Esta fue la condena para joven que mató a su exnovia ahogándola en un río,"Durante la jornada de este martes, el Tribunal de Garantía de Osorno condenó a 18 años de cárcel a Javier Millao Cárdenas (22), por el femicidio de su ex pareja Scarlett Díaz Llaitul (19), con quien tenía un hijo en común. Según informó Soy Chile, los hechos ocurrieron el 12 de febrero de 2019 en la comuna de San Juan de la Costa, cuando Millao sumergió la cabeza de la joven en el río Contaco, provocando que ésta muriera ahogada. “Cabe destacar la mirada como crimen de género que dio el Tribunal en su fallo, lo que dice relación con los planteamientos realizados tanto por esta Fiscalía como por la querellante del Servicio Nacional de la Mujer y Equidad de Género”, recalcó el fiscal, Narciso García, según consignó el mismo medio. Desde la Corporación Mujeres Siglo XXI, si bien valoraron el fallo, mostraron preocupación por el futuro del menor que quedó sin padre ni madre a causa del hecho.  Imagen de referencia"
