,title,text
0,Hospital de Puerto Montt suspende cirugías electivas,"El Hospital de Puerto Montt tiene al día de hoy 117 pacientes Covid-19 hospitalizados. Lo cual es sin duda el máximo de pacientes hospitalizados por esta patología a la fecha. De estos 67 están en camas medias y 50 están en Unidad de Paciente Crítico. Hubo 11 ingresos en las últimas 24 horas. En esta situación tan compleja en que se encuentran en estos momentos como hospital, se ha tomado la decisión de suspender las cirugías electivas, excepto las de tiempo sensible como el cáncer. También se suspenden las prestaciones ambulatorias que no sean de primera necesidad, excepto el Policlínico de Tratamiento Anticoagulante, el Policlínico de UNACESS o enfermedades de transmisión sexual, los controles pos-alta, pos-quirúrgicos, y otros. Respecto de las camas, el HPM en este momento cuenta con 37 camas UCI adulto y 61 camas UTI adulto. Con esto y las camas medias están tensionados, por lo que se están tomando una serie de medidas para seguir avanzando en la complejización de camas durante esta semana, y así sumar tanto cupos UCI como cupos UTI en los próximos días."
1,La súperexnovia: mujer golpeó a su expareja e intentó robarle su auto,"Un hombre fue atacado por su expareja y su acompañante en pleno centro de Puerto Montt. Según informó radio Bío Bío, los hechos se produjeron en el sector de Valle Volcanes, donde intimidaron a la víctima, la golpearon y se apropiaron de su vehículo, un automóvil marca Toyota Yaris, con el cual huyeron con dirección hacia Puerto Varas. Gracias a las cámaras de seguridad, personal de carabineros logró dar con el paradero de los 2 asaltantes en un control sanitario. Los uniformados determinaron que el imputado tenía 13 detenciones previas. Mientras que la mujer tenía sus antecedentes limpios y mantuvo una relación sentimental con la víctima hasta noviembre de 2020. Si bien la imputada figuraba como la dueña del vehículo, fue formalizada por robo con violencia junto a su acompañante. “La imputada fue formalizada por lesiones menos graves en contexto de violencia intrafamiliar, por ser exconviviente de la víctima. Además, respecto del segundo imputado, también se formalizó investigación, por delito de lesiones leves”, declaró a la misma radio el fiscal subrogante, Álvaro Espinoza. Los imputados pasaron a control de detención en el Tribunal de Garantía de Puerto Montt, el cual ordenó la prohibición absoluta de ambos sujetos de acercarse a la víctima. En la tarde de hoy Carabineros de Sección #SEBV, junto a personal de la Subcom. #Reloncaví y 1ª Comisaría #PuertoVaras detiene a dos personas a raíz de un Robo con Violencia de vehículo motorizado, ocurrido en la capital regional. Ambos pasan a control de detención. #OrdenyPatria pic.twitter.com/o4s6QCxle4"
2,Investigan muerte de joven trans en Puerto Montt," Esta mañana, la joven trans de 32 años identificada como Valentina Vera López fue encontrada muerta en el Hotel Torremolinos en Puerto Montt. El Movimiento de Integración y Liberación Homosexual (Movilh) dio a conocer la noticia a través de sus redes sociales. ""Encuentran sin vida en unas cabañas de Puerto Montt a Valentina Vera López, colaboradora y activista de Movilh-Los Lagos"", señalaron. El Servicio Médico Legal y el Laboratorio de Criminalística de Carabineros llegaron al lugar para realizar las pericias que permitan esclarecer su muerte. “Vieron anoche por última vez a Valentina junto a un sujeto, cuya identidad esperamos sea prontamente conocida por las policías, de manera de conocer exactamente qué sucedió”, dijo el vocero de Movilh de Los Lagos, José Arcos. “De tratarse de un crimen de odio, representaremos legalmente a la familia, y haremos uso de la Ley Gabriela, en tanto la misma tipifica como femicidio los crímenes contra personas trans, al considerar a la identidad de género como una categoría protegida”, explicó.  Encuentran sin vida en unas cabañas de Puerto Montt a Valentina Vera López, colaboradora y activista de Movilh-Los Lagos. Ya estamos en Puerto Montt acompañando a su madre y familia y dialogando con policías y forenses. (Foto autorizada por la familia para que la publique Movilh) pic.twitter.com/UGNPLI1pST"
3,Hospital de Puerto Montt establece medidas preventivas por altos contagios de covid-19," El Hospital de Puerto Montt (HPM) informó que suspendió la realización de cirugías electivas, con excepción de las relacionadas a tiempo sensible de resolución como el cáncer, debido al alto número de ingresos por Covid-19 que se ha evidenciado en las últimas semanas. Tal es así que este lunes 11 de enero el hospital registró 117 pacientes hospitalizados por coronavirus, y el martes 12 de enero la cifra aumentó a 120 pacientes, el mayor número de ingresos registrados desde el inicio de la pandemia. “También se suspendieron las prestaciones ambulatorias que no sean de primera necesidad, excepto el Policlínico de Tratamiento Anticoagulante, el Policlínico de Unacess o enfermedades de transmisión sexual, los controles posalta, posquirúrgicos, entre otros”, detalló la directora del HPM. Dra. Mónica Winkler. Atención ambulatoria En el actual escenario de la pandemia, el Servicio de Consultas de Especialidades Médicas (CAE) informa: A partir del 18/01/2021 Se Mantendrán y Priorizaran las Atenciones en el Área de: Pediatría, Otorrinolaringología, Medicina interna y sus subespecialidades, Cirugia de mamas, Infectologia, ITS, Oftalmología, Alto riesgo obstétrico, Salud Mental, TACO. Se suspenderán y disminuirán las atenciones en las Áreas de Cirugía, Neurocirugía, Ginecología, Maxilofacial, Traumatología. Se informará oportunamente a los pacientes acerca de si existe suspensión o reasignación de Horas Médicas vía telefónica según criterios de prioridad clínica. No están suspendidas la hora de atención por profesionales no médicos (psicólogos, tecnólogos, nutricionistas, matronas). Se mantendrá disponible el correo de: [email protected]. Para solicitud de recetas y evitar la concurrencia al hospital. Ante cualquier duda o consulta llamar a la línea 600 360 0196 (Opción 3) Evitar la concurrencia al hospital sino tiene una hora pautada, para prevenir el riesgo, de exposición y aglomeración lo que permitirá mantener abiertas las atenciones como hasta ahora. "
4,Investigan la muerte de mujer en una cabaña en pleno centro de Puerto Montt,"La sección OS 9 y peritos del Laboratorio de Criminalística de Carabineros (Labocar) investigan el hallazgo del cadáver de una mujer, ocurrido en las cabañas Torremolinos en pleno centro de Puerto Montt. La policía confirmó que se trata de una persona trans que al parecer tenía domicilio en este lugar y que fue identificada como Valentina Isidora Vera López, (32 años) de acuerdo a su cédula de identidad actualizada, al 9 de julio de 2020. La víctima estaba sin vida sobre un colchón, y el hallazgo fue realizado a las 8:20 horas de ayer. El informe preliminar de los peritajes arrojó que no existen lesiones visibles atribuibles a terceras personas. Desde la Fiscalía se indicó que no se van a referir a este hecho, mientras no dispongan de los resultados de la necropsia. Por ahora es un hallazgo de cadáver. El teniente Gustavo Arancibia, del Labocar, especificó que en el lugar existen cámaras de seguridad, cuyas grabaciones podrían establecer la dinámica de los hechos. ""Se encontró el cuerpo de una persona trans, lamentablemente sin vida, por lo que investigamos conforme a la metodología del sito del suceso, levantamos una serie de evidencia que nos van a permitir luego de los exámenes de laboratorio determinar qué fue lo que realmente ocurrió en el lugar"". El oficial también ratificó la inexistencia de lesiones en el cuerpo. ""Preliminarmente, no hay señales que (la muerte) haya sido a través de terceras personas; no obstante, necesitamos el resultado de los exámenes de laboratorio para poder descartar ello"", sostuvo. Para el vocero del Movimiento de Integración y Liberación Homosexual (Movilh), José Arcos, este es un hecho que tiene que ser investigado a fondo. Reconoció que la víctima era una persona que colaboraba con el movimiento. ""Estamos consternados por el fallecimiento de nuestra compañera. Hay mucha tristeza. Estaremos acompañando en todo momento a la familia para dar con la verdad de estos hechos y sancionar a cualquier responsable, en caso de que se trate de un crimen, como hasta ahora lo sospechan las primeras indagaciones"", señaló Arcos. Adelantó que la noche antes del hallazgo del cuerpo de Valentina, fue vista junto a un sujeto. ""De tratarse de un crimen de odio, representaremos legalmente a la familia, y haremos uso de la Ley Gabriela, en tanto la misma tipifica como femicidio los crímenes contra personas trans, al considerar a la identidad de género como una categoría protegida"", explicó. Para esta mañana se considera la autopsia en el Servicio Médico Legal de Puerto Montt, lo que permitirá establecer la causa del deceso. 32 años tiene la víctima cuya causa de muerte será establecida con la autopsia en el Servicio Médico Legal. 8:20 horas de ayer fue el hallazgo del cadáver en calle Benavente número 680 habitación 35."
5,Ordenan cambio de celda por recluso covid positivo,"Los alcances del primer interno contagiado con covid-19 que contabilizan las cárceles de la provincia siguen extendiéndose, después que la defensa de uno de los dos reclusos con los que comparte celda de aislamiento en audiencia de cautela de garantías exigiera su traslado a otra repartición dentro de la unidad penal de Castro. El requerido de 50 años arrojó negativo al examen de PCR que fue sometido por permanecer en contacto con este condenado que se infectó en su salida trimestral -cumple sentencia en el CET de Osorno por un robo con homicidio cometido en Dalcahue-, tras visitar a su familia en Chonchi. Por ser el penal castreño el más cercano fue remitido al recinto de calle Monjitas. Ante los riesgos de propagación, el defensor Nelson Troncoso, quien representa al sujeto que está en prisión preventiva por un caso de lesiones menos graves en contexto de violencia intrafamiliar pidió su cambio de módulo. ""La magistrada se contactó con Gendarmería y ordenó que se separara del contagiado con coronavirus y que permaneciera en otra celda cumpliendo con su aislamiento preventivo"", indicó el abogado. Igualmente, el profesional remarcó que hoy, también por este mismo isleño, se analiza un recurso de amparo que interpuso ante la Corte de Apelaciones de Puerto Montt para impugnar la decisión que lo privó de libertad por esta causa de VIF. ""Pedimos que se suspenda el procedimiento por enajenación mental y salga de la cárcel, ya que presentamos informes siquiátricos, la ficha clínica que demuestra esta condición"", manifestó el abogado."
6,Corte de Apelaciones falla a favor de estudiante sancionado por acoso,"La Corte de Apelaciones de Puerto Montt falló a favor de un alumno de la carrera de Psicología de la Universidad de Los Lagos (ULagos), sede Puerto Montt, a quien la casa de estudios le había quitado la calidad de alumno regular, producto de una acusación hecha por una compañera en su contra, debido a un presunto acoso sexual. La investigación de la ULagos habría llegado a la conclusión que la imputación por abuso sexual sería efectiva, y según explicaron desde la universidad, en dos ocasiones. Desde a ULagos se indicó que ""la investigación realizada siempre fue considerada la responsabilidad que asiste a nuestra institución como formadores, no tan sólo de profesionales, sino de personas, por lo que las acciones se enmarcaron en el ámbito de las competencias de esta universidad"". Lo que no está claro es si por estos hechos hubo o no una denuncia ante el Ministerio Público, por tratarse el abuso sexual de un delito. Mauricio Uribe, abogado del estudiante de Psicología de 25 años, dijo que la Corte de Apelaciones fue drástica, porque ordenó eliminar el decreto con el cual el joven había perdido su calidad de estudiante. Uribe explicó que su representado estaba en la última etapa de su carrera, por lo que la determinación de la universidad fue perjudicial, cayendo además el estudiante en un estado depresivo que lo mantuvo con tratamiento psicológico. ""El fallo no refleja más que la materialización del respeto a determinadas garantía consagradas, particularmente en el artículo 19 número 3 de la Constitución Política, condenando a la universidad por aplicar una sanción disciplinaria por hechos acontecidos fuera del ámbito universitario, hecho que convierte a dicho órgano en una comisión especial, ya que se aboca al conocimiento de hechos que escapan a la competencia que su propia normativa interna les faculta"". Desde la ULagos se dijo que acatarán la decisión de la Corte de Apelaciones y que ""el tribunal de alzada dejó sin efecto la aludida sanción disciplinaria, sólo por haberse perpetrado los hechos fuera de las instalaciones universitarias""."
7,"Emilfork: ""Hay que hacerse cargo del exacerbado centralismo que existe""","Luego de su renuncia al Ministerio Público hace más de un año, hecho que no estuvo exento de polémica tras una serie de discrepancias con el titular de la Fiscalía Nacional, Jorge Abbott, el ahora exfiscal de la Región de Los Lagos Marcos Emilfork Konow comenzó una nueva aventura, esta vez en la arena política. Se trata de su candidatura como independiente en cupo de la Unión Demócrata Independiente (UDI) para competir por un escaño en la Convención Constitucional, representando al distrito 26 que incluye a las provincias de Chiloé y Palena, más las comunas de Puerto Montt, Calbuco, Maullín y Los Muermos. Así, Emilfork se transforma en el primer expersecutor del país en inscribir su postulación para participar de la instancia que redactará la nueva Constitución, en los comicios del próximo 11 de abril. De profesión abogado, el también magíster en derecho constitucional asegura que su trayectoria en el servicio público lo avala a la hora de querer ser parte de este proceso histórico para Chile. Tras haber dejado el Ministerio Público, según la ley orgánica que rige a los fiscales, su inhabilidad en política por dos años apunta solamente a cargos de diputado y senador, pero respecto a otros puestos de representación popular solamente debe pasar un año. A pesar de no contar con experiencia previa en el ámbito político, Emilfork afirma que la determinación nace a partir de los requerimientos de la sociedad civil, destacando por ejemplo su participación en la investigación del caso Sename. -¿Cómo surge la decisión de postularse a esta elección para la Convención Constitucional? -Primero, porque se trata de un hito tremendamente trascendental para el país; la Constitución representa las bases fundamentales en las cuales se estructuran el poder público, el Estado y los derechos de los ciudadanos frente al Estado, de tal manera que me parecía importante participar de este proceso democrático y además que es muy legítimo participar de él. Segundo, desde esta perspectiva tuve también acercamientos de la Fundación Levanta Chile, que agrupa al comercio, a los trabajadores, a los profesionales, a los emprendedores del país, para poder también tener la perspectiva de la sociedad civil. Cuento con el apoyo de Chile Vamos y particularmente estoy muy agradecido, fui patrocinado por la UDI para poder participar. -¿Cree que su experiencia como funcionario de la Fiscalía suma a la hora de proyectar un buen resultado en las elecciones? -A mí me parece clave, yo he estado en todos los puntos de la región, he estado en Chiloé, en Palena, en Puerto Montt; recordemos que en mi experiencia como fiscal regional me tocó también lo de Santa Lucía, me tocó mucho yendo a los distintos puntos cuando el Tribunal de Futaleufú tuvo que revisar a Chaitén. En Chiloé (participé en) todo el trabajo que se hizo a nivel de delitos sexuales, en relación a los niños, niñas y adolescentes víctimas de delitos sexuales en la Isla; los seminarios que realizamos; las ""Jornadas de Derecho""; que haya podido llegar la SIAT (Sección de Investigación de Accidentes de Tránsito) de Carabineros y una Brigada Investigadora de Delitos Sexuales (Brisexme, de la PDI) a la Isla… La construcción de los edificios de la Fiscalía en la región. Toda esa experiencia, además del contacto directo con las personas, con las víctimas, la impronta que dimos en la preocupación a las víctimas en la región y el haber estado presente en distintos lugares de la región, por cierto, me parecen absolutamente claves. -¿Cuáles son las principales necesidades que ha identificado en la zona y que eventualmente pudieran ser plasmadas en la nueva constitución? -Primero, hay que hacerse cargo del exacerbado centralismo que existe y profundizar fuertemente la autonomía regional, y dentro de la región la autonomía de las provincias, particularmente de Chiloé y Palena. No puede seguir una estructura político-administrativa y una asignación de recursos que finalmente postergan a los gobiernos locales y a los gobiernos regionales. ""(Debemos) Profundizar fuertemente la autonomía regional, y dentro de la región la autonomía de las provincias, particularmente de Chiloé y Palena"". Marcos Emilfork, abogado."
8,"Después de 5 semanas en fase 2, Puerto Montt vuelve a cuarentena","A un mes y siete días de haber avanzado a fase 2 (Transición) en el plan Paso a paso, la comuna de Puerto Montt nuevamente volverá a cuarentena a contar de las cinco de la mañana de este jueves 14. La decisión fue comunicada ayer por la subsecretaria de Prevención del Delito, Katherine Martorell, durante un punto de prensa realizado en La Moneda, ocasión en la que detalló que también retroceden a confinamiento total las comunas de Puerto Varas y Calbuco, en la Provincia de Llanquihue; así como Castro, Ancud, Dalcahue y Quellón, en la de Chiloé; además de Osorno, en la provincia del mismo nombre. Asimismo, desde la misma fecha la comuna de Hualaihué, en la Provincia de Palena, deja de estar en fase 4 (Apertura inicial) y queda en la etapa 2. Al analizar el escenario regional, el doctor José Antonio Vergara, epidemiólogo de la Seremi de Salud, partió reconociendo que ""estamos en una situación muy crítica"". Definió que el criterio principal que se ha empleado en esta oportunidad es la incidencia de nuevos casos. ""Hay comunas que están teniendo tasas de incidencia muy altas, que se traduce, por ejemplo, en la mantención de casos activos en un volumen muy importante, que a su vez son fuente de nuevos casos"", dijo. Según el informe de la Seremi de Salud, Puerto Montt reportó ayer 188 nuevos casos, para acumular 10.496 desde el comienzo de la pandemia. En cuanto a sus casos activos, totaliza 919, de los 1.516 de la Provincia de Llanquihue. Vergara añadió que el número reproductivo efectivo regional es de 1,29 ""superior incluso al de la Región Metropolitana"", por lo que argumentó que la medida de cuarentena total ""se hizo imprescindible en el escenario actual"". Ante una consulta, el epidemiólogo sostuvo que la situación de las comunas que retroceden a cuarentena ""es homologable"" al estado regional, ""con un incremento importante en la incidencia de casos y en la tasa de prevalencia de casos activos, que se transforman en una fuente potencial de nuevos casos"". El doctor Vergara argumentó que el ascenso de la frecuencia de aparición de casos nuevos ""tiene que ver con las comunas que son más populosas, en función de las masas de población entre las que el virus tiende a circular. La conurbación que existe entre Puerto Montt y Puerto Varas es un ejemplo del intenso intercambio de personas durante todo el día, entre ambas comunas "", apuntó. El secretario regional ministerial (seremi) de Salud, Alejandro Caroca, aseveró que ""cada uno de nosotros ha fallado"" en cuanto a mantener las medidas preventivas de contagio, como el uso adecuado de la mascarilla, mantener el distanciamiento social y el frecuente lavado de manos. ""El comportamiento de la población no ha estado a la altura"", añadió, lo que ha implicado -sostuvo- tener que implementar medidas de restricción del movimiento y libertades. Sobre la implementación de esta segunda cuarentena, el seremi Caroca resaltó que a diferencia de la primera, que se extendió por 4 meses y 6 días, el nuevo plan Paso a paso anunciado ayer por el gobierno, definió que estos confinamientos no se extenderán más allá de cuatro semanas. Caroca comentó que podría levantarse esta restricción, lo que depende la tendencia que muestren los contagios y las cifras. ""Lo peor que nos podría ocurrir como comunidad es que al cabo de un mes sigamos igual o peor (...). Sería fantástico a lo mejor estar en dos semanas más anunciando que lo hemos hecho tan increíble, cada individuo de nuestra comunidad, que podamos retrotraernos a una situación mejor"", aventuró. Cuando se le preguntó si las cuatro semanas definidas es el límite definitivo, aunque no haya variación favorable de los indicadores sanitarios, enfatizó que ""la idea de las medida de cuarentena acotada es cortarla a contar de la cuarta semana"", aunque se podría prolongar si es que se evidencia ""una situación más dramática aún; es decir, en extremo complejo que esperemos que -obviamente- no lleguemos"". Anticipó que habrá fiscalizaciones internas en cada ciudad y que implementarán cuadrillas especiales junto a las Fuerzas Armadas y Carabineros ""que van a ir de manera aleatoria buscando centros (de aglomeración de personas), con la finalidad de ir disminuyendo la movilidad"". Advirtió que serán inflexibles en cuanto a la verificación de los requisitos de desplazamiento, lo que implicará sumarios sanitarios y sanciones, en lo que no descartó proceder a la respectiva detención. En cuanto a las actividades permitidas en cuarentena, el seremi de Salud especificó que sólo estarán autorizadas las de rubros esenciales, con el debido permiso único colectivo. ""Independiente que las personas cumplan con la normativa vigente (permiso colectivo), vamos a realizar investigaciones para certificar la veracidad"", por lo que recomendó incentivar el teletrabajo. Los actuales indicadores han provocado una fuerte tensión de la red asistencial, lo que se ha visto reflejado en que ayer sólo había 3 camas UCI disponibles en toda la región, así como 14 ventiladores mecánicos para ser utilizados. El doctor Jorge Tagle, director del Servicio de Salud del Reloncaví, sostuvo que las unidades vacantes corresponden a la Clínica Alemana de Osorno y a los hospitales de Castro y de Puerto Montt. El coordinador regional de ""La conurbación que existe entre Puerto Montt y Puerto Varas es un ejemplo del intenso intercambio de personas durante todo el día"" José Antonio Vergara,, epidemiólogo de la Seremi de Salud. ""Lo peor que nos podría ocurrir como comunidad es que al cabo de un mes sigamos igual o peor"" Alejandro Caroca,, seremi de Salud. la red asistencial subrayó que ""estamos viviendo la situación más compleja en toda la pandemia"". Tal preocupación se extiende a los 228 enfermos covid que están hospitalizados en la región, de los cuales 117 están en el HPM, donde hasta las 11 horas de ayer, había 25 contagiados en la UCI, 21 de ellos conectados a ventilación mecánica invasiva. La directora de ese centro asistencial, Mónica Winkler, reconoció que hubo 11 ingresos de pacientes covid en las últimas 24 horas y que 50 de esos pacientes ocupan camas críticas, de las que existen 37 camas UCI adulto y 61 UTI. Ante este panorama, admitió que están tomando medidas ""para seguir avanzando en la complejización de camas durante esta semana y así sumar tanto cupos UCI como cupos UTI en los próximos días"". A ello sumó que resolvieron suspender las cirugías electivas, ""excepto las de tiempo sensible como el cáncer""; y que difieren prestaciones ambulatorias que no sean de primera necesidad, salvo el Policlínico de Tratamiento Anticoagulante, el Policlínico de Unacess o enfermedades de transmisión sexual, los controles pos-alta y pos-quirúrgicos, entre otros. Respecto del retroceso a cuarentena, el alcalde de Puerto Varas, Ramón Bahamonde, reaccionó con molestia, especialmente porque no fue informado de la medida. ""Que el señor ministro (Enrique Paris) no le exija a la gente que cumpla medidas restrictivas, cuando ellos no tienen la capacidad ni siquiera de comunicación para tomar medidas (...). Si la gente está violando todas las disposiciones, es porque no han sabido y no tienen los cojones ni la capacidad de tomar soluciones adecuadas"", manifestó. El jefe edilicio reclamó que no hay diálogo ni conocimiento de la realidad de Puerto Varas. ""Lo siento por nuestra gente por quienes crearon una inversión turística y que es tirada por el suelo al minuto. No se puede jugar con la gente"", manifestó. Bahamonde recordó que hace 15 días la subsecretaria de Salud, Paula Daza, analizó con él medidas a implementar ""para que Puerto Varas se incorpore a las políticas de desarrollo del turismo y sea un punto vacacional"". Consideró el anuncio de retroceso a cuarentena ""como un portazo, sin tener la decencia de comunicarse con las autoridades locales y poco respeto al comercio establecido"", ante lo que pidió que ""no nos invadan con violaciones a las disposiciones vigentes, porque la gente ya les perdió la confianza y el respeto a cualquier decisión que puedan tomar, si no hay una comunicación que llegue a la fuente oficial que debe comunicarse con las personas"". 38 días o 5 semanas y 3 días en la fase 2 (Transición) alcanzará a estar Puerto Montt este jueves, cuando comience su segunda cuarentena por covid. 18 semanas y 5 días fue la primera cuarentena en Puerto Montt (29 de julio al 7 de diciembre). Este nuevo confinamiento no debería sumar más de 4 semanas."
9,Mujer es imputada de matar a su pareja y es perseguida por vecinos,"Por parricidio fue formalizada una joven de 23 años, quien fue detenida por la policía imputada de dar muerte a su ex pareja, la noche del jueves, en la casa donde ella celebraba su cumpleaños, en el pasaje Los Herreros de Villa Artesanía. La mujer, de iniciales Y.A.O.E. -el tribunal prohibió dar su nombre-, también es investigada por otra agresión con arma blanca contra su ex pareja, presuntamente ocurrida entre el 19 y 20 de septiembre de 2020 en el mismo domicilio, y en el contexto de un hecho de violencia intrafamiliar (VIF). Esta vez el desenlace fue distinto. Según lo indagado por la Fiscalía y carabineros del OS9, la joven atacó con un cuchillo carnicero a Marcelo Edgardo Díaz Ruiz (46 años), quien murió producto de las lesiones. Según un testigo del ataque, Y.A.O.E. le propinó una puñalada en el cuello a Díaz Ruiz, quien trabajaba en la Municipalidad de Puerto Montt. La dinámica del parricidio fue dada a conocer en la audiencia de formalización de cargos por el fiscal (s) Andreas Kusch, quien estuvo en el lugar donde se desató la tragedia. Fueron varias las personas, entre amigos, vecinos y familiares, los que llegaron a festejar el cumpleaños de Y A.O.E. El incidente se registró cuando ella, la víctima y un amigo se quedaron solos ingiriendo bebidas alcohólicas en el hogar. El fiscal Kusch mencionó que tras el parricidio, un grupo de vecinos persiguió a la imputada por el barrio para evitar que huyera. ""Había como 20 personas que querían agredir a la imputada en el pasaje. Por ello, se ocultó en una casa vecina. La persona fallecida era su conviviente, con quien tienen un hijo en común. Ya había antecedentes anteriores"", relató el persecutor penal. En la audiencia virtual en el Juzgado de Garantía, el fiscal apuntó que el OS 9 recogió la declaración de un testigo presencial. Este indica que ""comienzan a discutir. El testigo se preocupa de dos niños que lloraban mucho. Ella, mientras discutía con su ex pareja, va a la cocina y llega con un cuchillo carnicero, con empuñadura de madera"". Señala además que cuando la imputada apuñala a Marcelo Díaz a la altura del cuello, el hombre le dijo: ""Viste lo que hiciste"", perdiendo el conocimiento de forma inmediata. En la misma audiencia, el abogado de la Fiscalía recordó una denuncia previa de violencia en contra del trabajador municipal: ""No era primera vez que ocurría esto. Incluso la herida de la víctima ya había cicatrizado"". Esa causa está pendiente aún, por lo cual ya fue formalizada y sigue en etapa de investigación. Ello sucedió en septiembre y estaba sometida a arresto domiciliario parcial y tenía prohibición de acercarse a su ex pareja. El abogado Gonzalo Castro, defensor de la imputada, entregó otra versión de los hechos. ""Mi representada señala que la víctima es la que se autoinfiere la herida en el cuello. Es una situación que ella no buscó, porque estaba en su casa. El único antecedente que existe es que el arma blanca coincide con la herida del cuello"", reveló. Castro agregó en la audiencia virtual que su defendida no habría participado en el hecho. ""Mi representada se tuvo que esconder, porque se produjo una ""funa"". Por ello se tuvo que ocultar. Todas las personas que estaban en el lugar se encontraban en estado etílico"", indicó. Finalmente expuso que los hechos ocurridos acaecieron en un contexto de violencia intrafamiliar (VIF). El magistrado Miguel Ángel García, tras escuchar los alegatos, resolvió la prisión preventiva para la imputada por parricidio. En su argumentación, el juez recordó la causa vigente por VIF del mes de septiembre, donde las ""cautelares eran de no aproximarse a la víctima y arresto nocturno"". Según el magistrado, ""la presencia del fiscal en el sitio del suceso allana la labor con la policía. El fiscal proporciona los datos del sitio del suceso y son concordantes con lo señalado por el testigo. (La imputada) es peligro para la seguridad social, lo que permite concluir que cualquier cautelar alternativa ""Mi representada se tuvo que esconder por una funa. Por ello se tuvo que ocultar."" Gonzalo Castro Defensor de Y.A.O.E. resulta insuficiente y se otorga la prisión preventiva"". García también decretó un plazo de seis meses para el cierre de la indagatoria. El prefecto de Carabineros, teniente coronel Fernando Fajardo, dijo que las unidades especializadas del OS 9 y el Laboratorio de Criminalística (Labocar) están a cargo de la investigación. Explicó que las primeras diligencias arrojaron que había un problema de ""índole sentimental"" entre la pareja, que incluso producto de ello estaban separados. ""Carabineros realizó las primeras diligencias y se logró establecer que el autor material del hecho había sido su ex conviviente, con la que estaba separado. Tenían una relación esporádica y, de acuerdo a los primeros antecedentes, se habría generado esta agresión por una desavenencia de orden sentimental, por el exceso de la ingesta de bebidas alcohólicas"", reveló el oficial. Marcelo Díaz era un funcionario de la Dirección de Tránsito de la Municipalidad. El trabajador tenía un hijo de 4 años con la imputada, quien hasta ayer estaba con su abuela. Sin embargo, esa situación tendrá que ser resuelta por el Juzgado de Familia, ya que no tendría más redes de apoyo. ""Estamos consternados por la pérdida del funcionario Marcelo Díaz Ruiz, quien se desempeñaba en la Dirección de Tránsito del Municipio de Puerto Montt. Expresamos nuestro sentido pésame por este fallecimiento y le enviamos nuestras sentidas condolencias a la familia, colegas y amigos"", se indicó desde el Municipio. 180 días es el plazo decretado por el magistrado Miguel García para el cierre de la investigación. 46 años tenía la víctima, quien murió en el mismo lugar donde fue atacado, con una estocada a la altura del cuello. 22.40 horas fue el llamado a la Central de Comunicaciones de Carabineros (133), dando cuenta del parricidio."
