,title,text
0,Campesino admite feroz paliza propinada contra su padre de 76 años,"Tras una nueva embestida contra su padre de 76 años, un campesino del sector Ichuac, comuna de Puqueldón, fue detenido y puesto a disposición de la justicia. El sujeto reconoció la paliza propinada a su progenitor, quien resultó con lesiones de seriedad, con el objeto de ver disminuida la pena en su contra. Al interior de su propio hogar, la víctima recibió el feroz ataque por parte de su hijo, quien utilizando golpes de pies y puños le ocasionó diversas contusiones y hasta una fractura nasal que obligaron a su traslado hasta el Hospital de Castro. La denuncia fue interpuesta ante Carabineros del Retén lemuyano, que inició las primeras pesquisas del caso, las cuales posteriormente fueron remitidas mediante orden a la Brigada de Investigación Criminal (Bicrim) de Castro. Justamente, fueron los detectives quienes cumpliendo un requerimiento judicial de detención, ubicaron al imputado y procedieron a su aprehensión. En audiencia virtual con el Juzgado de Garantía de la capital chilota, realizada este miércoles, el agricultor de iniciales J. M. M. C. (44) fue formalizado por el delito de lesiones graves en contexto de violencia intrafamiliar (VIF). Al reconocer su autoría en los hechos registrados el 24 de abril pasado, el chilote accedió a un juicio simplificado. Así lo especificó el fiscal de turno, Fernando Metzner, quien expuso en la sesión judicial que este sujeto mantiene múltiples condenas por desacato, amenazas y lesiones en VIF, entre ellas, dos respecto de su padre. También tiene antecedentes penales por otros ilícitos. ""Considerando la voluntad de la víctima se desarrolló este simplificado y esta persona fue condenada a una pena efectiva de 300 días de presidio, que será cumplida en el CDP (Centro de Detención Preventiva) de Ancud, a petición de su padre. También se decretó la prohibición de acercarse a la víctima por un año"", indicó el persecutor. Por su parte, el defensor Nelson Troncoso manifestó que a su representado se le calificó la colaboración sustancial para acceder a este término judicial. ""Se ofreció una pena que consideramos razonable, ya que pudo haber arriesgado más de 3 años de presidio"", explicó el jurista, sumando que el hoy condenado estuvo de acuerdo a la sanción, por la cual se le abonarán dos días, tiempo en que permaneció privado de libertad. Eso sí, el abogado expuso que la versión del imputado da cuenta que ""actuó en defensa de su madre"". Una postura que no resultó plausible y no fue considerada por la magistrada Alejandra Varas. Los casos policiales por VIF a hombre y adulto mayor experimentaron un alza en Chiloé. Según datos de la Subsecretaría de Prevención del Delito, durante el primer trimestre se registraron 60 casos de ataques de varones, con relación a los 55 en igual período del 2020. Los casos a ancianos aumentaron un 83%."
1,Excarabinero queda preso tras ser formalizado por ultrajes a niñita en Ancud,"En prisión preventiva quedó en las últimas horas un excarabinero, sindicado como responsable de sistemáticos ultrajes contra la hijita de quien era su pareja, en los momentos en que vivía en Ancud. Un caso que se remonta al 2014, pero que recién ahora está mostrando sus aristas procesales formales. Vía remota desde el Juzgado de Garantía de Rancagua, ciudad donde ahora reside, el imputado fue puesto a disposición de la justicia tras materializarse una orden de detención -emitida el mes pasado- en su contra en dicha ciudad, la cual concretó personal de la Brigada Investigadora de Delitos Sexuales (Brisex) de la comuna del Pudeto, en conjunto con sus pares de la capital de la Región de O'Higgins. La actuación policial fue ajustada a derecho, como se determinó en el tribunal rancagüino. La indagatoria, por su parte, fue encausada en contacto telemático con el Juzgado de Garantía de Ancud. En la ocasión, el fiscal Javier Calisto expuso los antecedentes del hecho, que se sitúan en un domicilio del radio urbano de Ancud, donde el encartado habría agredido a la víctima que recién se empinaba por los 10 años. Por aquella temporada del 2014, el sujeto prestaba servicios para la Primera Comisaría de Carabineros local. Tal como explicó el persecutor, el aberrante caso quedó en evidencia tras ""la denuncia realizada el año pasado, la cual indagó la Brisex de Ancud"". Los informes de la unidad especializada, que incluyeron empadronamientos y análisis del relato de la menor, como la prueba científica y forense recopilada, sustentaron las convicciones del Ministerio Público. De esta forma, el abogado formalizó una investigación contra el expolicía (fue dado de baja) por abuso sexual y violación impropia, en su calidad de autor de los ilícitos con grado de desarrollo de consumados. ""Se solicitó la prisión preventiva debido a la gravedad y penalidad de los delitos"", reportó el fiscal Calisto, como base para justificar que la libertad del joven de 32 años constituye un peligro para la seguridad de la niña y la sociedad. Esta gravosa precautoria contó con la oposición del defensor penal público Filippo Corvalán, quien remarcó que ""se alegó la falta de antecedentes para aducir responsabilidad en los hechos a mi representado"". La magistrada Vania Angulo acogió la medida cautelar que ingresó a cumplir el encartado oriundo de Punta Arenas, en el Complejo Penitenciario de Rancagua. Bajo este escenario y ratificando su disconformidad con la resolución judicial, el defensor puntualizó que ""se está analizando qué tipo de recurso se va a interponer dada la privación de libertad del imputado"". Se busca imponer una medida en el medio libre, en consideración a su calidad de excarabinero, con el objeto de resguardar su integridad física. 2004 año de nacimiento de la menor que vivió esta pesadilla develada el año pasado. 90 días se decretaron para llevar a cabo la investigación por estos dos delitos."
2,Rechazan amparo en favor de excarabinero preso por ultrajes a niña,"La Segunda Sala de la Corte de Apelaciones de Puerto Montt rechazó en las últimas horas un recurso de amparo deducido contra la jueza suplente del Juzgado de Garantía de Ancud, Vania Angulo, después de su resolución que dejó en prisión preventiva a un excarabinero formalizado por ataques sexuales contra la hija de quien era su pareja en la ciudad del Pudeto. El defensor Filippo Corvalán interpuso el requerimiento con el objeto de revertir la gravosa precautoria dictada contra el imputado de 32 años, quien fue encausado por abuso sexual y violación impropia, por los presuntos ultrajes perpetrados el 2014 contra una niñita de apenas 10 años. Como explicó el abogado, el tribunal de primera instancia ""hizo un escueto análisis"" de los antecedentes que presentó en audiencia, para desvirtuar la existencia del delito y, principalmente, la participación de su representado. Añadió que ""no hay prueba concluyente para vincularlo"". Igualmente, el jurista justificó su acción legal remarcando que no se expusieron los fundamentos que sustentan la cautelar, como tampoco las evidencias investigativas y elementos probatorios obtenidos en esta etapa procesal por parte del Ministerio Público. Bajo ese escenario, el profesional solicitó otra medida menos intensiva. Una propuesta que desecharon los ministros. Según el fallo de alzada, ""no se aprecia la ocurrencia de la falta de fundamentación que alega la recurrente, sino más bien una disconformidad con el contenido de la resolución"", que señalaron ""ha sido adoptada en el marco de las competencias que le reconoce la ley"" a la magistrada. Agregó la sala que tampoco concurre una infracción al principio de inexcusabilidad que invocó Corvalán, enfatizando que sí se consideraron todas las alegaciones de la defensa para emitir el dictamen."
3,Fiscalía acreditó que mujer fue violada por el imputado,"El Tribunal Oral en lo Penal de Castro entregó un veredicto condenatorio en contra de un sujeto de 40 años de edad que fue acusado por la Fiscalía por el delito de violación  de una mujer de 44 años, hecho ocurrido en noviembre de 2018. En tanto, el tribunal decidió absolver al imputado por un delito de ofensas al pudor y buenas costumbres, que también era parte de la persecución penal, hecho ocurrido en noviembre de 2017, cuando la víctima, una mujer de 29 años se encontraba al interior de la locomoción colectiva. DOS DELITOS Según lo señalado por el Fiscal del Ministerio Público de Castro, Enrique Canales, el juicio oral contra el imputado se inició el pasado lunes por ambos delitos. En la oportunidad el ente persecutor entregó los diferentes antecedentes policiales y periciales reunidos en el marco de las investigaciones de ambos casos. Respecto al primero ellos señaló que “la violación fue cometida en contra de una mujer, aprovechándose el acusado de la vulnerabilidad de esta, debido a que se trataba de una persona que presentaba consumo problemático de alcohol. La segunda víctima, se trataba de un delito de ofensas al pudor, tocaciones, que fueron realizadas por este sujeto, en contra de esta persona al interior de un vehículo de transporte público”, explicó el abogado. Canales señaló que durante la jornada se presentó ante la terna de jueces los informes emanados del Servicio Médico Legal, como también las conclusiones a las que llegaron los efectivos policiales de la brigada especializada de la PDI, además de otros elementos probatorios. Esto logró generar la convicción de participación del imputado en el delito más gravoso. “Luego de rendida la prueba, fundamentalmente testigos, peritos, y especialmente la cuenta que se dio del trabajo investigativo realizado por una oficial de la Brigada de Delitos Sexuales de Ancud, el tribunal determinó un veredicto condenatorio respecto del caso de violación, y una decisión de absolución en relación a ofensas al pudor”, expresó CAMBIO Respecto al último de los casos, en el cual  el tribunal no accedió a la petición de la Fiscalía, Canales señaló “no fue posible acreditar el grave escándalo público, transcendencia del hecho. Actualmente la ley vigente contempla nuevos delitos que vienen a abordar este espacio de impunidad que de alguna manera se producía en la sociedad al sancionar los abusos sexuales por sorpresa o acoso callejero, como se ha señalado en los medios de comunicación”, expresó. No obstante, la lectura de la sentencia con la pena que efectivamente se va a aplicar al imputado será dada a conocer en horas de la tarde del próximo viernes."
4,Sujeto acusado de violación recibió condena de 5 años de cárcel efectiva,"A 5 años de cárcel efectiva fue condenado un sujeto tras ser encontrado culpable de la violación de una mujer en la ciudad de Castro. Tras acreditar su participación en un juicio desarrollado la semana pasada, el Tribunal Oral en lo Penal de Castro determinó una pena de efectiva de cárcel. En tanto, en la misma sentencia, el tribunal absolvió al imputado por un segundo delito por el cual fue encausado por el Ministerio Público, y del cual no se pudo acreditar su participación. CARCEL EFECTIVA Según lo señalado por el Fiscal Jefe del Ministerio Público de Castro, Enrique Canales, finalmente el tribunal no acogió la pretensión de la defensa en que el tribunal reconociera una colaboración en el esclarecimiento de los hechos por parte del imputado. “Lo relevante de esta sentencia es que fijó una pena de 5 años y un día de privación efectiva de libertad, desechando el tribunal la pretensión de la defensa en el sentido de reconocer una suerte de colaboración en la investigación, argumentos que fueron rebatidos por el Ministerio Público en la audiencia respectiva, considerando que el imputado nada aportó en el esclarecimiento del hecho y en poder determinar su responsabilidad penal, cuestión que fue acogida”, dijo Canales. De igual forma, indicó que respecto de un segundo delito de carácter sexual por el que también era enjuiciado, el tribunal finalmente determinó su absolución. “Esta situación es en contra de otra mujer, y esta vez se trató de tocaciones realizadas al interior de un bus del recorrido urbano en la ciudad de Castro. La razón para esa absolución es que el tribunal estimó que no se había logrado acreditar el grave escándalo o transcendencias que había tenido este hecho”, dijo el abogado, requisito que ya se contempla con la dictación de una ley que determinó nuevos delitos a propósito del acoso sexual callejero. NUEVA FORMALIZACION El abogado igualmente entregó información de un nuevo hecho delictual de connotación sexual en contra de una mujer que ocurrió en la comuna de Ancud y por el cual se desarrollaron diligencias y existe una persona formalizada. Según explicó canales, el sujeto fue detenido e imputado por “el delito de violación cometido en la comuna de Dalcahue, en perjuicio de una mujer de 27 años. Se amplió la detención hasta el día martes a objeto de contar con las diligencias preliminares que fueron realizadas por la Brigada de Investigación de Delitos Sexuales de la PDI, y también los informes sexológicos necesarios para poder sostener este acto de formalización”. Agregó que luego de realizada la audiencia, se solicitó al tribunal la prisión preventiva para el imputado. “La que fue decretada considerando que su libertad es peligrosa para la seguridad de la víctima y de la sociedad, considerando la gravedad del delito y las circunstancia en que fue cometido”, sentenció el fiscal. Se fijó un plazo de investigación de 90 días."
5,Relato de niña acreditó abusos sexuales: su autor cumplirá pena en libertad,"Gracias al valiente relato de la víctima, se acreditó la responsabilidad de un sujeto en los aberrantes ataques en su contra, en la casa que compartían en Ancud. Un nuevo caso de abuso sexual infantil que se ratifica judicialmente y por el cual su autor tendrá que cumplir 3 años y un día de libertad vigilada intensiva. Así fue resuelto en las últimas horas por la sala presidida por el magistrado Patricio Carrasco del Tribunal Oral en lo Penal (TOP) de Castro, donde se desarrolló el juicio virtual y posterior lectura de sentencia contra el acusado de 29 años, quien era la pareja de la madre de la menor. Como establecieron los jueces, el joven habría perpetrado estas agresiones -en carácter de continuadas- entre mediados del 2018 y comienzos del 2019, en el sector urbano de la ciudad del Pudeto. Una conclusión a la que arribaron gracias a la evaluación de la prueba, en especial el testimonio de la pequeña que tenía apenas 11 años cuando comenzó a sufrir esta pesadilla en su hogar. La versión de la niña fue valorada por el fiscal Javier Calisto, quien estuvo a cargo de la indagatoria, añadiendo que ""hay que destacar la declaración de la menor, que pese al tiempo transcurrido, dio cuenta con claridad lo sucedido. También hay que resaltar el apoyo de sus cercanos que testificaron sobre los hechos"". Otros medios probatorios que complementaron y sustentaron estos testimonios fueron aportados por la Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud y peritos que acreditaron la credibilidad del relato de la afectada. ""Igual hay que destacar la prueba científica que se presentó, como los peritajes sicológicos y personas que ayudaron a obtener un resultado positivo, más allá de lo lamentable que son este tipo de casos"", reconoció el persecutor. El representante del Ministerio Público había invocado una pena de 7 años de presidio, en base a cargos por abuso reiterado. Al ser rechazado este punto y dictarse una condena en carácter de continuado (varias acciones ilícitas del mismo tipo ejecutadas en tiempos diversos, que son castigadas como un solo hecho punible), rebajó su pretensión en 5 años. Finalmente, los sentenciadores dictaron una sanción en el mínimo del grado que postuló el Ministerio Público. ""Está de acuerdo al marco legal, aunque fue más lo que solicitamos"", sostuvo Calisto, añadiendo que se reconoció la atenuante de la irreprochable conducta anterior y se desechó la colaboración sustancial para llegar a esta pena sustitutiva. Por su parte, la defensora particular Vanessa Pérez, quien había solicitado al inicio de la audiencia la absolución, en razón a ""que la prueba era insuficiente, debe fundarse en testigos y ser apoyada en evidencia objetiva que en este caso no existe, solo está el relato de la menor"", como reportó, se encuentra analizando en profundidad el fallo. Bajo este escenario, la jurista consignó que ""se está estudiando esta resolución y junto a mi cliente evaluaremos algún recurso de nulidad"". 14 meses de libertad vigilada había invocado la defensa tras la condena del joven. 10 días tienen las partes para recurrir ante la Corte de Apelaciones tras el fallo."
6,Amplio dispositivo policial sumó 200 controles en el centro y periferia de Castro,"Un amplio contingente participó en las últimas horas de un nuevo servicio policial focalizado en Castro, que cubrió sectores céntricos y poblacionales. Hasta personal de las comisarías de Ancud y Quellón llegó a reforzar este despliegue que arrojó cerca de 200 fiscalizaciones. Junto a las decenas de uniformados se sumó el apoyo del nuevo móvil de Seguridad Pública municipal, como también funcionarios del Senda. El grupo controló los principales requerimientos de la comunidad en los ámbitos delictivos como de incivilidades. Así lo destacó el mayor Gustavo Guajardo, jefe de Carabineros de la capital chilota, detallando que ""pese a registrarse solo un detenido por una orden judicial vigente, en virtud también de un cambio de metodología que ya no incluye a los infractores al artículo 318 del Código Penal (atentado contra la salud pública), se realizó un amplio servicio preventivo que ayuda a fortalecer nuestra presencia ante la comunidad"". El oficial remarcó que se efectuaron controles de identidad, vehiculares y al comercio establecido, en sectores como la Feria Alcalde José Sandoval y las poblaciones Manuel Rodríguez, Juan Soler, Salvador Allende, Camilo Henríquez y Padre Hurtado. A estas se sumaron el mirador Ten Ten, el sector Pid Pid y el radio céntrico de la ciudad, como el pasaje Luis Espinoza. Dentro de este despliegue se cursaron dos multas a locales patentados de alcoholes y 9 infracciones al tránsito. Asimismo, el comisario remarcó que estas iniciativas están basadas en la focalización de los ilícitos como la georreferenciación de los puntos más complejos en que se producen. ""Se identifican los tipos de requerimientos de la gente y los sectores en que llaman"", apuntó Guajardo, sumando que las principales denuncias no son por delitos de mayor connotación. ""Identificamos tres grandes áreas, como el centro de la ciudad, Galvarino Riveros incluyendo el sector alto y la parte norte de la comuna como Pid Pid, donde provienen los mayores llamados de la comunidad"", enfatizó el uniformado. Los ruidos molestos, las amenazas y violencia intrafamiliar, los desórdenes, el consumo de alcohol y drogas, como las carreras clandestinas y hasta los ataques de perros asilvestrados en el campo, constituyen las principales problemáticas en la comuna. ""Además, salimos con los antecedentes que aportó la SIP (Sección de Investigaciones Policiales) sobre las personas que tienen órdenes pendientes. Esto demuestra que estos servicios son planificados, los cuales se extenderán a otros sectores y comunas, dependiendo de la focalización que se realice"", precisó el mayor. Pedro Bárcena González pedro.barcena@laestrellachiloe.cl"
7,Absuelven a acusado de ultrajar a su hijita en la capital chilota,"Ante la falta de antecedentes probatorios para crear convicción en los sentenciadores, en las últimas horas un sujeto fue absuelto de los cargos de abuso sexual infantil, por los cuales enfrentó un juicio en el Tribunal Oral en lo Penal de Castro. Se le acusaba de ultrajar a su propia hijita de apenas 8 años. La sala presidida por el magistrado Patricio Carrasco analizó la evidencia presentada por el fiscal Enrique Canales y la querellante Karen Gómez, del Programa Reparación y Justicia, quienes invocaban una pena de 5 años de presidio contra el encartado, sindicado como autor del delito supuestamente perpetrado en septiembre del 2018, al interior de su domicilio en la capital chilota. El caso fue develado por la propia menor en su establecimiento educacional, con lo cual emanó la denuncia respectiva y se activaron las redes de protección, reparación y persecución penal. La Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud se encargó de la indagatoria hasta llegar a esta audiencia, donde no se logró desvirtuar la presunción de inocencia del imputado de 43 años. Como indicó el defensor penal público, Juan Manuel Castro, su representado ""siempre negó los hechos señalando que únicamente estaba en esa ocasión en la casa con su hija y que solo le hizo cosquillas en las rodillas"". Es más, el abogado afirmó que durante la declaración de la víctima en el juicio, ""coincidió con esta versión, indicando que le estaban haciendo cosquillas y que su padre nunca le alcanzó a tocar las partes íntimas. Esto también lo dijo su madre, como una sicóloga y una siquiatra que la intervinieron (a la menor), que coincidieron que la niña expuso que 'casi' se produjeron estas tocaciones"". Bajo este escenario y al momento de ser contrastada la prueba, en consideración que un policía y otra sicóloga sí hablaron de agresiones de connotación sexual, los sentenciadores determinaron acoger la tesis de la defensa relativa a insuficiencia probatoria para acreditar la inexistencia del delito como la participación del encartado. Este domingo se entregará la sentencia, donde los acusadores podrán estudiar en profundidad los razonamientos del tribunal para este dictamen y evaluar un recurso de nulidad ante la Corte de Apelaciones."
8,Anciano queda preso por femicidio frustrado: atacó a fierrazos a su pareja,"Ante el evidente riesgo que constituye su libertad para la seguridad de la víctima y la sociedad, un adulto mayor quedó ayer en prisión preventiva al ser sindicado como responsable de una nueva embestida contra su conviviente en Castro. El cuarto ataque en poco más de un año y que, finalmente, gatilló la cautelar más gravosa, al ser formalizado por femicidio frustrado como delito principal. Por tres días se había ampliado la detención del sujeto de iniciales J. P. A. G. (70), después que la noche del domingo golpeara con un fierro en la cabeza a la víctima de 50 años, tras un altercado al interior del domicilio que compartían en calle Profesor César Vera de la Villa Chiloé. Incluso, la mujer debió escapar de la casa para pedir ayuda a vecinos, desplomándose en la vía pública. Tal como explicó el jefe provincial del Servicio de Atención Médica de Urgencia (SAMU), Gonzalo Baeza, la afectada debió ser remitida al Hospital Augusto Riffart ""en estado de extrema gravedad"", hasta debió ""ser entubada ante el deterioro neurológico recibido"". Justamente, la evacuación de informes médicos y pericias policiales obligaron a prorrogar el lapso de la aprehensión antes de encausar la indagatoria formal, lo cual se concretó la mañana de este jueves en audiencia virtual con el Juzgado de Garantía castreño. El fiscal Luis Barría formalizó al encartado por los delitos de femicidio frustrado y desacato, ya que tenía prohibición de acercarse a la coyhaiquina, debido a los ataques anteriores perpetrados en su contra. Para graficar con mayor detalle el alto riesgo que vivía la vecina, el 10 de noviembre pasado este imputado reconoció su autoría en los delitos de lesiones menos graves, amenazas y dos desacatos (perpetrados entre el 10 de abril y 9 de noviembre del 2020), todos en contexto de violencia intrafamiliar (VIF), para acceder a una exigua remisión condicional de la pena por dos años. Con todos estos antecedentes, el persecutor invocó la prisión preventiva ""por la gravedad de los hechos y constituir (el imputado) un peligro para la seguridad de la sociedad y de la víctima, fundamentos que fueron acogidos por la jueza de Garantía de Castro que dictó un plazo de investigación de 90 días"". Asimismo, el abogado destacó que se logró llegar a este resultado, ""en base a antecedentes recabados por la Sección de Investigaciones Policiales (SIP) de Carabineros y del Servicio Médico Legal (SML) que permitieron sustentar los hechos y la calificación jurídica, como también las cautelares"". Por su parte, la directora regional del Servicio Nacional de la Mujer y Equidad de Género (SernamEG), Kattia Galindo, reportó que se sumarán a la causa, después que tomaran contacto con la víctima. ""Ella aceptó la representación jurídica y el apoyo reparatorio"", informó la personera, sumando que se le ofreció ingresar a la Casa de Acogida que tiene la institución en Ancud, pero rechazó la medida. Además, la profesional adelantó que ""este martes estaría ingresando el patrocinio legal y dentro de la semana (próxima) la querella"". El defensor penal público, Mauricio Díaz, discutió los presupuestos materiales de los delitos formalizados, remarcando que no se configuraría el desacato. ""Hay consentimiento, anuencia de la víctima para reanudar la vida en común. Además, todo esto se da en el domicilio de mi representado"", aclaró. Además, el abogado señaló que tampoco existiría un femicidio frustrado. ""Las lesiones fueron catalogadas como menos graves"", añadió, recalcando que no estuvo en riesgo la vida de la mujer. Por ello, el profesional solicitó una cautelar en el medio libre, lo cual no fue acogido por la magistrada Alejandra Varas. Sin embargo, Díaz consignó que está analizando una eventual apelación en alzada en busca de revertir esta precautoria."
9,"""Un gran anhelo para poder funcionar de mejor manera en Chiloé es implementar una Brigada de Homicidios""","La crisis sanitaria del covid-19 ha golpeado en todos los niveles. Por ello, la readecuación y reforzamiento de labores han sido la tónica en muchas instituciones. Y la Policía de Investigaciones (PDI) no es la excepción. Un escenario que queda de manifiesto en el análisis de la gestión en este último tiempo marcado por la pandemia. Así lo indica el prefecto inspector Gastón Herrera, jefe regional de la PDI, que en el marco del mes del aniversario 88 de la organización detalla cómo el coronavirus influyó en el despliegue policial, en los fenómenos delictivos y hasta en el avance de proyectos. -¿Cómo ha sido el impacto de la pandemia en la PDI? -Hemos tenidos que redoblar nuestros esfuerzos, al asumir funciones que nos son habituales. Por ejemplo, en Mocopulli estamos a cargo de la aduana sanitaria que está en el aeródromo; como sucedió en Ancud cuando tuvo aduanas y cordones sanitarias, estuvimos realizando controles. También vemos el tema de las vacunas, nuestra misión es evitar algún acto fraudulento como venta de vacunas falsificadas o robos de estas. También indagamos delitos de la salud pública, como pasó con la venta de alcohol gel que no estaba certificado y hasta falsificado. Junto a esto seguimos trabajando en la investigación de delitos de toda índole, por eso ha sido un tiempo muy complejo. -¿Los contagios mermaron su personal? -Tuvimos un brote en Castro y debimos subsanarlo con mucho sacrificio del resto. En Ancud los casos fueron puntuales, pero en Castro casi nos llevó la mitad de la dotación en un minuto y fue muy complejo. Afortunadamente, el 98% de dotación de la región ya está vacunada lo que constituye un importante resguardo. -¿Esta crisis incidió en los fenómenos delictivos, como en los casos de droga? -El año pasado incautamos alrededor de 65 kilos de droga en la región y este 2021 ya bordeamos los 40 kilos; es decir sobre el 60% del total pasado (61,5%). Entonces, existe un incremente en el ingreso de droga, como también los autocultivos. Por ejemplo, en Castro se incautó (abril del 2020) más de 12 kilos de marihuana y era todo autocultivo, esta modalidad ha aumentado producto de las mismas restricciones de la pandemia, los controles carreteros, eso ha mermado el ingreso libre de droga, proliferando el autocultivo de la cannabis. -Dentro de estas modalidades de tráfico, cuál ha sido el papel de las redes sociales como facilitador de la venta? -La venta online era algo que ya existía, con el tema de las cuarentenas y la pandemia se ha incrementado. Con las restricciones, los traficantes se reinventaron y aplicaron las mismas modalidades que existen para la venta de productos formales. Por ejemplo, en Ancud hemos tenido diligencias respecto a este tipo de venta tipo delivery. Un fenómeno que se ha visto en todo el país. -¿Otro tipo delito en alza en el último tiempo? -Primero es preciso señalar que ha existido una baja en los delitos de mayor connotación social. La pandemia minimizó muchos ilícitos, como los robos en viviendas. Pero sí aumentó en algunos delitos, como robos en lugares no habitados, como empresas o colegios. Al no estar con gente se produce la oportunidad de los delincuentes para ingresar. También hemos detectado un pequeño aumento en los delitos sexuales, violencia intrafamiliar (VIF) y los homicidios. -¿A qué se asocia esta problemática, el confinamiento ha influido? -Para el caso de las VIF sí se ve reflejado esto, aunque hay que aclarar que el confinamiento actúa más como un gatillante, puesto que los problemas al interior de las familias vienen de antes de la pandemia. Es más, la estadísticas dan cuenta que en el caso de violencia de género las mujeres tardan unos 7 años en denunciar. Por eso, con este tema del aislamiento y al estar más dentro de las casas, estas problemáticas aumentan. Igual, hay que aclarar que los primeros seis meses de la pandemia se vio una baja en estos delitos, los cuales después aumentaron lo que sería producto de la misma ""fatiga pandémica"", al no poder hacer su vida cotidiana. Por los delitos sexuales la dinámica es similar y por los homicidios, hemos tenido muchos por ingesta de alcohol. Y es producto de lo mismo, muchas veces la gente se junta de forma clandestina y eso genera encuentros cerrados con consumo desmedido, aflorando las rencillas anteriores y hasta los desencuentros familiares. -Al extenderse el estado de excepción, ¿como se proyectan los próximos meses? -Nosotros dependemos del jefe de la Defensa Nacional (general Cristián Eguía), y en coordinación con salud. Las proyecciones son que seguiremos trabajando con las vacunas, redoblando los esfuerzos en las aduanas sanitarias en los terminales aéreos. Igual salud nos pide algunos requerimientos, alianzas con la Dirección del Trabajo haciendo fiscalizaciones a empresas. Esa es la dinámica y los focos. Esperamos que esto baje y volvamos a algún grado de normalidad y volver a hacer nuestras funciones de forma normal. -¿Estas nuevas labores con las mismas restricciones pandémicas, han influido en los procesos investigativos, retardando o imposibilitando diligencias? -No, seguimos indagando según lo que solicita el Ministerio Público, no hemos tenido retraso en ese sentido. A lo mejor, lo que pudo haber pasado, por ejemplo, en los juicios que han sido menos en este tiempo, eso ha provocado a lo mejor algún retardo en el trabajo. Pero seguimos redoblando esfuerzos para cumplir los requerimientos. No hemos dejado de hacer cosas por la pandemia. -¿Proyectos en Chiloé, como la reposición de la prefectura y una unidad permanente para Quellón, siguen en pie? - Tenemos un proyecto presentado en el Gobierno Regional sobre la ampliación de la Prefectura en Castro. Hemos estado en conversaciones hace mucho tiempo con el tema del terreno, entre el municipio local y el Serviu están viendo uno (se analiza uno entre la población Salvador Allende y el Parque Municipal). Y una vez que sea entregado vamos a reactivar la iniciativa, puesto que el cuartel de Castro ya nos quedó chico. Además, eso ha impedido que se sumen otros proyectos, como un gran anhelo para poder funcionar de mejor manera en Chiloé, que es implementar una Brigada de Homicidios (BH), puesto que es un delito complejo, importante de resolver y muchas veces la BH de Puerto Montt que atiende la provincia, sufre con las contingencias, ya sea climáticas como geográficas, ya que son desplazamientos largos. Esto ha complicado esta labor. Por ello, buscamos instalar una BH o a lo menos tener gente permanente y especializada en la Isla. Y teniendo una infraestructura acorde a la necesidad de Chiloé, sería un impulso para seguir creciendo. -¿Entonces, depende de una nueva prefectura el tener una BH? -Sería lo ideal, pero como sabemos que la construcción de una prefectura sería a largo plazo, más al considerar que recién estamos viendo el terreno, nuestra primera prioridad sería la BH y por un tema de infraestructura estamos viendo iniciar con una especie de sección que podría ser dotada en alguna unidad de la Isla, como la Brisex de Ancud o la Bicrim Castro. Lo ideal es que esto salga este año. -¿Y las gestiones para que Quellón tenga una Brigada de Investigación Criminal (Bicrim)? -En la comuna hemos realizado contactos, incluso a nivel municipal. La intención es que la Avanzada ""temporal"" que existe, conformada por detectives de la Isla, se transforme, tal vez no en una Bicrim, pero sí en una Avanzada permanente, como sucede en otras partes, como Concón (Región del Valparaíso). ""Nosotros seguimos redoblando los esfuerzos para cumplir todos los requerimientos policiales"". Según datos entregados por la PDI en Los Lagos, durante el año pasado se registraron 79 personas detenidas por casos de droga, dentro de un total de 352 aprehendidos (hubo 128 por atentados contra la salud y 145 por otros delitos). Mientras que este 2021, hasta el 22 de junio, fueron 25 los detenidos por Ley 20.000; 50 por infringir el artículo 318 del Código Penal (covid) y 25 por otros ilícitos. La droga incautada el 2020 llegó a 17 kilos 307,8 gramos. Mientras que por delitos sexuales, se recibieron el año pasado 299 órdenes de investigar, 93 por abusos sexuales impropios, 62 por abusos sexuales a mayor de 14 años, 43 por violación impropia y 33 por violación a mayor de 14 años."
