,title,text
0,Joven indagado por ataque sexual contra su sobrino en Dalcahue quedó en prisión,"Con hermetismo para resguardar las pericias indagatorias y para evitar una revictimización, avanzan las diligencias contra un joven sindicado como responsable de un ataque sexual contra su sobrino en Dalcahue. Una causa que fue formalizada ayer y por la cual el imputado quedó en prisión preventiva. En audiencia virtual con el Juzgado de Garantía de Castro se encausó al sujeto por el delito de violación infantil en carácter de reiterada, en perjuicio del menor desde que tenía apenas 7 años. Una pesadilla que se habría extendido desde el 2017 hasta el año pasado. Por una orden de detención materializada por la Brigada de Delitos Sexuales (Brisex) de Ancud, el auxiliar del transporte público fue puesto a disposición de la justicia. Un requerimiento que se sustentó en el informe policial y sexológico que confirmaría la existencia del aberrante ilícito, como la intervención del pariente. Las diligencias de la unidad especializada comenzaron tras la denuncia interpuesta por familiares del niño, luego de la develación que se habría concretado esta temporada. Es más, cambios en la conducta de la víctima ratificaron el impacto de estas agresiones. En la sesión remota de este jueves no se cuestionó la legalidad de la aprehensión, en base a su respaldo judicial. Además, el fiscal (s) Cristian Mena procedió a formalizar al imputado de 27 años, solicitando la cautelar más gravosa en su contra. Dentro de los argumentos vertidos para sustentar esta precautoria, el persecutor expuso que la libertad del joven constituye un peligro para la seguridad del menor, como de la sociedad, en virtud de la gravedad y penalidad del delito. Por su parte, el defensor Mauricio Díaz se opuso a esta medida, invocando una de menor intensidad en el medio libre. ""A pesar que existan antecedentes, como un informe sexológico, que demostrarían la existencia del delito, los mismos datos presentados en la audiencia serían insuficientes para establecer la participación de mi representado en los hechos. Por ello, indicamos la falta de participación"", apuntó el abogado. Igualmente, el profesional remarcó que el imputado tiene arraigo familiar, social y laboral, contando también con irreprochable conducta anterior como atenuante. Una serie de referencias esgrimidas para desvirtuar el eventual riesgo que tendría su libertad. Más allá de esta información, la magistrada Alejandra Varas decretó la prisión preventiva, como también un plazo para desarrollar la investigación de 100 días. En tanto, el fiscal (s) Mena no entregó detalles de la causa, manifestando que las pericias avanzan ""bajo reserva"", para prevenir un mayor daño al niño que está siendo atendido por la Unidad de Víctimas y Testigos de la Fiscalía de Castro. Pedro Bárcena González pedro.barcena@laestrellachiloe.cl"
1,Campesino admite feroz paliza propinada contra su padre de 76 años,"Tras una nueva embestida contra su padre de 76 años, un campesino del sector Ichuac, comuna de Puqueldón, fue detenido y puesto a disposición de la justicia. El sujeto reconoció la paliza propinada a su progenitor, quien resultó con lesiones de seriedad, con el objeto de ver disminuida la pena en su contra. Al interior de su propio hogar, la víctima recibió el feroz ataque por parte de su hijo, quien utilizando golpes de pies y puños le ocasionó diversas contusiones y hasta una fractura nasal que obligaron a su traslado hasta el Hospital de Castro. La denuncia fue interpuesta ante Carabineros del Retén lemuyano, que inició las primeras pesquisas del caso, las cuales posteriormente fueron remitidas mediante orden a la Brigada de Investigación Criminal (Bicrim) de Castro. Justamente, fueron los detectives quienes cumpliendo un requerimiento judicial de detención, ubicaron al imputado y procedieron a su aprehensión. En audiencia virtual con el Juzgado de Garantía de la capital chilota, realizada este miércoles, el agricultor de iniciales J. M. M. C. (44) fue formalizado por el delito de lesiones graves en contexto de violencia intrafamiliar (VIF). Al reconocer su autoría en los hechos registrados el 24 de abril pasado, el chilote accedió a un juicio simplificado. Así lo especificó el fiscal de turno, Fernando Metzner, quien expuso en la sesión judicial que este sujeto mantiene múltiples condenas por desacato, amenazas y lesiones en VIF, entre ellas, dos respecto de su padre. También tiene antecedentes penales por otros ilícitos. ""Considerando la voluntad de la víctima se desarrolló este simplificado y esta persona fue condenada a una pena efectiva de 300 días de presidio, que será cumplida en el CDP (Centro de Detención Preventiva) de Ancud, a petición de su padre. También se decretó la prohibición de acercarse a la víctima por un año"", indicó el persecutor. Por su parte, el defensor Nelson Troncoso manifestó que a su representado se le calificó la colaboración sustancial para acceder a este término judicial. ""Se ofreció una pena que consideramos razonable, ya que pudo haber arriesgado más de 3 años de presidio"", explicó el jurista, sumando que el hoy condenado estuvo de acuerdo a la sanción, por la cual se le abonarán dos días, tiempo en que permaneció privado de libertad. Eso sí, el abogado expuso que la versión del imputado da cuenta que ""actuó en defensa de su madre"". Una postura que no resultó plausible y no fue considerada por la magistrada Alejandra Varas. Los casos policiales por VIF a hombre y adulto mayor experimentaron un alza en Chiloé. Según datos de la Subsecretaría de Prevención del Delito, durante el primer trimestre se registraron 60 casos de ataques de varones, con relación a los 55 en igual período del 2020. Los casos a ancianos aumentaron un 83%."
2,Calle Ancud se convierte en zona sin ley tras riña entre ambulantes,"Con un detenido terminó una riña en la que participaron comerciantes ambulantes en la esquina de calles Ancud y Antonio Varas. El hecho, ocurrido el viernes, cerca de las 15 horas, volvió a alterar el orden de la zona céntrica, en un lugar donde habitualmente se registran hechos similares. Vecinos y comerciantes del sector manifestaron que en forma constante deben lidiar con situaciones de violencia que han puesto en jaque la seguridad del lugar. Alegan que esto se debe a que está proliferando la presencia del comercio informal, que comprende el perímetro de las calles Valdivia y Andrés Bello y que según comentan que ""retornó para quedarse"". De acuerdo a lo señalado por el mayor Juan Matus, jefe de la Segunda Comisaría, Carabineros no pudo intervenir en el primer momento, debido a que el carro policial no contaba con el contingente necesario y además estaba atendiendo otra denuncia en el lugar; sin embargo, posteriormente, actuó personal de Fuerzas Especiales, que logró la aprehensión de uno de los individuos que participó en la pelea. Con respecto a los procedimientos que se realizan en este sitio, el mayor Matus aseguró que durante todo el día existe presencia policial, con dispositivos operando en calles Ancud con Antonio Varas; y el otro, situado en calle Talca. Acerca del hecho de violencia ocurrido en la zona céntrica, el presidente del comité de Comercio de la Cámara de Comercio, Industria y Turismo de Puerto Montt, Luis Díaz, mostró su preocupación, afirmando que ha sido una situación que nunca debió ocurrir, porque no puede haber comercio informal en ese sector. Agregó que no existen permisos para ellos y ""que la municipalidad, desde el momento en que empezaron las obras en calle Varas, fue tajante y clara al afirman que entre la avenida Salvador Allende y Chillán no se concederá ningún tipo de autorización"". Díaz aseguró que la autoridad municipal entregó la calle Varas -libre de comercio informal- para ejecutar obras de mejoramiento, por lo que debe hacerse cargo de este problema ""y no endosar responsabilidades a terceros diciendo que es tarea de Carabineros"". Una de las comerciantes, que prefirió hacer reserva de su nombre, calificó este hecho como un evento recurrente en esta esquina y en todo el perímetro de las calles Andrés Bello, Varas y hasta Valdivia. Añadió que han llegado ambulantes ""que no conocíamos y se han venido instalar por estos lados. Vemos a Carabineros que llega, pero vemos que a veces están sobrepasados. Cuando suceden este tipo de hechos, estas personas siguen en lo mismo y le faltan el respeto a la autoridad"", comentó. Otro de los vecinos, en tanto, recalcó que en ese lugar no sólo prolifera el comercio ambulante. ""Por ejemplo, en calle Valdivia, también se producen hechos muy similares, pero además se explota el comercio sexual. Y conversando con algunos comerciantes, me cuentan que venden artículos y que se instaló una competencia con los informales"". El presidente de la Cámara de Comercio, Eduardo Salazar, apuntó a que se está incumpliendo lo que el municipio se comprometió en su momento de que no se iban a permitir comerciantes ambulantes en la zona céntrica, puesto que todos ellos se supone que están en la feria de Bosquemar. ""Creemos que debe haber un mayor control en calle Varas, porque no puede ser que la autoridad se vea superada, porque a mi juicio veo que la autoridad policial no está desarrollando la labor que le corresponde, como su obligación"", expuso el dirigente. Agregó que lo sucedido el viernes es un hecho gravísimo, por cuanto puede traducirse en nuevas batallas campales de grupos de personas que se disputan los lugares que ocupan para ejercer esa actividad informal en plena calle. 115 son los permisos entregados por el municipio, para el comercio ambulante en la zona céntrica. 15 horas del viernes se produjo esta pelea en el sector de la calle Ancud con Antonio Varas."
3,Brisex indaga denuncia de ultrajes en celda tras borrachera con alcohol gel,"En el módulo de aislamiento preventivo implementado en el Complejo Penitenciario Alto Bonito de Puerto Montt, con motivo de la pandemia del covid-19, se encuentran los ocho reclusos trasladados a esa unidad desde la cárcel de Castro, después de verse involucrados en la preparación e ingesta de un combinado de alcohol gel con gaseosa. Además, al menos dos de estos reos están siendo indagados por amenazas y un presunto ataque sexual contra otro interno del dormitorio N°7 del Centro de Detención Preventiva (CDP) castreño, quien rechazó sumarse a este ""carrete"" y denunció estas conductas al interior del recinto. Una serie de antecedentes que activaron el allanamiento que permitió descubrir esta peligrosa mezcla. Junto a la sanción administrativa por infringir el reglamento penitenciario, que gatilló esta derivación de establecimiento carcelario, este caso puede generar alcances penales. Según los dichos que emergieron en la denuncia, dos sentenciados por sendos robos habrían intimidado y ultrajado al joven que no quiso sumarse al consumo de este líquido embriagante. Los antecedentes por esta situación fueron remitidos al Ministerio Público, que ya instruyó las primeras pesquisas. Así lo reportó el fiscal jefe de Castro, Enrique Canales, añadiendo que uno de los presos ""denunció una agresión que podría ser constitutiva de abuso, por lo que hay una investigación abierta con diligencias pendientes que realizará Brisex (Brigada Investigadora de Delitos Sexuales de Ancud)"". Bajo este escenario, desde Gendarmería se tomaron los resguardos del caso en favor de este sujeto, con el objeto de evitar alguna represalia por parte de cercanos a los reos trasladados a Puerto Montt. Justamente, en cuanto a esta remisión de los involucrados en estos hechos, el propio director regional de Gendarmería, coronel Pedro Villarroel, salió al paso de las críticas esgrimidas por la Defensoría Penitenciaria que calificó como una ""doble sanción"" estos traslados, los cuales provocarían un desarraigo y afectarían su proceso de reinserción social. De acuerdo al alto oficial, ""los traslados de las personas condenadas no constituyen, bajo ninguna circunstancia, una sanción. Son una facultad que por ley le asiste a Gendarmería de Chile y que puede obedecer, entre otros, a motivos de seguridad, logísticos o del buen servicio"". Hasta el 11 de mayo estarían los reclusos en esta sala de aislamiento del penal de la capital regional, como medida precautoria para impedir algún contagio por coronavirus. Posteriormente, quedarían en un módulo correspondiente a condenados. El alcaide del CDP de Castro, mayor Carlos Olavarría, aclaró que estos hechos que marcaron la ingesta de esta sustancia alcohólica artesanal ocurrieron en una dependencia donde ""se encuentran los internos que realizan labores de apoyo a la administración"". Se trata de los denominados ""mozos"" que colaboran en aseo, cocina u otras labores. Justamente, estas funciones posibilitaron a uno de los involucrados acceder a una oficina y sustraer el alcohol gel para confeccionar este brebaje. ""Al cometer esta conducta colectiva quiebran la confianza absoluta de la administración, ya que son internos que están en un periodo de observación para efectos de un eventual beneficio intrapenitenciario. Sin embargo, con estos hechos calificados como graves en el reglamento no se puede confiar, por lo cual deben ser destinados a otros penales que fortalezcan algún plan de intervención y ofrezcan las medidas de seguridad respectivas"", concluyó el alcaide."
4,Excarabinero queda preso tras ser formalizado por ultrajes a niñita en Ancud,"En prisión preventiva quedó en las últimas horas un excarabinero, sindicado como responsable de sistemáticos ultrajes contra la hijita de quien era su pareja, en los momentos en que vivía en Ancud. Un caso que se remonta al 2014, pero que recién ahora está mostrando sus aristas procesales formales. Vía remota desde el Juzgado de Garantía de Rancagua, ciudad donde ahora reside, el imputado fue puesto a disposición de la justicia tras materializarse una orden de detención -emitida el mes pasado- en su contra en dicha ciudad, la cual concretó personal de la Brigada Investigadora de Delitos Sexuales (Brisex) de la comuna del Pudeto, en conjunto con sus pares de la capital de la Región de O'Higgins. La actuación policial fue ajustada a derecho, como se determinó en el tribunal rancagüino. La indagatoria, por su parte, fue encausada en contacto telemático con el Juzgado de Garantía de Ancud. En la ocasión, el fiscal Javier Calisto expuso los antecedentes del hecho, que se sitúan en un domicilio del radio urbano de Ancud, donde el encartado habría agredido a la víctima que recién se empinaba por los 10 años. Por aquella temporada del 2014, el sujeto prestaba servicios para la Primera Comisaría de Carabineros local. Tal como explicó el persecutor, el aberrante caso quedó en evidencia tras ""la denuncia realizada el año pasado, la cual indagó la Brisex de Ancud"". Los informes de la unidad especializada, que incluyeron empadronamientos y análisis del relato de la menor, como la prueba científica y forense recopilada, sustentaron las convicciones del Ministerio Público. De esta forma, el abogado formalizó una investigación contra el expolicía (fue dado de baja) por abuso sexual y violación impropia, en su calidad de autor de los ilícitos con grado de desarrollo de consumados. ""Se solicitó la prisión preventiva debido a la gravedad y penalidad de los delitos"", reportó el fiscal Calisto, como base para justificar que la libertad del joven de 32 años constituye un peligro para la seguridad de la niña y la sociedad. Esta gravosa precautoria contó con la oposición del defensor penal público Filippo Corvalán, quien remarcó que ""se alegó la falta de antecedentes para aducir responsabilidad en los hechos a mi representado"". La magistrada Vania Angulo acogió la medida cautelar que ingresó a cumplir el encartado oriundo de Punta Arenas, en el Complejo Penitenciario de Rancagua. Bajo este escenario y ratificando su disconformidad con la resolución judicial, el defensor puntualizó que ""se está analizando qué tipo de recurso se va a interponer dada la privación de libertad del imputado"". Se busca imponer una medida en el medio libre, en consideración a su calidad de excarabinero, con el objeto de resguardar su integridad física. 2004 año de nacimiento de la menor que vivió esta pesadilla develada el año pasado. 90 días se decretaron para llevar a cabo la investigación por estos dos delitos."
5,Rechazan amparo en favor de excarabinero preso por ultrajes a niña,"La Segunda Sala de la Corte de Apelaciones de Puerto Montt rechazó en las últimas horas un recurso de amparo deducido contra la jueza suplente del Juzgado de Garantía de Ancud, Vania Angulo, después de su resolución que dejó en prisión preventiva a un excarabinero formalizado por ataques sexuales contra la hija de quien era su pareja en la ciudad del Pudeto. El defensor Filippo Corvalán interpuso el requerimiento con el objeto de revertir la gravosa precautoria dictada contra el imputado de 32 años, quien fue encausado por abuso sexual y violación impropia, por los presuntos ultrajes perpetrados el 2014 contra una niñita de apenas 10 años. Como explicó el abogado, el tribunal de primera instancia ""hizo un escueto análisis"" de los antecedentes que presentó en audiencia, para desvirtuar la existencia del delito y, principalmente, la participación de su representado. Añadió que ""no hay prueba concluyente para vincularlo"". Igualmente, el jurista justificó su acción legal remarcando que no se expusieron los fundamentos que sustentan la cautelar, como tampoco las evidencias investigativas y elementos probatorios obtenidos en esta etapa procesal por parte del Ministerio Público. Bajo ese escenario, el profesional solicitó otra medida menos intensiva. Una propuesta que desecharon los ministros. Según el fallo de alzada, ""no se aprecia la ocurrencia de la falta de fundamentación que alega la recurrente, sino más bien una disconformidad con el contenido de la resolución"", que señalaron ""ha sido adoptada en el marco de las competencias que le reconoce la ley"" a la magistrada. Agregó la sala que tampoco concurre una infracción al principio de inexcusabilidad que invocó Corvalán, enfatizando que sí se consideraron todas las alegaciones de la defensa para emitir el dictamen."
6,Joven queda preso tras ser imputado de bestial ataque sexual contra su vecina,"En prisión preventiva quedó ayer un joven sindicado como responsable de una feroz agresión sexual contra su vecina en Quellón. La víctima de 21 años fue amenazada y atacada con un cuchillo, amarrada de pies y manos, en una verdadera pesadilla que sufrió en su propio dormitorio. Por dos días se amplió la detención del imputado, en espera de informes de la Brigada Investigadora de Delitos Sexuales (Brisex), como también de exámenes sexológicos y médicos de la afectada, dentro de un caso que ha generado impacto en la comuna del sur de la Isla por su alto grado de violencia. Durante la audiencia de formalización de la indagatoria realizada este lunes, se expusieron mayores antecedentes del hecho registrado la madrugada del sábado recién pasado, alrededor de las 2 horas. La versión de la mujer es clave, señalando que un desconocido con mascarilla ingresó a su vivienda desmontando una ventana. El sujeto habría intimidado con un arma blanca a la joven, quien sufrió una lesión punzante en la espalda, además de una serie de contusiones por la golpiza recibida de parte de su agresor. Incluso, sus lesiones fueron catalogadas como de mediana gravedad. Uno de los puntos cruciales para individualizar al atacante sería la propia sindicación de la pobladora. En un momento en que se bajó el barbijo, lo reconoció como el vecino que vive en el mismo terreno donde arrienda la cabaña. Con esta información, Carabineros de la Sexta Comisaría porteña detuvo al encartado. Las pericias específicas para la causa fueron instruidas por la fiscal Karyn Alegría a la Brisex de Ancud, que en los dos días de prórroga antes de la formalización entregó un contundente informe de más de 100 páginas. De acuerdo a lo señalado por el comisario Mauricio Espinoza, jefe de esta unidad policial especializada, se concurrió el mismo 1 de mayo a realizar el trabajo científico-técnico en el sitio del suceso. ""Un sujeto sin antecedentes penales ingresó al domicilio de la víctima, procediendo en primera instancia a golpearla y luego a agredirla sexualmente"", enfatizó el oficial, añadiendo que ""en el lugar se efectuaron empadronamientos y levantamientos de evidencias biológicas, las que serán remitidas al Laboratorio de Criminalística (Lacrim) para las pericias respectivas"". Dentro de las pruebas recogidas se encontrarían huellas plantares y dactilares, como también muestras para cotejar ADN. Con los datos aportados por los detectives, la fiscal Alegría encausó en la audiencia remota con el Juzgado Mixto de Quellón por dos delitos al imputado: el principal, la violación de mayor de 14 años; y el otro la violación de morada. La persecutora invocó la cautelar más gravosa, fundamentando como necesidad de cautela el peligro que constituye la libertad del joven para la seguridad de la víctima y la sociedad. Justificó esta postura la abogada, en base ""a la gravedad del delito (principal), el número de ilícitos que se le imputan, la forma de comisión, ya que hay intimidación y agresiones físicas. También hay que considerar la prognosis de pena, puesto que la violación parte en 5 años y un día de presidio"". No hay opción a beneficios de cumplimiento. El defensor penal público Juan Manuel Castro se opuso a esta precautoria, como también al avance de la persecución penal. Ello, puesto que lo primero en ser invocado fue la suspensión de la causa por enajenación mental del detenido. ""Hay antecedentes que mi representado tiene un retraso mental, incluso está recibiendo una pensión de invalidez por esta condición"", esbozó el jurista. Sin embargo, al no presentar en la audiencia certificados médicos, el magistrado José Milanca rechazó esta postura de inimputabilidad. Eso sí, igual ofició al Servicio Médico Legal (SML) para que se le realice un peritaje siquiátrico al sujeto. Bajo este escenario, el defensor apuntó a desvirtuar el requerimiento de prisión preventiva, solicitando el arresto domiciliario total. Pese a no discutir la existencia del delito, la fuente sí incidentó la participación de su representado, recalcando que la información recopilada no sería reveladora y hasta ofrecería ciertas contradicciones. ""La víctima en su relato señala que golpeó a su agresor con su celular, en repetidas ocasiones en la parte izquierda del rostro. Además, indicó que le mordió un dedo tan fuerte que ella perdió parte de una pieza dental. No obstante, en la constatación de lesiones, el imputado no presenta nada"", consignó el abogado. Asimismo, Castro expuso la declaración del cuñado del aprehendido, describiendo que ""mi representado es ciego de un ojo y tiene un 30% de visión del otro, ocurriendo estos hechos en medio de un apagón de luz en todo Quellón. Además, siendo casi ciego difícilmente podría haber desmontado una ventana"". Otro antecedente que incorporó el jurista en base al mismo testimonio para cuestionar la intervención del isleño, da cuenta que ""a raíz de su retraso mental esta persona no puede hacer nudos. Y la afectada en su relato dice que con cordones su agresor le amarró las manos y los pies"". Para sustentar el arresto total, el defensor planteó el concurso de la irreprochable conducta anterior y, por lo menos, una inimputabilidad disminuida del encartado. Sin embargo, el sentenciador no acogió estas alegaciones y dictó la cautelar más gravosa contra el joven, quien se mantendrá en la cárcel de Castro, ya no en calidad de detenido, sino de imputado. 6 horas del 1 de mayo fue detenido el imputado al interior de su domicilio. 39 años tiene el imputado que vive a pocos metros de la vivienda de la afectada. 30% sería la visibilidad en un ojo del encartado, mientras que del otro estaría ciego. 90 días se decretaron para el desarrollo de las pericias indagatorias por esta causa."
7,"Dictan prisión para joven acusado de violar a mujer tras ""carrete"" clandestino","Confirmando que constituye la única problemática delictiva de mayor connotación social en alza durante el año en la provincia, en las últimas horas se sumó un nuevo caso de violación, que afectó a una joven de 27 años en Dalcahue. Ayer el imputado de este ataque registrado en un sitio eriazo quedó en prisión preventiva. La denuncia de la mujer se gestó después de participar en un ""carrete"" nocturno junto a conocidos en un domicilio de la 'Ciudad de las Dalcas'. Acusó al dueño de casa, con quien habría ido a comprar más alcohol a un local clandestino, de forzarla al interior del vehículo en que se movilizaban para perpetrar la agresión sexual. Carabineros de la Tenencia dalcahuina recibió la notificación de parte de la afectada, lo cual activó un procedimiento que permitió dar con el paradero del sospechoso, quien tras ser sindicado por la isleña fue aprehendido y puesto a disposición de la justicia. Por instrucción del Ministerio Público, detectives de la Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud se encargaron de las pericias destinadas a esclarecer la dinámica de los hechos y las responsabilidades de los intervinientes. Así lo indicó el jefe de esta unidad especializada, el comisario Mauricio Espinoza, añadiendo que ""el sábado un equipo de la brigada se constituyó en Dalcahue para realizar el trabajo científico-técnico por el delito de violación de mayor de 14 años"". Los funcionarios recogieron evidencia del sitio del suceso, como especificó el oficial, agregando que ""se entrevistó a los testigos y a la víctima, como también se recabaron los resultados del informe sexológico al que fue sometido la joven. Igual se levantaron evidencias biológicas"". Debido a la necesidad de contar con las conclusiones policiales, como también médico-forenses, el fiscal de la causa, Enrique Canales, solicitó una ampliación de la detención del encartado, la cual se acogió y extendió hasta la jornada de ayer, cuando se procedió a encausar la indagatoria. En audiencia virtual con el Juzgado de Garantía castreño, el ente persecutor formalizó al imputado por la violación, exponiendo los datos vinculados al ataque, con el objeto de sustentar la existencia de la figura penal, como la participación dolosa de parte del sujeto. ""La víctima señala que tras ir a comprar más alcohol, el conductor desvía el camino y en un sitio eriazo la reduce por la fuerza, agrediéndola para luego consumar el delito"", explicó el abogado, sumando que el mismo chofer la deja en el centro de la ciudad, donde la afectada tomó contacto con su pareja para después materializar el denuncio. Asimismo, Canales remarcó que se solicitó la prisión preventiva por constituir la libertad del joven un peligro para la seguridad de la víctima y la sociedad, ""dada la naturaleza del delito, la pena posible (de crimen y cumplimiento efectivo), como además las circunstancias en que se produjo"", puntualizó. El defensor penal público Juan Manuel Castro, se opuso a esta precautoria, en base a la versión de su representado, quien ""reconoce que la relación fue consentida, niega haberla forzado"". Por ello, cuestionó la existencia del ilícito como la intervención del sujeto. ""Hay contradicciones e incoherencias en el relato de la víctima, al comparar el que entregó a Carabineros como a la Brisex"", consignó la fuente. Además, recalcó que el certificado de lesiones de la mujer no se condice con su denuncia, que incluye agresiones físicas que no se habrían constatado médicamente. A su vez, el jurista manifestó que el imputado tiene irreprochable conducta anterior y que ha colaborado con la investigación. Incluso, accedió a entregar su teléfono celular, someterse a pruebas de hisopado bucal y levantamiento de muestras biológicas genitales. ""Por todo esto pedimos arresto domiciliario total"", dijo Castro. Más allá de estos argumentos, la magistrada Alejandra Varas valoró los informes periciales y decretó la cautelar más gravosa. Bajo este escenario, el defensor afirmó que apelará ante el tribunal de alzada. Según el Sistema Táctico de Operación Policial (STOP) de Carabineros, el único delito de mayor connotación social que ha aumentado como caso policial (denuncia y detenciones flagrantes) durante el año (hasta el 25 de abril), con respecto a igual período del 2020, es la violación. En la jurisdicción de la Segunda Comisaría de Castro el alza es de un 60 por ciento. 21 años tiene el imputado que quedó en prisión preventiva. 90 días se decretaron para el desarrollo de la investigación del caso."
8,Fiscalía acreditó que mujer fue violada por el imputado,"El Tribunal Oral en lo Penal de Castro entregó un veredicto condenatorio en contra de un sujeto de 40 años de edad que fue acusado por la Fiscalía por el delito de violación  de una mujer de 44 años, hecho ocurrido en noviembre de 2018. En tanto, el tribunal decidió absolver al imputado por un delito de ofensas al pudor y buenas costumbres, que también era parte de la persecución penal, hecho ocurrido en noviembre de 2017, cuando la víctima, una mujer de 29 años se encontraba al interior de la locomoción colectiva. DOS DELITOS Según lo señalado por el Fiscal del Ministerio Público de Castro, Enrique Canales, el juicio oral contra el imputado se inició el pasado lunes por ambos delitos. En la oportunidad el ente persecutor entregó los diferentes antecedentes policiales y periciales reunidos en el marco de las investigaciones de ambos casos. Respecto al primero ellos señaló que “la violación fue cometida en contra de una mujer, aprovechándose el acusado de la vulnerabilidad de esta, debido a que se trataba de una persona que presentaba consumo problemático de alcohol. La segunda víctima, se trataba de un delito de ofensas al pudor, tocaciones, que fueron realizadas por este sujeto, en contra de esta persona al interior de un vehículo de transporte público”, explicó el abogado. Canales señaló que durante la jornada se presentó ante la terna de jueces los informes emanados del Servicio Médico Legal, como también las conclusiones a las que llegaron los efectivos policiales de la brigada especializada de la PDI, además de otros elementos probatorios. Esto logró generar la convicción de participación del imputado en el delito más gravoso. “Luego de rendida la prueba, fundamentalmente testigos, peritos, y especialmente la cuenta que se dio del trabajo investigativo realizado por una oficial de la Brigada de Delitos Sexuales de Ancud, el tribunal determinó un veredicto condenatorio respecto del caso de violación, y una decisión de absolución en relación a ofensas al pudor”, expresó CAMBIO Respecto al último de los casos, en el cual  el tribunal no accedió a la petición de la Fiscalía, Canales señaló “no fue posible acreditar el grave escándalo público, transcendencia del hecho. Actualmente la ley vigente contempla nuevos delitos que vienen a abordar este espacio de impunidad que de alguna manera se producía en la sociedad al sancionar los abusos sexuales por sorpresa o acoso callejero, como se ha señalado en los medios de comunicación”, expresó. No obstante, la lectura de la sentencia con la pena que efectivamente se va a aplicar al imputado será dada a conocer en horas de la tarde del próximo viernes."
9,Sujeto acusado de violación recibió condena de 5 años de cárcel efectiva,"A 5 años de cárcel efectiva fue condenado un sujeto tras ser encontrado culpable de la violación de una mujer en la ciudad de Castro. Tras acreditar su participación en un juicio desarrollado la semana pasada, el Tribunal Oral en lo Penal de Castro determinó una pena de efectiva de cárcel. En tanto, en la misma sentencia, el tribunal absolvió al imputado por un segundo delito por el cual fue encausado por el Ministerio Público, y del cual no se pudo acreditar su participación. CARCEL EFECTIVA Según lo señalado por el Fiscal Jefe del Ministerio Público de Castro, Enrique Canales, finalmente el tribunal no acogió la pretensión de la defensa en que el tribunal reconociera una colaboración en el esclarecimiento de los hechos por parte del imputado. “Lo relevante de esta sentencia es que fijó una pena de 5 años y un día de privación efectiva de libertad, desechando el tribunal la pretensión de la defensa en el sentido de reconocer una suerte de colaboración en la investigación, argumentos que fueron rebatidos por el Ministerio Público en la audiencia respectiva, considerando que el imputado nada aportó en el esclarecimiento del hecho y en poder determinar su responsabilidad penal, cuestión que fue acogida”, dijo Canales. De igual forma, indicó que respecto de un segundo delito de carácter sexual por el que también era enjuiciado, el tribunal finalmente determinó su absolución. “Esta situación es en contra de otra mujer, y esta vez se trató de tocaciones realizadas al interior de un bus del recorrido urbano en la ciudad de Castro. La razón para esa absolución es que el tribunal estimó que no se había logrado acreditar el grave escándalo o transcendencias que había tenido este hecho”, dijo el abogado, requisito que ya se contempla con la dictación de una ley que determinó nuevos delitos a propósito del acoso sexual callejero. NUEVA FORMALIZACION El abogado igualmente entregó información de un nuevo hecho delictual de connotación sexual en contra de una mujer que ocurrió en la comuna de Ancud y por el cual se desarrollaron diligencias y existe una persona formalizada. Según explicó canales, el sujeto fue detenido e imputado por “el delito de violación cometido en la comuna de Dalcahue, en perjuicio de una mujer de 27 años. Se amplió la detención hasta el día martes a objeto de contar con las diligencias preliminares que fueron realizadas por la Brigada de Investigación de Delitos Sexuales de la PDI, y también los informes sexológicos necesarios para poder sostener este acto de formalización”. Agregó que luego de realizada la audiencia, se solicitó al tribunal la prisión preventiva para el imputado. “La que fue decretada considerando que su libertad es peligrosa para la seguridad de la víctima y de la sociedad, considerando la gravedad del delito y las circunstancia en que fue cometido”, sentenció el fiscal. Se fijó un plazo de investigación de 90 días."
