,title,text
0,Reconocen abuso sexual de 3 sacerdotes en Puerto Montt,"Un informe de la congregación Compañía de Jesús develó que tres sacerdotes que estuvieron en Puerto Montt cometieron abuso sexual, de acuerdo a la investigación llevada adelante por los jesuitas. A nivel nacional son 13 los sacerdotes denunciados quienes habrían cometido por lo menos 64 abusos, contra 34 menores y 30 adultos. Uno de los nombres conocidos en la capital regional es el del padre Eduardo Tampe Maldonado. El documento de la Compañía de Jesús indica que la denuncia se hizo en el año 2019. Se señala que el sacerdote fue sindicato por una ""persona mayor de edad, víctima de una transgresión de límites en esferas de la sexualidad. El delito fue frustrado por la acción de la víctima"". En el año 2020 Tampe, de 90 años, fue suspendido del trabajo pastoral. El cura ingresó a la Compañía de Jesús en marzo de 1961 y fue ordenado en diciembre de 1971. Quien también estuvo en Puerto Montt, fue el padre Jaime Guzmán Astaburuaga, que -de acuerdo al informe- cometió abusos entre 1960 y 1990, no sólo en Chile, sino que también en el extranjero. Se indica que por lo menos 15 menores fueron afectados por estos hechos. En el 2012 se le prohibió acercarse a niños y niñas, y este año fue expulsado de la congregación. El padre Leonel Ibacache Ortiz cometió abusos entre 1960 y 1990 en Santiago, Puerto Montt, Antofagasta y Valparaíso. El documento de la Compañía de Jesús agrega que son seis los menores ""víctimas de diversas situaciones abusivas de connotación sexual"". Entre el los años 2018 y 2019 se tomó diversas medidas cautelares por parte de los jesuitas, pero falleció el 15 de septiembre de 2019. El arzobispo de Puerto Montt, monseñor Fernando Ramos, explica que cuando hay una acusación contra algún religioso de una congregación determinada, le corresponde a esa congregación investigar. ""Cuando se trata de menores, ello es sancionado por la Santa Sede, con los antecedentes respecto al hecho. Es la Santa Sede la que ve cómo se procede. En caso de aplicar sanciones, que se cumplan"", replica. La información contenida en el documento fue entregada este año por el Centro de Prevención de Abusos y Reparación (CPR) de la Compañía de Jesús, liberado en la web de la congregación. Gabriel Roblero, provincial de la Compañía de Jesús, indica en el informe que ""los abusos al interior de la Iglesia y de la Compañía de Jesús son una dolorosa verdad que debemos reconocer y enfrentar durante mucho tiempo. Esta fue una realidad que no se abordó de manera adecuada, hubo negación, silencio, minimización, ceguera, invisibilización e incluso en algunos casos se intentó justificar lo ocurrido"", afirma. La congregación Compañía de Jesús de Puerto Montt se pronunció respecto a los casos descubiertos en la capital regional. Indicaron que ""tal como se señala en el informe, Jaime Guzmán fue expulsado de la Compañía de Jesús y también perdió el estado clerical, condena ratificada e inapelable de la Congregación para la Doctrina de la Fe. Actualmente, se encuentra sujeto de manera voluntaria a un plan de supervisión y tiene restricción absoluta de contacto con menores de edad"". Respecto de Leonel Ibacache, se señala que falleció hace dos años, ""pero en su momento se realizó un proceso canónico en su contra, el que concluyó con su expulsión de la Compañía de Jesús"". La congregación agrega que ""en relación con Eduardo Tampe, fue denunciado en 2019 por un hecho de connotación sexual contra una mujer adulta, ocurrido en 2015"". Detallan que ""se realizó una investigación canónica que se encuentra concluida y que actualmente cumple un plan de supervisión que está a cargo de una profesional externa de la compañía"". Mencionan que las distintas etapas de estos procesos y sus respectivas sanciones ""han sido informadas oportunamente, de acuerdo a los protocolos establecidos"". Mario Vargas Vidal, electo constituyente y presidente de la organización de Laicos y Laicas de Osorno, puntualiza que estos hechos fueron denunciados en su debido momento, ""sabiendo de las debilidades de la Compañía de Jesús y que había casos que estaban a la vista"", remarca. Vargas reconoce que la congregación haya dado a conocer estos hechos y las sanciones. ""Que se haya reconocido es un signo importante para transparentar lo que no ha sido capaz de dar la iglesia chilena y que sigue en este encubrimiento"". Para el constituyente ""se trata de una luz de esperanza para todos los que ha sido abusados. Aplaudimos esta actitud, que es para que la luz y la transparencia llegue a nuestra Iglesia muy pronto"", manifiesta el osornino. Para el dirigente lo ocurrido y los pasos que se han dando han sido complejos. ""Esta es una situación difícil, porque cuando la estructura de la Iglesia -que es dirigida por cardenales y arzobispos- está en una lógica de encubrimiento, no se puede avanzar y desnudan lo que es la Iglesia hoy en día y no van de la mano con lo que la ciudadanía exige hoy en las calles, que es la existencia de transparencia, por lo que la Iglesia chilena se está quedando atrás y es en este contexto histórico. Es lamentable que las autoridades eclesiásticas sigan encabezando una Iglesia conservadora, que dejó su rol importante que tuvo en la década de los 80, que es estar al lado del pueblo y los que sufrían"". Para Vargas ""esa Iglesia no la tenemos y debería ser una Iglesia salvadora"". ""Eduardo Tampe fue denunciado en 2019 por un hecho de connotación sexual contra una mujer adulta ocurrido en 2015"" Compañía de Jesús, Puerto Montt ""Es lamentable que las autoridades eclesiásticas sigan encabezando una Iglesia conservadora, que dejó su rol importante que tuvo en la década de los 80"" Mario Vargas,, Laicos de Osorno 13 son los sacerdotes jesuitas sindicados como abusadores sexuales en el país e incluso en el extranjero, según el informe. 90 años tiene en la actualidad el Padre Eduardo Tampe, quien fue suspendido de la actividad pastoral desde el año pasado."
1,Detienen a sospechoso de incendiar vivienda con su hija y ex pareja adentro,"Una emergencia por un incendio en una vivienda del sector Correntoso, en San Juan de la Costa, terminó con una persona detenida durante la madrugada del martes, como sospechoso de haber provocado el fuego con intenciones de matar a su ex pareja e hija, esta última padece epilepsia y una discapacidad intelectual. Alrededor de la 1.30 horas, Carabineros recibió un llamado por el siniestro que afectaba a una casa del kilómetro 47, en la ruta U-400. Hasta esta zona también llegó personal de Bomberos para ejecutar labores de extinción, sin embargo, la estructura ya había sido consumida por las llamas. Funcionarios lograron entrevistarse con la dueña de casa, quien señaló a su ex conviviente como autor del hecho. Tras los antecedentes recabados en el lugar, se concretó la detención del hombre, en tanto, la Fiscalía local dispuso la concurrencia del Laboratorio de Criminalística (Labocar) para las pericias. Durante la noche del lunes, la mujer y su hija, de 49 y 26 años respectivamente, estaban acostadas en sus piezas. De acuerdo con el testimonio de la madre, el imputado identificado por las iniciales D.E.A.H (a solicitud de la defensa y la aprobación del magistrado) ingresó por la entrada trasera, cerró con llave la puerta principal y de la habitación. Seguidamente, profirió amenazas de muerte, roció bencina, prendió fuego al domicilio y escapó. Al percatarse de lo sucedido, ambas víctimas consiguieron escapar por la ventana del living hacia la ruta para pedir ayuda a un conductor, con la intención de ir a Bahía Mansa, donde vive otro hijo de la familia. En el camino pidieron al chofer que siguiera a un vehículo policial que transitaba por la vía, lo que los llevó a retonar al sitio del suceso pasada la una, donde narraron lo acontecido a los funcionarios. En el lugar estaba D.E.A.H, quien habría reconocido su autoría en el siniestro. ""Carabineros logró la detención de esta persona, estaba en estado de ebriedad. Se dio cuenta al fiscal de turno, que dispuso la concurrencia de Labocar con la finalidad de que realice las pericias"", expresó José Halabí, subcomisario de los servicios de la Tercera Comisaría de Osorno. Halabí agregó que, aunque las mujeres no presentaban heridas visibles, fueron trasladadas al Hospital Base para constatar lesiones. En cuanto al hombre, detalló que ""conforme a los antecedentes proporcionados por personal del retén Bahía Mansa y San Juan de la Costa, no mantenía medidas cautelares como tampoco denuncias anteriores por violencia intrafamiliar. No obstante a ello, la causa del incendio y la motivación que haya tenido para realizar este hecho grave son materia de investigación"". Cerca de las 12 horas del martes se llevó a cabo la audiencia de control de detención y formalización en el Juzgado de Garantía de Osorno, por los delitos de femicidio en carácter de frustrado, parricidio e incendio. Además de los antecedentes del suceso, que incluyeron el testimonio de la ex pareja del imputado, se entregaron detalles de agresiones anteriores. Según la víctima, la última ocurrió sólo dos días antes, pero nunca se había atrevido a denunciar. El fiscal Matías Montero pidió prisión preventiva, argumentando con informes policiales y las declaraciones que el implicado representaba un peligro para la sociedad y la seguridad de las afectadas. En tanto, la defensa hizo alegaciones de carácter técnico, fundamentadas en que no había los elementos suficientes para acreditar el delito de incendio, como por ejemplo, por los informes emitidos por el Departamento Técnico del Cuerpo de Bomberos. Finalmente, el Tribunal dictó la prisión preventiva para el imputado y dio un plazo de investigación de 90 días. ""Carabineros logró la detención de esta persona, estaba en estado de ebriedad. Se dio cuenta al fiscal de turno, que dispuso la concurrencia de Labocar"". José Halabí subcomisario de los servicios de la Tercera Comisaría 1.30 horas del martes, Carabineros concretó la detención del imputado en este siniestro en La Costa."
2,Hombre de 56 años golpea a su pareja y luego amenaza a los carabineros con arco y flecha,"Un sujeto de iniciales J.B.S., de 56 años, fue detenido tras ser acusado de agredir a su pareja de 47 años en calle Colbún, Villa Alegre, en Osorno. El hecho fue denunciado por una vecina del sector que escuchó los desesperados gritos de la mujer cerca de las 22 horas del pasado domingo. De manera anónima llamó a Carabineros y reportó la situación. La denunciante aguardó en su vivienda y suplicó que la rápida presencia de los uniformados, ya que los gritos de ayuda de la víctima eran cada vez más intensos. Al cabo de unos minutos llegó un carro policial con tres funcionarios, quienes escucharon los gritos de la mujer en medio de la agresión por parte de su pareja. Además, vieron las siluetas del hombre y la víctima en plena agresión, por lo que intentaron acceder a la casa, pero estaba todo cerrado. El hombre, al notar la presencia policial, se parapetó en el segundo piso y amenazó a los uniformados con disparar flechas para evitar ser detenido: ""uno de ustedes va a morir"", dijo. Tras ello tomó un arco y una flecha y comenzó apuntar a los carabineros, quienes tuvieron que pedir refuerzo. ""Aunque parezca increíble, el imputado amenazó a los policías con un arco y flecha artesanal, con claras intensiones de agredirlos. Llegaron refuerzos con escudos de protección para ingresar y detener al hombre, quien con fierro y palos intentó evitar ser capturado. Tras ello se logró auxiliar a la víctima"", señaló la fiscal María Angélica de Miguel. La mujer relató a carabineros que ""yo rezaba para que no pasara nada, no sé quién llamó a carabineros, pero me salvaron la vida"". La persecutora destacó el oportuno llamado de emergencia que permitió conocer este caso de violencia intrafamiliar en un hogar de Rahue. ""El confinamiento ha puesto en mayor peligro a las víctimas. Lo importante es que los vecinos están denunciando estos hechos e incluso pueden salvar una vida"", sostuvo De Miguel. La víctima de agresión fue trasladada a constatar lesiones, que fueron diagnosticadas como menos graves en el contexto de Violencia Intrafamiliar (VIF). El hombre fue formalizado por lesiones y amenazas en VIF, y maltrato de obra a Carabineros de Servicio. Quedó en libertad, pero con medidas cautelares de arraigo nacional, prohibición de acercarse a la víctima y abandonar el hogar. Se decretó un plazo de 90 días de investigación. Juan Pablo Moreno, defensor del imputado, señaló que ""en cuanto a otras restricciones que pidió la fiscalía sobre cautelares para proteger a los tres carabineros, no fueron aceptadas, debido a que no estaba en riesgo directo su integridad física y además se trata de personal preparado"". ""Aunque parezca increíble, el imputado amenazó a los policías con un arco y flecha artesanal, con claras intensiones de agredirlos. Llegaron refuerzos con escudos de protección"". María Angélica de Miguel, Fiscal de Osorno"
3,Reconocen abuso sexual de 3 sacerdotes en Puerto Montt,"Un informe de la congregación Compañía de Jesús develó que tres sacerdotes que estuvieron en Puerto Montt cometieron abuso sexual, de acuerdo a la investigación llevada adelante por los jesuitas. A nivel nacional son 13 los sacerdotes denunciados quienes habrían cometido por lo menos 64 abusos, contra 34 menores y 30 adultos. Uno de los nombres conocidos en la capital regional es el del padre Eduardo Tampe Maldonado. El documento de la Compañía de Jesús indica que la denuncia se hizo en el año 2019. Se señala que el sacerdote fue sindicato por una ""persona mayor de edad, víctima de una transgresión de límites en esferas de la sexualidad. El delito fue frustrado por la acción de la víctima"". En el año 2020 Tampe, de 90 años, fue suspendido del trabajo pastoral. El cura ingresó a la Compañía de Jesús en marzo de 1961 y fue ordenado en diciembre de 1971. Quien también estuvo en Puerto Montt, fue el padre Jaime Guzmán Astaburuaga, que -de acuerdo al informe- cometió abusos entre 1960 y 1990, no sólo en Chile, sino que también en el extranjero. Se indica que por lo menos 15 menores fueron afectados por estos hechos. En el 2012 se le prohibió acercarse a niños y niñas, y este año fue expulsado de la congregación. El padre Leonel Ibacache Ortiz cometió abusos entre 1960 y 1990 en Santiago, Puerto Montt, Antofagasta y Valparaíso. El documento de la Compañía de Jesús agrega que son seis los menores ""víctimas de diversas situaciones abusivas de connotación sexual"". Entre el los años 2018 y 2019 se tomó diversas medidas cautelares por parte de los jesuitas, pero falleció el 15 de septiembre de 2019. El arzobispo de Puerto Montt, monseñor Fernando Ramos, explica que cuando hay una acusación contra algún religioso de una congregación determinada, le corresponde a esa congregación investigar. ""Cuando se trata de menores, ello es sancionado por la Santa Sede, con los antecedentes respecto al hecho. Es la Santa Sede la que ve cómo se procede. En caso de aplicar sanciones, que se cumplan"", replica. La información contenida en el documento fue entregada este año por el Centro de Prevención de Abusos y Reparación (CPR) de la Compañía de Jesús, liberado en la web de la congregación. Gabriel Roblero, provincial de la Compañía de Jesús, indica en el informe que ""los abusos al interior de la Iglesia y de la Compañía de Jesús son una dolorosa verdad que debemos reconocer y enfrentar durante mucho tiempo. Esta fue una realidad que no se abordó de manera adecuada, hubo negación, silencio, minimización, ceguera, invisibilización e incluso en algunos casos se intentó justificar lo ocurrido"", afirma. La congregación Compañía de Jesús de Puerto Montt se pronunció respecto a los casos descubiertos en la capital regional. Indicaron que ""tal como se señala en el informe, Jaime Guzmán fue expulsado de la Compañía de Jesús y también perdió el estado clerical, condena ratificada e inapelable de la Congregación para la Doctrina de la Fe. Actualmente, se encuentra sujeto de manera voluntaria a un plan de supervisión y tiene restricción absoluta de contacto con menores de edad"". Respecto de Leonel Ibacache, se señala que falleció hace dos años, ""pero en su momento se realizó un proceso canónico en su contra, el que concluyó con su expulsión de la Compañía de Jesús"". La congregación agrega que ""en relación con Eduardo Tampe, fue denunciado en 2019 por un hecho de connotación sexual contra una mujer adulta, ocurrido en 2015"". Detallan que ""se realizó una investigación canónica que se encuentra concluida y que actualmente cumple un plan de supervisión que está a cargo de una profesional externa de la compañía"". Mencionan que las distintas etapas de estos procesos y sus respectivas sanciones ""han sido informadas oportunamente, de acuerdo a los protocolos establecidos"". Mario Vargas, electo constituyente y presidente de la organización de Laicos y Laicas de Osorno, puntualiza que estos hechos fueron denunciados en su debido momento, ""sabiendo de las debilidades de la Compañía de Jesús y que había casos que estaban a la vista"", remarca."
4,Detiene a joven acusado por abuso sexual en contra de su pareja: Sujeto se mantenía de manera irregular en Chile,"Detectives de la Brigada Investigadora de Delitos Sexuales Osorno detuvieron a un sujeto de nacionalidad extranjera de 22 años, acusado por el delito de abuso sexual agravado, situación que afectó a su pareja, una mujer de 23 años de edad. El hecho quedó al descubierto durante la jornada de este lunes, instancia en la cual la víctima concurre hasta el complejo la Policía de Investigaciones (PDI) para dar cuenta de la agresión sexual. Producto de ello, detectives iniciaron una serie de diligencias investigativas, tal como el trabajo en el sitio del suceso, entrevistas y exámenes sexológicos, logrando posteriormente la detención del imputado. Se trata de un sujeto que se mantenía de manera irregular en el país, por lo que detectives del Departamento de Migraciones y Policía Internacional Osorno denunciaron su situación migratoria ante la autoridad. Durante este martes el hombre de 22 años pasará a control de detención al Juzgado de Garantía de la ciudad por el delito de abuso sexual agravado."
5,PDI detiene a sujeto acusado por abuso sexual en Osorno,"Detectives de la Brigada Investigadora de Delitos Sexuales Osorno detuvieron a un sujeto de nacionalidad extranjera de 22 años acusado por el delito de abuso sexual agravado, situación que afectó a su pareja, una mujer de 23 años de edad. El hecho quedó al descubierto durante la jornada de este lunes, instancia en la cual la víctima concurre hasta el complejo policial de la PDI para dar cuenta de la agresión sexual. Producto de ello, detectives iniciaron una serie de diligencias investigativas, tal como el trabajo en el sitio del suceso, entrevistas y exámenes sexológicos, logrando posteriormente la detención del imputado. Se trata de un sujeto que se mantenía de manera irregular en el país, por lo que detectives del Departamento de Migraciones y Policía Internacional Osorno denunciaron su situación migratoria ante la autoridad. Durante este martes el hombre de 22 años pasará a control de detención al Juzgado de Garantía de la ciudad por el delito de abuso sexual agravado."
6,Municipio de Puyehue lanza programa de apoyo a víctimas de violencia intrafamiliar,"Treinta y ocho mujeres han denunciado violencia intrafamiliar en la comuna de Puyehue en lo que va de 2021. Asimismo, durante 2020 se realizaron 88 denuncias. Por este motivo, y con el fin de brindar apoyo inmediato a las mujeres y los menores víctimas de violencia, el municipio local ha creado el programa ""Contigo Mujer"" en coordinación con Carabineros de la comuna, donde se busca dar un refugio temporal a las afectadas. Muy contenta con esta iniciativa se mostró la concejal Julieta Palma. ""En un concejo planteé la necesidad de contar con este programa, que es necesario, considerando la cantidad de mujeres que son maltratadas de diferentes formas y muchas se quedan calladas por vergüenza, pero no están solas. Hoy en día el municipio abrió las puertas para apoyarlas y estar juntas. Tenemos que apoyarnos unas a otras"". La mayor Silvia Klein, comisario de la Tercera Comisaría Suburbana de Osorno, indicó que ""la iniciativa se originó en un Consejo de Seguridad Pública, donde el teniente Matías Guevara planteó el problema que estaban viviendo las mujeres víctimas de violencia intrafamiliar, lo cual fue acogido por la alcaldesa Jimena Núñez y la municipalidad, generando este programa que va en directo apoyo a quienes se sienten afectadas, tanto física como sicológicamente"". Klein recordó que existe un número telefónico dispuesta por la Subsecretaría de Prevención del Delito para efectuar de manera segura y anónima denuncias de violencia intrafamiliar: 6004000101. ""Estoy muy agradecida de que se tomen estas iniciativas para apoyar a las mujeres dueñas de casa, ante el cuidado de nuestros niños y el bienestar de cada familia. Como mujer, el mensaje que les envío es que, si sufren de violencia, hoy en día están las redes para dar a conocer lo que les esté pasando. No se callen"", agregó Cristina Cortés, presidenta de la junte vcinal El Encanto Centro. La Universidad Austral de Chile decretó duelo institucional y mantendrá su bandera a media asta. ""Nos sentimos profundamente agradecidos y conmovidos por haber sido parte relevante en la vida de una artista y académico como Hernán Miranda"", dijo el rector (s) Óscar Balocchi. Desde la Uach además se comunicó que el funeral del director del MAC será a las a las 13 horas de hoy en el Parque Los Laureles. La ceremonia estará sujeta a los protocolos covid-19 establecidos por el Ministerio de Salud."
7,Formalizan por femicidio a sujeto acusado de asesinar a mujer en Curaco,"Por el delito de femicidio fue formalizado la mañana de ayer, en el Juzgado de Garantía de Osorno, el sujeto de 57 años identificado con las iniciales J. A. F. S., quien es sindicado como el autor de la muerte de la adulta mayor de 84 años Laura Norma Maldonado Solís, quien fue encontrada sin vida la mañana del domingo al interior de su vivienda en el sector Curaco, en la comuna de Osorno. En la audiencia de control de detención y formalización de los cargos que se postergó, dado que el lunes el Ministerio Público no contaba con el informe de autopsia emanado del Servicio Médico Legal (SML), el juez Pedro Paredes determinó que el imputado representa un peligro para la sociedad, en base al relato y argumentos del fiscal Jaime Sáez, por lo cual decretó su prisión preventiva en el cárcel de Osorno y un plazo de 90 días para la investigación. En la audiencia también se indicó que la causa de muerte de la víctima fue asfixia por estrangulamiento, aunque no se estableció que la mujer haya sido agredida sexualmente por el imputado, quien presentaba tres causas anteriores por este tipo de delito. El único testigo del hecho, y quien redujo al imputado para entregárselo a Carabineros cerca de la vivienda de la víctima en el sector Curaco, señaló en la audiencia que la mujer le había señalado con anterioridad que J. A. F. S, apodado como ""Cachupín"", la había intentado agredir sexualmente e incluso la intimidó en las cercanías del vertedero municipal con un elemento cortopunzante, no obstante, habría logrado zafar de la agresión."
8,"Triste, solitaria y final","La historia de Norma Maldonado (84) comienza más de siete décadas antes de su femicidio. Cuando una tarde, le reveló a su madre que alguien la había abusado. “Mamita, dile a mi papá que pare”, le dijo Norma, que entonces tenía 10 años. Pero nadie creyó en su testimonio. “Por eso terminó tan sola, la Normita solo confiaba en sus perros”, recuerda Herminda, su vecina en Curaco, provincia de Osorno. “Ella me contó que su papá la había tratado de violar y que nadie de su familia hizo nada para cuidarla, por eso no quiso saber más de ellos”, relata Herminda Emilqueo (75), su vecina en el sector rural de Curaco. Casi 70 años después, Norma era una adulta mayor en completo abandono, rodeada de 16 perros en una mediagua sin luz, agua potable ni baño, ubicada junto a un vertedero infestado de ratones. Quienes la veían deambular por Osorno, afirman que lo hacía aislada del mundo, custodiada por un montón de perros callejeros. “Los prefiero a ellos que a la gente”, es lo que ella repetía. “Los perros eran como sus hijos”, comenta Herminda. Era una mujer de cuerpo  frágil, sin redes familiares, que dependía de una pensión básica para sobrevivir. Debía caminar al menos dos kilómetros para obtener agua de un estero, que está cercano al vertedero que recibe los desechos de las siete comunas de la provincia de Osorno. “Prácticamente no comía, una vez la encontré mascando un pan duro, con hongos. Todo lo que le daban, ella se lo entregaba  a sus perros”, dice el presidente de la Sociedad Protectora de Animales de Osorno, Osvaldo Cea. Pocos meses atrás, un incendio en la casa de un vecino en Curaco, dejó sin luz la mediagua de Norma. Su amiga Herminda se la topó pocos días después y Norma le reveló: “Tengo miedo, vecina. Hay un hombre que ronda fuera de mi casa, me está amenazando, no sé qué hacer”. Herminda le ofreció alojar en su casa, pero ella se negó. “Yo nunca voy a dejar a mis perros”. Esta misma negativa se llevó el municipio de Osorno, que, además de entregarle colchones, frazadas y alimentos, le ofrecieron un traslado a un Establecimientos de Larga Estadía para Adultos Mayores (ELEAM) de la comuna. No quiso. Por sus perros. Así lo afirma el jefe subrogante del departamento de asistencia social del municipio, Andrés Santana (31) quien luego de hablar con Norma, comprendió que ella no se iría. “Como no quería dejar a sus perros, decidimos arreglarle su vivienda, instalarle luz, agregarle un estanque de agua, pero la pandemia hizo que todo quedara postergado, no alcanzamos a tener la disponibilidad presupuestaria para hacerle los arreglos”. Por la noche, la mediagua de Norma quedaba aislada. Y ninguna luz iluminaba su casa. Una realidad que, según la trabajadora social, Sonia Parra, llevó a Norma a vivir con permanente temor. LOS PERROS LADRAN La mañana del domingo 30 de mayo, Christian, vecino del sector de Curaco, repartía leña a los vecinos del barrio. De pronto un hombre con la cara cubierta se cruzó en su camino. “El tipo caminaba apurado, nervioso, iba hacia la carretera”, recuerda. Cuando llega a la vivienda de Norma, Christian le gritó desde el umbral de la casa: “¡Normita, Normita, le traigo sus astillas!”. Nadie respondió. La puerta estaba abierta y los perros aullaban. Después de varios llamados, Christian decide entrar y descubre un bulto recostado en el piso. Esa mañana, Herminda despertó entre llantos. Su hija la sacudió sollozando: “Mamá, mataron a la Norma”. Ambas partieron a constatar el horror. Varios vecinos lloraban en la puerta. Uno de ellos, le dijo: “Vecina, Normita está muerta allá adentro, incluso la violaron”. Tras encontrar el cadáver sin vida de Norma, Christian comprende lo que había sucedido. “Ese tipo debe haberla matado”, pensó. Y, en compañía de su hijo, parte en busca del hombre encapuchado. “Lo encontramos como a medio kilómetro de Osorno”. Entonces, Christian, lo confronta: “Tú mataste a la Normita”. Al instante, el hombre confiesa: “Sí, yo la maté”. Las lesiones corroboradas dan cuenta de estrangulamiento. Hoy se está a la espera de los resultados de los exámenes tanatológicos que entregará el Servicio Médico Legal, lo que permitirá determinar otras acciones. El detenido, José Arcadio (57) según indicó el Fiscal de Osorno, José Vivallo, sería conocido de Norma. UNA FALLA SISTÉMICA “Después de su muerte, muchas personas aparecieron hablando de Normita”, dice Osvaldo Cea, quien desde hace 12 años iba a dejarle alimento a sus perros. “Pero muy pocos llegaron a su funeral, fue súper triste. Es un claro ejemplo del abandono en que viven los adultos mayores pobres de nuestra región”. Desde la organización de Adultos Mayores de Osorno, Rolando Ferrada, asegura que estos hechos demuestran la vulnerabilidad de los adultos mayores que son abandonados. “Es atroz, los adultos mayores necesitamos de redes de apoyo. Cada vez se hace más necesario hacer un catastro para conocer cuántos están abandonados en nuestra región”. El asesinato de Norma fue difundido en la prensa y las redes explotaron con mensajes donde se repetían las palabras vejez, pobreza y soledad. Pero muy pocos vincularon su muerte a un fenómeno que podría explicar todas las anteriores: la vejez en Chile es sinónimo de pobreza. Así lo explica Yerko Villanueva, jefe territorial de Hogar de Cristo en Los Lagos. “La mayor falencia de nuestro sistema es que no contamos con dispositivos que acompañen la dependencia de los adultos mayores, ya es tiempo de entender que las residencias deberían ser el último recurso. Es frustrante constatar cómo todos le fallamos a Norma, nadie estuvo a la altura de la intervención que ella y otros cientos de adultos mayores necesitan en la región”. Según el registro Social de Hogares a marzo del 2021, en Osorno hay más de 18 mil personas mayores viviendo en contextos de pobreza, como Norma. La mayoría está ubicada en sectores rurales, sin conexión, sin vínculos, a muchos solo los acompañan sus perros.  “Ella era una mujer buenamoza, una señora muy especial, fue bailarina de ballet cuando era joven, en mi casa cantaba, bailaba, qué tristeza… El otro día escuché a sus perros aullando, ¿cómo les explico que asesinaron a su madre?”, concluye Herminda. Por Matías Concha P. "
9,"Para terminar con la calle, vivienda primero","Por Carolina González, jefa de operación social de Hogar de Cristo. “Estuve tres años en la calle, mi cuerpo ya no valía nada, pesaba menos de cuarenta kilos. Fue una época confusa, violenta, cuando mezclaba copete con pasta base, me borraba, desaparecía, tanto así que al otro día, no recordaba cuando me pegaban o me violaban”, cuenta Evelyn (28), entre miradas evasivas e incomodidad. Ver también: ¿40 mil más o 40 mil menos? Definir el perfil de la mujer en calle es difícil. Las hay jóvenes, con hijos o sin ellos; de la tercera edad, con pareja o solas; extranjeras y chilenas; con enfermedades crónicas, con problemas de salud mental o de consumo de drogas, y también están las que quedaron sin hogar por escapar la violencia intrafamiliar o de un quiebre afectivo inabordable. “A los 24, tuve a Belén, pero me dio una depresión posparto súper fuerte, no sabía qué hacer, no entendía la maternidad”, dice Evelyn. Esto produjo un quiebre con su ex pareja, quien terminó quedándose con la custodia de su hija. Esa perdida la llevó a la calle. Una noche, en que dormía en un paradero, un hombre le ofreció pasta base a cambio de favores sexuales. Ella se negó; él le quebró la nariz. “Ahora analizo ese tiempo y fue como haber estado en una película de terror que no termina cuando se encienden las luces”. ¿Cuántas mujeres deambulan por nuestra región, atrapadas en una película de terror que no termina? Esta invisibilización se expresa en la falta de una perspectiva de género para abordar la problemática de la situación de calle. Y en algo que afecta a hombres y mujeres en calle: la exigencia de pruebas de buena conducta para ayudarlos, lo que tiene que ver con el prejuicio, la estigmatización y la incomprensión de esta realidad social. Ese ese sentido, el programa Vivienda Primero, que ya está presente en Santiago, Concepción y Osorno y hasta ahora beneficia a 353 personas, es una de las políticas públicas más revolucionarias que se ha aplicado nunca en Chile, porque entrega justamente un techo sin pedir nada a cambio a mujeres y hombres con más de 5 años en calle y sobre 50 de edad. Esa base esencial –un espacio propio, privado y protector–, permite iniciar el trabajo de integración, con apoyo psicosocial especializado que es lo que permite salir de una situación, que es la manifestación más cruenta de la pobreza y la vulnerabilidad, más aún en el caso de las mujeres."
