,title,text
0,Amplio dispositivo policial sumó 200 controles en el centro y periferia de Castro,"Un amplio contingente participó en las últimas horas de un nuevo servicio policial focalizado en Castro, que cubrió sectores céntricos y poblacionales. Hasta personal de las comisarías de Ancud y Quellón llegó a reforzar este despliegue que arrojó cerca de 200 fiscalizaciones. Junto a las decenas de uniformados se sumó el apoyo del nuevo móvil de Seguridad Pública municipal, como también funcionarios del Senda. El grupo controló los principales requerimientos de la comunidad en los ámbitos delictivos como de incivilidades. Así lo destacó el mayor Gustavo Guajardo, jefe de Carabineros de la capital chilota, detallando que ""pese a registrarse solo un detenido por una orden judicial vigente, en virtud también de un cambio de metodología que ya no incluye a los infractores al artículo 318 del Código Penal (atentado contra la salud pública), se realizó un amplio servicio preventivo que ayuda a fortalecer nuestra presencia ante la comunidad"". El oficial remarcó que se efectuaron controles de identidad, vehiculares y al comercio establecido, en sectores como la Feria Alcalde José Sandoval y las poblaciones Manuel Rodríguez, Juan Soler, Salvador Allende, Camilo Henríquez y Padre Hurtado. A estas se sumaron el mirador Ten Ten, el sector Pid Pid y el radio céntrico de la ciudad, como el pasaje Luis Espinoza. Dentro de este despliegue se cursaron dos multas a locales patentados de alcoholes y 9 infracciones al tránsito. Asimismo, el comisario remarcó que estas iniciativas están basadas en la focalización de los ilícitos como la georreferenciación de los puntos más complejos en que se producen. ""Se identifican los tipos de requerimientos de la gente y los sectores en que llaman"", apuntó Guajardo, sumando que las principales denuncias no son por delitos de mayor connotación. ""Identificamos tres grandes áreas, como el centro de la ciudad, Galvarino Riveros incluyendo el sector alto y la parte norte de la comuna como Pid Pid, donde provienen los mayores llamados de la comunidad"", enfatizó el uniformado. Los ruidos molestos, las amenazas y violencia intrafamiliar, los desórdenes, el consumo de alcohol y drogas, como las carreras clandestinas y hasta los ataques de perros asilvestrados en el campo, constituyen las principales problemáticas en la comuna. ""Además, salimos con los antecedentes que aportó la SIP (Sección de Investigaciones Policiales) sobre las personas que tienen órdenes pendientes. Esto demuestra que estos servicios son planificados, los cuales se extenderán a otros sectores y comunas, dependiendo de la focalización que se realice"", precisó el mayor. Pedro Bárcena González pedro.barcena@laestrellachiloe.cl"
1,"""Un gran anhelo para poder funcionar de mejor manera en Chiloé es implementar una Brigada de Homicidios""","La crisis sanitaria del covid-19 ha golpeado en todos los niveles. Por ello, la readecuación y reforzamiento de labores han sido la tónica en muchas instituciones. Y la Policía de Investigaciones (PDI) no es la excepción. Un escenario que queda de manifiesto en el análisis de la gestión en este último tiempo marcado por la pandemia. Así lo indica el prefecto inspector Gastón Herrera, jefe regional de la PDI, que en el marco del mes del aniversario 88 de la organización detalla cómo el coronavirus influyó en el despliegue policial, en los fenómenos delictivos y hasta en el avance de proyectos. -¿Cómo ha sido el impacto de la pandemia en la PDI? -Hemos tenidos que redoblar nuestros esfuerzos, al asumir funciones que nos son habituales. Por ejemplo, en Mocopulli estamos a cargo de la aduana sanitaria que está en el aeródromo; como sucedió en Ancud cuando tuvo aduanas y cordones sanitarias, estuvimos realizando controles. También vemos el tema de las vacunas, nuestra misión es evitar algún acto fraudulento como venta de vacunas falsificadas o robos de estas. También indagamos delitos de la salud pública, como pasó con la venta de alcohol gel que no estaba certificado y hasta falsificado. Junto a esto seguimos trabajando en la investigación de delitos de toda índole, por eso ha sido un tiempo muy complejo. -¿Los contagios mermaron su personal? -Tuvimos un brote en Castro y debimos subsanarlo con mucho sacrificio del resto. En Ancud los casos fueron puntuales, pero en Castro casi nos llevó la mitad de la dotación en un minuto y fue muy complejo. Afortunadamente, el 98% de dotación de la región ya está vacunada lo que constituye un importante resguardo. -¿Esta crisis incidió en los fenómenos delictivos, como en los casos de droga? -El año pasado incautamos alrededor de 65 kilos de droga en la región y este 2021 ya bordeamos los 40 kilos; es decir sobre el 60% del total pasado (61,5%). Entonces, existe un incremente en el ingreso de droga, como también los autocultivos. Por ejemplo, en Castro se incautó (abril del 2020) más de 12 kilos de marihuana y era todo autocultivo, esta modalidad ha aumentado producto de las mismas restricciones de la pandemia, los controles carreteros, eso ha mermado el ingreso libre de droga, proliferando el autocultivo de la cannabis. -Dentro de estas modalidades de tráfico, cuál ha sido el papel de las redes sociales como facilitador de la venta? -La venta online era algo que ya existía, con el tema de las cuarentenas y la pandemia se ha incrementado. Con las restricciones, los traficantes se reinventaron y aplicaron las mismas modalidades que existen para la venta de productos formales. Por ejemplo, en Ancud hemos tenido diligencias respecto a este tipo de venta tipo delivery. Un fenómeno que se ha visto en todo el país. -¿Otro tipo delito en alza en el último tiempo? -Primero es preciso señalar que ha existido una baja en los delitos de mayor connotación social. La pandemia minimizó muchos ilícitos, como los robos en viviendas. Pero sí aumentó en algunos delitos, como robos en lugares no habitados, como empresas o colegios. Al no estar con gente se produce la oportunidad de los delincuentes para ingresar. También hemos detectado un pequeño aumento en los delitos sexuales, violencia intrafamiliar (VIF) y los homicidios. -¿A qué se asocia esta problemática, el confinamiento ha influido? -Para el caso de las VIF sí se ve reflejado esto, aunque hay que aclarar que el confinamiento actúa más como un gatillante, puesto que los problemas al interior de las familias vienen de antes de la pandemia. Es más, la estadísticas dan cuenta que en el caso de violencia de género las mujeres tardan unos 7 años en denunciar. Por eso, con este tema del aislamiento y al estar más dentro de las casas, estas problemáticas aumentan. Igual, hay que aclarar que los primeros seis meses de la pandemia se vio una baja en estos delitos, los cuales después aumentaron lo que sería producto de la misma ""fatiga pandémica"", al no poder hacer su vida cotidiana. Por los delitos sexuales la dinámica es similar y por los homicidios, hemos tenido muchos por ingesta de alcohol. Y es producto de lo mismo, muchas veces la gente se junta de forma clandestina y eso genera encuentros cerrados con consumo desmedido, aflorando las rencillas anteriores y hasta los desencuentros familiares. -Al extenderse el estado de excepción, ¿como se proyectan los próximos meses? -Nosotros dependemos del jefe de la Defensa Nacional (general Cristián Eguía), y en coordinación con salud. Las proyecciones son que seguiremos trabajando con las vacunas, redoblando los esfuerzos en las aduanas sanitarias en los terminales aéreos. Igual salud nos pide algunos requerimientos, alianzas con la Dirección del Trabajo haciendo fiscalizaciones a empresas. Esa es la dinámica y los focos. Esperamos que esto baje y volvamos a algún grado de normalidad y volver a hacer nuestras funciones de forma normal. -¿Estas nuevas labores con las mismas restricciones pandémicas, han influido en los procesos investigativos, retardando o imposibilitando diligencias? -No, seguimos indagando según lo que solicita el Ministerio Público, no hemos tenido retraso en ese sentido. A lo mejor, lo que pudo haber pasado, por ejemplo, en los juicios que han sido menos en este tiempo, eso ha provocado a lo mejor algún retardo en el trabajo. Pero seguimos redoblando esfuerzos para cumplir los requerimientos. No hemos dejado de hacer cosas por la pandemia. -¿Proyectos en Chiloé, como la reposición de la prefectura y una unidad permanente para Quellón, siguen en pie? - Tenemos un proyecto presentado en el Gobierno Regional sobre la ampliación de la Prefectura en Castro. Hemos estado en conversaciones hace mucho tiempo con el tema del terreno, entre el municipio local y el Serviu están viendo uno (se analiza uno entre la población Salvador Allende y el Parque Municipal). Y una vez que sea entregado vamos a reactivar la iniciativa, puesto que el cuartel de Castro ya nos quedó chico. Además, eso ha impedido que se sumen otros proyectos, como un gran anhelo para poder funcionar de mejor manera en Chiloé, que es implementar una Brigada de Homicidios (BH), puesto que es un delito complejo, importante de resolver y muchas veces la BH de Puerto Montt que atiende la provincia, sufre con las contingencias, ya sea climáticas como geográficas, ya que son desplazamientos largos. Esto ha complicado esta labor. Por ello, buscamos instalar una BH o a lo menos tener gente permanente y especializada en la Isla. Y teniendo una infraestructura acorde a la necesidad de Chiloé, sería un impulso para seguir creciendo. -¿Entonces, depende de una nueva prefectura el tener una BH? -Sería lo ideal, pero como sabemos que la construcción de una prefectura sería a largo plazo, más al considerar que recién estamos viendo el terreno, nuestra primera prioridad sería la BH y por un tema de infraestructura estamos viendo iniciar con una especie de sección que podría ser dotada en alguna unidad de la Isla, como la Brisex de Ancud o la Bicrim Castro. Lo ideal es que esto salga este año. -¿Y las gestiones para que Quellón tenga una Brigada de Investigación Criminal (Bicrim)? -En la comuna hemos realizado contactos, incluso a nivel municipal. La intención es que la Avanzada ""temporal"" que existe, conformada por detectives de la Isla, se transforme, tal vez no en una Bicrim, pero sí en una Avanzada permanente, como sucede en otras partes, como Concón (Región del Valparaíso). ""Nosotros seguimos redoblando los esfuerzos para cumplir todos los requerimientos policiales"". Según datos entregados por la PDI en Los Lagos, durante el año pasado se registraron 79 personas detenidas por casos de droga, dentro de un total de 352 aprehendidos (hubo 128 por atentados contra la salud y 145 por otros delitos). Mientras que este 2021, hasta el 22 de junio, fueron 25 los detenidos por Ley 20.000; 50 por infringir el artículo 318 del Código Penal (covid) y 25 por otros ilícitos. La droga incautada el 2020 llegó a 17 kilos 307,8 gramos. Mientras que por delitos sexuales, se recibieron el año pasado 299 órdenes de investigar, 93 por abusos sexuales impropios, 62 por abusos sexuales a mayor de 14 años, 43 por violación impropia y 33 por violación a mayor de 14 años."
2,Fiscalía invoca perpetua calificada por femicidio de joven atacada en Quellón,"La máxima pena de nuestra legislación solicitó el Ministerio Público de Quellón contra el sujeto sindicado como responsable del asesinato de su expareja, a quien atacó de múltiples estocadas en plena vía pública de Quellón. Un caso por femicidio que remeció a la provincia, incluso motivando las protestas de vecinos de la comuna. Presidio perpetuo calificado invocó la fiscal Karyn Alegría contra el imputado de iniciales J. A. O. P. (42), quien habría ultimado de al menos 11 cuchilladas a Daniela Vivar Nauto (30), mientras ella caminaba por calle Aníbal Pinto de la ciudad porteña durante la jornada del 1 de diciembre del 2019. La persecutora presentó recientemente acusación contra el encartado, quien permanece en prisión preventiva en la cárcel de Puerto Natales (Región de Magallanes). Un requerimiento basado en lo que califica como ""contundente y numerosa prueba"", destinada a acreditar la existencia de la figura penal, como la participación del obrero. Como expuso la abogada en su presentación, el imputado agredió a la mujer en la zona torácica, cabeza, cuello y brazos, causándole múltiples heridas punzocortantes a raíz de las cuales falleció aproximadamente una hora más tarde en el Hospital de Quellón, por shock hipovolémico. Con 47 medios de prueba buscará la jurista esclarecer por completo la dinámica y, fundamentalmente, sustentar su pretensión punitiva. 20 testigos fueron considerados en el requerimiento, cobrando especial valor la pareja que acompañaba a la joven el día del crimen, ya que observó la dinámica del ataque. ""La prueba es contundente, no solo para demostrar la intervención del imputado en la muerte de Daniela, sino también en su intención femicida. Él buscó provocarle la muerte, tanto por el tipo de lesiones, como por el dolo ejercido"", explicó la fiscal, sumando que la evidencia recogida confirma que el encartado cumplió sus amenazas de muerte. Asimismo, la representante del Ministerio Público justificó la pena invocada en base a la tipicidad del ilícito y todo el contexto que envolvió. ""(El acusado) No tiene irreprochable conducta anterior (tiene condena por delitos contra la propiedad) y la pena está dentro del marco legal. Los hechos son especialmente gravosos, al existir una absoluta búsqueda de matar a la víctima. También hay que considerar la cantidad de lesiones que le provocó"", describió Alegría. Para potenciar más este punto, la fiscal no solamente apuntó a la juventud de la isleña, lo que amplía el daño generado, sino que se remarcó que en este caso ""se da una manifestación absoluta de la violencia de género, puesto que el imputado no soportó la negativa de la mujer de retomar la vida en pareja (10 años habían tenido de relación)"". En tanto, el Servicio de la Mujer y Equidad de Género (SernamEG) de Los Lagos, que representa a la hermana de la occisa como querellante, se encuentra evaluando esta acusación fiscal con el objeto de determinar los próximos pasos procesales a seguir. Así lo reportó la directora regional del organismo, Kattia Galindo, reportando que ""una vez que tengamos la acusación la revisaremos para establecer si nos adherimos"". Eso sí, ya advirtió la personera que el fundamento primordial para sumarse al requerimiento del ente persecutor era la pena solicitada. Como institución igual buscan que el autor de este femicidio sea sentenciado a cadena perpetua calificada. 11 cuchilladas, al menos, recibió la mujer en este ataque en la calle. 6 peritos fueron sumados en este requerimiento judicial."
3,Detienen a quellonino por femicidio frustrado,"Por el delito de femicidio frustrado fue detenido ayer un sujeto en la comuna de Quellón tras agredir con un arma blanca a su exconviviente ocasionándole lesiones de carácter grave y también a un vecino de esta que acudió a prestarle auxilio. De acuerdo a lo explicado por Paulina Otero, fiscal (s), en el Juzgado de Garantía de Quellón, ayer se realizó una audiencia de control de detención respecto del imputado que fue detenido por personal de Carabineros en el contexto de una denuncia que realizó su exconviviente por el delito femicidio frustrado. ""Indicó esta persona que en horas de la noche, en momentos en que se encontraba en su domicilio, llegó al lugar el imputado con quien tras sostener una discusión, este la habría agredido premunido de un arma blanca del tipo cuchillo con la cual le propinó una puñalada a la altura de su abdomen"", expuso la abogada. Además, comentó que un vecino intervino en defensa de la víctima, acudiendo ante los llamados de auxilio de la mujer y quien también habría sido agredido por el imputado con la misma arma blanca, resultando esta última persona con lesiones menos graves. ""La víctima resultó con lesiones de carácter graves gravísimas, debiendo ser trasladada de urgencia al Hospital de Quellón, donde fue intervenida y actualmente se encuentra estable"", describió Otero. La detención del imputado se declaró ajustada a derecho, ampliándose hasta hoy a las 12 horas, oportunidad en que se llevará a efecto una audiencia de comunicación de cargos en su contra y se debatirá sobre las medidas cautelares."
4,Joven queda preso por nueva embestida contra su expareja en Quellón,"Tras una nueva embestida contra su expareja en Quellón, un joven quedó en las últimas horas en prisión preventiva. No conforme con mantener condenas anteriores por ataques contra la misma joven y presentar una causa vigente por amenazas, el sujeto protagonizó otro incidente por el cual fue formalizado por tres delitos. Así fue resuelto en audiencia virtual con el Juzgado Mixto de la comuna del sur de la Isla, donde se expusieron los antecedentes de la detención del encartado de iniciales N. A. R. R. (32), la cual fue realizada por funcionarios de la Sexta Comisaría de Carabineros local que abordaron el procedimiento a la altura del kilómetro 1.269 de la Ruta 5 Sur, en el acceso a Quellón urbano. De acuerdo a lo reportado por la fiscal (s) Paulina Otero, quien instruyó las diligencias del caso, los hechos se produjeron en un domicilio ""donde se encontraba la victima en compañía de terceros, llegando al lugar el imputado aparentemente bajo efectos del alcohol, amenazando y agrediendo a la mujer motivado por celos"". Según agregó la persecutora, la afectada ante este nuevo ataque ""huye y pide auxilio a una persona en un negocio, quien llama a Carabineros en momentos que perseguía a la victima"". Los uniformados de inmediato activaron un dispositivo que permitió dar con el paradero del sospechoso en plena vía pública, siendo sindicado por la víctima ante lo cual fue aprehendido. El isleño fue puesto a disposición del tribunal porteño, donde no se incidentó la legalidad de la detención por parte de los efectivos de la unidad base local. Además, Otero procedió a encausar una indagatoria por los delitos de lesiones menos graves, amenazas y desacato, todos en contexto de violencia intrafamiliar (VIF). Ante el número de ilícitos, la gravosidad de los mismos, la pauta de riesgo de VIF, su reincidencia y el peligro que constituye la libertad del obrero para la seguridad de la vecina y la sociedad, la fiscal invocó la cautelar más gravosa en su contra. ""Quedó en prisión preventiva ya que tenía varias condenas anteriores respecto de la misma victima por delitos en contexto de violencia intrafamiliar y una causa vigente por amenazas (tenía prohibición de acercamiento a la mujer). Así que el tribunal compartió los argumentos del Ministerio Público estimando que la única medida para asegurar la integridad física de la victima era la prisión preventiva"", explicó la jurista. El magistrado Pablo Farfán decretó esta precautoria pese a la oposición del defensor penal público Juan Manuel Castro, quien solicitó el arresto domiciliario total. ""Cuestioné el desacato. La victima dice que son convivientes, pero ella tiene una residencia distinta"", esbozó el abogado, quien aseguró que ante este dictamen apelará al tribunal de alzada para intentar revertir de la cautelar. 60 días decretó el magistrado Pablo Farfán como plazo para el desarrollo de la investigación formal de esta causa. Como indicó la fiscal (s) Paulina Otero, las pesquisas ""quedarán a cargo de la Avanzada de la Policía de Investigaciones de Quellón"". Dentro de las diligencias se espera el empadronamiento de las personas que participaban del encuentro en este domicilio del ingreso norte de la ciudad. También se aguarda por el informe definitivo de lesiones de la víctima."
5,Dictan prisión preventiva por femicidio frustrado,"La medida cautelar de prisión preventiva determinó el Tribunal Mixto de Quellón en la audiencia en la que se comunicaron los cargos a un imputado por el delito de femicidio frustrado y lesiones menos graves. Se trata de un hecho ocurrido la noche de 13 de julio en la comuna y que quedó al descubierto tras la denuncia de la víctima que resultó herida con un arma blanca. Tras la ampliación del plazo de la detención del sujeto que fue aprendido por personal de la Sexta Comisaría de Carabineros, después de agredir de gravedad con un cuchillo en la zona del abdomen a su expareja y a un vecino de esta que acudió en su ayuda, ayer se realizó la formalización de rigor. Paulina Otero, fiscal (s) de Quellón, indicó que el Ministerio Público solicitó la medida cautelar de presión preventiva por estimar que la libertad del imputado constituye un peligro para la seguridad de la sociedad y de las víctimas. Junto con ello, expresó que los ""argumentos fueron compartidos íntegramente por el tribunal, estimando que se daban todos los presupuestos materiales para estimar la existencia del delito y la participación del imputado y que la única medida cautelar para asegurar la integridad física de las víctimas era su privación de libertad"". Además, la abogada del órgano persecutor señaló que ""las diligencias investigativas se encuentran a cargo de la SIP (Sección de Investigaciones Policiales) de la Sexta Comisaría de Quellón, otorgando el tribunal un plazo de 60 días de investigación"". Junto con ello, la profesional recordó que los hechos fueron cometidos la noche del martes 13 de julio, oportunidad donde el imputado atacó a su exconviviente premunido de un cuchillo, propinándole una puñalada en el abdomen por la que fue intervenida de urgencia en el Hospital de Quellón y además lesionando a un vecino de la víctima que acudió en su ayuda. Por su parte, el defensor Carlos Barahona mencionó que ""alegué la falta de requisitos para decretar la prisión preventiva, ya que los hechos no eran constitutivos de femicidio frustrado; por el contrario, se trataría de un delito de lesiones porque no estaba acreditado el ánimo de matar"". Asimismo, el profesional agregó que la medida de prisión preventiva es desproporcionada, considerando la prognosis de pena a cumplir en el caso de ser hallado culpable, además de poseer su defendido irreprochable conducta anterior. Así como, argumentó, que todos los fines de la investigación serían salvaguardados con un arresto total. De esta forma, el imputado fue trasladado hasta el Centro de Detención Preventiva de Castro, donde deberá esperar el fin de la investigación decretada por dos meses. 60 días fue el plazo establecido por el tribunal para el cierre de la investigación."
6,Prisión preventiva para acusado de femicidio frustrado en Quellón,"En la cárcel deberá esperar el cierre de la investigación en su contra, un sujeto acusado por la Fiscalía de Quellón como autor del delito de femicidio frustrado en contra de su expareja, en un hecho ocurrido la jornada de este martes. Según se informó por el Ministerio Público, J.M.LL.R. atacó con un arma blanca a la mujer provocándole una herida cortopunzante de gravedad en el estómago, por lo que debió ser internada en el hospital local. Igualmente, atacó a un vecino de la víctima, quien intentó ayudarla de la agresión que recibía y quien también resultó lesionado. FEMICIDIO FRUSTRADO Según lo señalado por la Fiscal (s) del Ministerio Público de Quellón, Paulina Otero, el sujeto fue detenido por personal de Sexta Comisaría de Carabineros en el contexto de una denuncia que realizó la víctima. “Indicó esta persona que, en horas de la noche, en momentos en que se encontraba en su domicilio llegó al lugar el imputado con quien, tras sostener una discusión, éste la había agredido premunido de un arma blanca, del tipo cuchillo, con la cual le propinó una puñalada a la altura de su abdomen”, expresó la abogada. Alertado por lo gritos de auxilio de la víctima, un vecino de la mujer llega al lugar para ayudarla. “Un vecino quien acudió ante los llamados de auxilio de la víctima y quien también habría sido agredido por el imputado con la mima arma blanca, resultado esta última persona con lesiones menos graves, en tanto, la víctima, ex conviviente del imputado resultó con lesiones de carácter graves gravísimas, debiendo ser trasladad de urgencia al hospital de Quellón, donde fue intervenido y actualmente se encuentra estable e internada en aquel lugar”, expresó. FORMALIZACION Durante la jornada de este jueves, se desarrolló la audiencia de formalización de cargos por parte de la Fiscalía, donde se pusieron los antecedentes del caso ante el juez de garantía. En la oportunidad el ministerio Público solicitó la medida causal de prisión preventiva por estimar que la libertad del imputado constituía un peligro para la sociedad y de las víctimas. “Estos argumentos fueron compartidos íntegramente por el tribunal, estimando que se daban todos los presupuestos materiales para estimar la existencia del delito y la participación del imputado, y que la única medida cautelar para asegurar la integridad física de las víctimas era su privación de libertad de libertad en un centro penitenciario de la comuna de Castro”, expresó. En este contexto se indicó que la investigación del caso quedó en manos de la Sección de Investigación Policial (SIP) de Carabineros para reunir más antecedentes respecto de la agresión sufrida por la mujer. “Las diligencias investigativas actualmente se encuentran a cargo de la SIP de la sexta comisaría de Quellón, otorgando el tribunal un plazo de 60 días de investigación”, apuntó."
7,Quellón: joven queda preso por ataques contra su expareja,"Reflejando una conducta peligrosamente refractaria, que la justicia ya conocía pero que no había abordado con sanciones privativas, un sujeto volvió a atacar a quien era su pareja en Quellón. Por esta nueva embestida, el agresor quedó en prisión preventiva. En febrero de este año, el imputado de iniciales G. J. G. M. (30) fue sentenciado por cinco delitos en contexto de violencia intrafamiliar (VIF) contra la misma víctima, una mujer de 40 años sumida en una verdadera espiral de maltratos. Al reconocer su responsabilidad fue beneficiado con la remisión condicional de la pena por un año. Ante las garantías del sistema, el joven no tardó en reincidir y en las últimas horas fue detenido por otra seguidilla de ilícitos contra la quellonina. Tal como explicó la fiscal Karyn Alegría, por estos recientes hechos, el isleño fue encausado por lesiones menos graves, amenazas, violación de morada y desacato, todos en contexto de VIF. ""Solicitamos como cautelar la prisión preventiva del imputado en el entendido de considerar que su libertad constituye un peligro para la seguridad de la víctima. Un criterio que fue compartido por el tribunal, al entender que esta medida es proporcional y dando preponderancia a la vulnerabilidad en que se encuentran las víctimas de violencia de género"", acotó la persecutora. Asimismo, la abogada insistió que para este dictamen se consideró que el encartado ""ya tenía una prohibición de acercarse a la afectada. Sin embargo, concurrió al domicilio de la mujer y la volvió a agredir"". Por su parte, el defensor Carlos Barahona cuestionó esta precautoria, remarcando que ""nos opusimos a su imposición, básicamente por entender que no concurren los presupuestos materiales del delito y no existía una necesidad de cautela en base a la prisión"". Igualmente, el profesional resaltó que ""no estamos conformes con lo resuelto y evaluaremos en las próximas horas la opción de impugnar este dictamen y presentar un recurso ante la Corte de Apelaciones de Puerto Montt""."
8,Dictan cárcel por ataques contra mujer en Quellón,"Tras no comparecer voluntariamente y al concretarse una orden de detención en su contra, un sujeto fue encausado en las últimas horas por tres delitos en contexto de violencia intrafamiliar (VIF) contra su expareja. Una nueva muestra del impacto de este flagelo en Quellón, por el cual el imputado quedó en prisión preventiva. El 22 de mayo pasado, el encartado de iniciales M. A. C. O. (46) fue formalizado por un primer hecho de amenazas, en perjuicio de la mujer de 52 años. Un incidente registrado en la costanera quellonina y por el cual debió abandonar la casa que compartía con la víctima. También se decretó como cautelar la prohibición de acercarse a ella. Al no cumplir con estas condiciones y volver a arremeter contra la vecina, se programó una audiencia de reformalización. Sin embargo, el maullinense no compareció ante el Juzgado Mixto de Quellón, por lo cual el 3 de agosto pasado el magistrado Pablo Farfán decretó una orden de aprehensión en su contra, la cual fue diligenciada por Carabineros. Tras ser capturado por la policía uniformada, el obrero fue puesto a disposición, nuevamente, de la justicia. Por ello, este lunes se abrió una indagatoria formal en su contra, ahora por dos delitos de amenazas y un desacato, en contexto de VIF. Según lo expuesto por la fiscal jefa de Quellón, Karyn Alegría, por la primera intimidación ""la víctima a esa fecha era su conviviente, mientras que la segunda amenaza se da cuando ya no existe esta convivencia, oportunidad en que además existiendo una prohibición de acercamiento, el imputado la quebranta"". De esta forma, apelando a la necesidad de cautela, la persecutora solicitó la prisión preventiva en virtud al número y gravedad de los delitos formalizados. ""Estimamos que la libertad de esta persona constituye un peligro para la seguridad de la víctima, en virtud de los delitos cometidos y existiendo una prohibición expresa y notificada de acercamiento a la víctima, la cual incumple"", argumentó la abogada, remarcando que la precautoria invocada es ""proporcional"" a los hechos. Más allá de la oposición de la defensa del encartado, que pidió una cautelar menos gravosa, el tribunal del sur de la Isla acogió la tesis del Ministerio Público, determinando el ingreso del sujeto a la cárcel de Castro y dictando un plazo para indagar de 30 días."
9,Dictan exiguas penas por ataques contra mujer: su esposo la intentó matar,"Al mínimo del grado fue sentenciado durante la tarde de ayer un sujeto por su responsabilidad en el delito de femicidio tentado contra su esposa, a quien atacó con arma blanca en plena vía pública de Quellón. Además, recibió penas menores por su responsabilidad en los ilícitos de amenazas y violación de morada, en perjuicio de la misma víctima. La sala presidida por el magistrado Elías Agüero entregó su fallo tras el juicio al que fue sometido el acusado de iniciales R. A. I. O. (52) por los hechos más graves registrados el 10 de febrero del 2020, cuando se bajó de un vehículo, interceptó a la víctima y la acuchilló, causándole una herida en el abdomen de 5 milímetros de diámetro. El 4 de noviembre del 2019 y el 16 de enero del 2020 se produjeron las otras embestidas en el marco de la espiral de violencia que sufrió por largo tiempo la vecina que hoy tiene 48 años. De acuerdo a lo manifestado por la fiscal de la causa, Karyn Alegría, quien había presentado cargos por femicidio frustrado, invocando inicialmente una pena de 15 años de presidio contra el agresor, tras la recalificación de los hechos a tentativa existe conformidad con la resolución judicial, pese a que se decretaron 5 años y un día de presidio. ""Como Ministerio Público nos parece una sentencia justa que dice relación con la problemática de la violencia de género, la cual no va a ser tolerada"", expuso la persecutora, valorando en especial que durante la sesión judicial se logró acreditar la intención de matar del encartado. Junto a la pena principal, los sentenciadores dictaron contra el obrero 300 días de reclusión por las amenazas y otros 61 días por la violación de morada (se exponía a 540 días por cada uno de los ilícitos). ""Las penas son de cumplimiento efectivo"", advirtió la abogada, añadiendo que por el primer delito, ""dentro de las accesorias legales impuestas, está la prohibición de acercarse a la víctima por un plazo de 2 años"", acotó. Por su parte, Thomas Patri, jurista del Servicio de la Mujer y Equidad de Género de Los Lagos, quien es querellante en esta causa, mostró su disconformidad con este dictamen. ""Es una pena muy baja, considerando la gravedad del delito y la forma de comisión del mismo"", reportó. Asimismo, la fuente explicó que ""buscábamos la máxima pena posible, lo que lamentablemente no se dio en este caso"". Bajo este escenario, analizará en profundidad el fallo para conocer el tenor de los magistrados, no solo para recalificar la acusación, sino también para imponer la pena en el mínimo por el ilícito más gravoso. En tanto, el defensor del sentenciado, Carlos Barahona, fue más cauto con esta reciente decisión judicial y remarcó que debe revisar la sentencia para determinar sus alcances y eventuales acciones procesales futuras dentro de una causa en que su representado arriesgaba casi 28 años de presidio (fue absuelto de dos cargos de desacato, por los que pedían 10 años de cárcel totales), pero terminó recibiendo menos de 6 años. Incluso, tiene un abono de 560 días por el tiempo en que ha permanecido privado de libertad."
