,title,text
0,Vecinos de Nueva Braunau realizaron Recorrido Barrial con equipo municipal identificando requerimientos y desafíos de su localidad,"El grupo realizó un barrido de requerimientos y necesidades en su territorio que serán abordados en el marco del trabajo de las Mesas Barriales y Territoriales. El grupo realizó un barrido de requerimientos y necesidades en su territorio que serán abordados en el marco del trabajo de las Mesas Barriales y Territoriales. Desafíos en materia de seguridad pública, áreas verdes, violencia intrafamiliar, e infraestructura urbana son algunas de las problemáticas que dirigentes y vecinos subrayaron en el recorrido por los barrios de Nueva Braunau acompañados del equipo municipal encabezado por el alcalde Tomás Gárate. Para los vecinos es una instancia que propone una nueva relación entre la comunidad y las autoridades, empoderándose y dando poder de decisión en la forma de habitar su territorio. Así lo afirmó Juan Carlos Villaroel, vecino de la Villa Bellavista y Dirigente del Conjunto Folclórico Entre Ríos y Praderas: “Esta es la forma de gobernar del municipio, que se empape en terreno de los problemas que tiene la comunidad, y que recoja de primera mano este tipo de información. No será fácil, pero en la medida que los mismos vecinos y el municipio trabajamos en conjunto, cualquier tarea no va a ser difícil”. El alcalde Tomás Gárate encabezó el equipo municipal que recorrió los barrios de Nueva Braunau acompañado de vecinos y dirigentes, conociendo de primera fuente los requerimientos más urgentes de las comunidades y también los proyectos que tienen en mente para sus comunidades. “Hay muchos desafíos que tenemos que enfrentar, pero también vimos una energía muy potente que nos va a permitir salir adelante. Hablamos de seguridad, inclusión, educación, recuperar espacios públicos y áreas verdes y también fortalecer Nueva Braunau con una identidad que sea propia. Y esto nos permite trazar una hoja de ruta que nos permita responder a las principales urgencias y también a los desafíos de cara al futuro” afirmó el jefe comunal. La información recogida se sistematizará para trabajar un Plan de Desarrollo Participativo, priorizando soluciones de corto, mediano y largo plazo en el marco de las Mesas Barriales y Territoriales que se implementaron en la localidad. Además de Nueva Braunau, el municipio de Puerto Varas implementó esta nueva forma de gobierno participativo en la Población Alessandri y Ensenada, que son parte de las primeras tres Mesas Barriales y Territoriales como plan piloto, para las quince que se deberán conformar en los próximos meses en toda la comuna integrando a todas las comunidades del territorio.  "
1,En prisión preventiva quedó imputado de atropello a su pareja en Puerto Varas,"En prisión preventiva quedó un hombre de 31 años, contra el cual esta mañana se formalizó investigación por el delito de femicidio frustrado tras ser denunciado ayer de atropellar a su pareja en la calle Lago Pascal de Puerto Varas, luego de una discusión entre ambos. El fiscal Fabián Fernández, explicó que estos hechos ocurrieron la madrugada del 1 de noviembre luego que ambos concurrieran a casa de familiares del imputado. «La víctima tras retirarse del domicilio es seguida por esta persona a bordo de un vehículo, la atropella arrastrándola varios metros resultando la víctima con lesiones de distinta consideración», detalló. Desde el Ministerio Público se dispuso a personal especializado de Carabineros de la Sección de Investigación Policial (SIP) de la Primera Comisaría de Puerto Varas; Sección de Investigación de Accidentes en el Tránsito (Siat) y Laboratorio de Criminalística (Labocar) a fin de desplegar las diligencias investigativas y obtener los antecedentes suficientes para la formalización de cargos. El Juzgado de Garantía de Puerto Varas acogió la solicitud de la Fiscalía de imponer al imputado la medida cautelar de prisión preventiva, tras formalizarlo por los delitos de femicidio frustrado y conducción bajo la influencia del alcohol. Además se fijo un plazo de cierre de investigación de 90 días. El tribunal estimó entre otros argumentos, que el imputado era un peligro para la seguridad de la víctima quien además de conviviente, es madre de un hijo en común."
2,Carabineros detiene en Puerto Varas a sujeto que estuvo 6 años prófugo,"En el desarrollo de diligencias propias de su especialidad, Carabineros de la Sección Encargo y Búsqueda de Vehículos (SEBV) de Puerto Montt, luego de efectuar un análisis de información obtenida a través de diferentes fuentes, detuvo a un sujeto, quien estuvo durante 6 años prófugo de la justicia. El sujeto, de 47 años de edad, registraba una orden de detención vigente desde febrero del año 2016, manteniéndose una búsqueda que se prolongó por 2.114 días. El individuo, quien detenido en la localidad de Nueva Braunau, en la comuna de Puerto Varas, está imputado de causar lesiones menos graves en contexto de violencia intrafamiliar."
3,Carabineros de Puerto Varas detiene a un hombre por femicidio frustrado,"Habría atropellado a su pareja y huido del lugar Habría atropellado a su pareja y huido del lugar Carabineros de la Primera Comisaría de Puerto Varas detuvo durante la tarde de ayer, a una persona imputada del delito de femicidio frustrado quien habría atropellado a su pareja. La detención se realizó luego de una denuncia recibida en la unidad policial lacustre en la mañana de ayer, por parte del padre de la víctima. Según los antecedentes preliminares, en horas de la madrugada de ayer el sujeto estaba compartiendo con su pareja, luego de lo cual,  habrían sostenido una discusión, hechos ocurridos en la población Lomas 7 de Puerto Varas. Posteriormente, el imputado comenzó a seguir a la mujer en una camioneta blanca por un pasaje del sector, atropellándola en la vereda. El sujeto arrastró a la mujer con su vehículo por unos 20 metros, para luego dejarla tendida en la vía pública abandonada y huir del lugar. La víctima sufrió heridas de carácter grave, quedando internada en el Hospital de Puerto Montt. El imputado mantiene un amplio prontuario policial, además de una orden vigente por lesiones menos graves en contexto de Violencia Intrafamiliar. El fiscal de turno instruyó el trabajo del Laboratorio de Carabineros y de la SIAT con el objetivo de establecer cómo ocurrió el atropello."
4,En prisión preventiva quedó imputado de femicidio frustrado en Puerto Varas,"En la jornada de ayer, en el Tribunal de Garantía de Puerto Varas se llevó a cabo la audiencia de control de detención y de formalización en contra de un imputado, de sexo masculino, de 31 años de edad, por su participación en un delito de femicidio frustrado y conducción bajo la influencia del alcohol. Los hechos ocurrieron en la madrugada del 1ero de noviembre recién pasado donde después de estar compartiendo la víctima con el imputado, en casa de familiares del imputado, la víctima tras retirarse del domicilio es seguida por el imputado a bordo de un vehículo, quien la atropella, arrastrándola por varios metros, resultando la víctima con lesiones de diversa consideración. Fiscalía ordenó la inmediata investigación por parte de Labocar, SIAT y la SIP de Puerto Varas para contar con los antecedentes suficientes para enfrentar la audiencia de formalización. El Tribunal de Garantía de la ciudad de las rosas adoptó la medida cautelar de prisión preventiva por considerar que la libertad del imputado constituía un peligro para la seguridad de la víctima, quien vivía con el imputado y tienen un hijo en común. Se fijó un plazo investigativo de 90 días."
5,Indagan caso de abuso sexual en Puerto Varas con uso de sustancia química,"Una joven de 20 años interpuso en Puerto Varas una denuncia tras haber sido víctima de abuso sexual a bordo de un vehículo de transporte de pasajeros, donde según señaló fue agredida mediando el uso de una sustancia química. El capitán de Carabineros, César Henríquez, señaló que de acuerdo al relato de la afectada, esta mañana se subió a la parte posterior de un taxi colectivo con dirección al centro de la ciudad, entregando detalles de lo sucedido.  Cabe consignar que la pareja de la afectada junto a familiares, concurrieron al lugar para recogerla y la trasladaron al Servicio de Alta Resolutividad, SAR de Puerto Varas para su evaluación médica. En ese lugar, personal de la Primera Comisaría de Carabineros recibió la denuncia por el presunto abuso sexual y entregaron la información a la Fiscalía, desde donde se instruyó trabajos por parte del personal OS9 y realizar examen toxicológico a la víctima."
6,Carabineros detiene a un hombre por femicidio frustrado en Puerto Varas,"Carabineros de la Primera Comisaría de Puerto Varas detuvo durante esta tarde a una persona, imputado del delito de femicidio frustrado y quien intentó atropellar a su pareja.La detención se realizó luego de una denuncia recibida en la unidad policial lacustre en la mañana de hoy, por parte del padre de la víctima. Según los antecedentes preliminares, en horas de la madrugada de hoy el sujeto estaba compartiendo con su pareja, luego de lo cual, habría sostenido una discusión con su pareja, en la población Lomas 7 de Puerto Varas. Posteriormente, el imputado comenzó a seguir a la mujer en una camioneta blanca por un pasaje del sector, atropellándola en la vereda. El sujeto arrastró a la mujer con su vehículo por unos 20 metros, para luego dejarla tendida en la vía pública abandonada y huir del lugar. La mujer sufrió heridas de carácter graves, quedando internada en el Hospital de Puerto Montt. El imputado mantiene un amplio prontuario policial, además de una orden vigente por lesiones menos graves en contexto de Violencia Intrafamiliar. El imputado fue detenido y el fiscal de turno instruyó el trabajo del Laboratorio de Carabineros y de la SIAT, con el objetivo de establecer cómo ocurrió el atropello."
7,Mujer fue atropellada por su pareja tras discusión: Sujeto mantenía antecedentes por Violencia Intrafamiliar,"En el Hospital de Puerto Montt se encuentra internada una mujer, con lesiones de gravedad, luego de ser atropellada por su pareja y darse a la fuga en Puerto Varas. Según consignó Radio Bio Bio, el hecho ocurrió tras una discusión entre ambos, mientras compartían en una vivienda ubicada en la población 7 Lomas. Al abandonar el lugar, el sujeto comenzó a seguirla, momento en el que la habría atropellado en la vereda, para posteriormente huir de la zona. El individuo, que finalmente fue detenido por femicidio frustrado, además de mantener un amplio policial, contaba con una orden vigente por lesiones menos graves en contexto de violencia intrafamiliar."
8,"Investigan denuncia por abuso sexual en Puerto Varas, joven habría sido drogada y abandonada en sector Estación","OS 9 de Carabineros está investigando por instrucciones de Fiscalía OS 9 de Carabineros está investigando por instrucciones de Fiscalía El pasado martes se conoció el caso de una joven en Puerto Varas que habría sido adormecida en un colectivo y abandonada en el sector Estación de Puerto Varas, quien no tuvo conciencia de cómo llegó hasta ese lugar. Fiscalía abrió la investigación del caso por abuso sexual e instruyó al OS 9 de Carabineros para realizar las diligencias. Respecto de los hechos ocurridos, el Capitán César Henríquez de la Primera Comisaría de Puerto Varas relató a El Heraldo Austral que “personal de la Primera Comisaría, en el SAR de Puerto Varas, acoge denuncia de una mujer de 20 años quien señaló que en horas de la mañana (del pasado martes) subió a la parte posterior de un colectivo, del cual no mantiene mayores antecedentes, con la finalidad de concurrir al centro de Puerto Varas. Mientras iba en tránsito, a la altura de calle Colón con Maipo, el conductor se detiene subiendo un ciudadano extranjero sin mascarilla al asiento trasero del móvil, quien al retomar la marcha y pasados unos minutos, comienza a realizar tocaciones sobre las vestimentas, activando de forma simultánea el conductor un spray que le provocó sueño a la víctima, a quien finalmente deja el colectivo en el sector estación, donde ella llama a su pareja y le informa lo sucedido, quien junto a familiares la trasladaron al SAR para su evaluación médica. Del hecho se dio cuenta al fiscal de turno quien instruyó trabajos por parte del personal OS9 y realizar examen toxicológico a la víctima. La investigación de este caso está siendo realizada por personal especializado de Carabineros”. Este segundo hecho que involucra a una mujer que es adormecida ha causado preocupación en la comunidad, quienes a través de redes sociales han manifestado su inquietud. Fiscalía, hasta el momento, no ha entregado declaraciones respecto de este caso."
9,Ancud: dictan prisión por aberrantes ultrajes a joven,"En prisión preventiva quedó un sujeto tras ser encausado durante la jornada de ayer por cinco delitos, especialmente vinculados a horrendas vulneraciones sexuales contra su pareja en Ancud. Una indagatoria que avanzó con actuaciones desjudicializadas que se extendieron por más de cinco meses. Por más de cuatro horas se extendió en el Juzgado de Garantía de la ciudad del Pudeto la audiencia contra el imputado de 41 años, en la cual se acreditó la legalidad de la aprehensión materializada por detectives de la Brigada Investigadora de Delitos Sexuales (Brisex) local, que también encabeza las diligencias de la causa. Asimismo, en la sesión judicial el fiscal Luis Barría formalizó al oriundo de Puerto Varas por violación, abuso sexual agravado, amenazas en contexto de violencia intrafamiliar (VIF), como también por divulgación de imágenes de carácter privado y almacenamiento de pornografía infantil. El persecutor invocó la cautelar más gravosa, en base al ""número de delitos que se indagan, la gravedad de las penas asignadas a los mismos, en especial por la violación y el abuso sexual agravado"", que son sancionados con penas de crimen (superior a 5 años de cárcel). La precautoria fue acogida por el sentenciador, quien además otorgó un plazo de 120 días para el desarrollo de las pericias investigativas que siguen adelante por parte de la Brisex. ""Seguirán las diligencias para corroborar lo establecido en este momento y llevar a juicio a este imputado"", remarcó el representante del Ministerio Público. Al mismo tiempo en que se desarrollaba la audiencia que comenzó pasado el mediodía de ayer, un grupo de manifestantes a las afueras del tribunal de calle Almirante Latorre exigía justicia para la víctima de 39 años y el máximo peso de la ley contra el encartado. Ruth Caicheo (indep. pro RD), concejala de Ancud, fue una de las que llegó al lugar, enfatizando que ""esperamos que la causa tenga ahora un avance significativo. En mi rol de presidenta de la comisión de mujer y equidad de género del Concejo Municipal (de Ancud), estamos dando nuestro respaldo y queremos que este sistema muchas veces patriarcal pueda dar la celeridad e importancia que se merece a la causa"". Junto con agregar que ""esperamos por justicia para nuestra compañera"", la representante edilicia precisó que ""ya es tiempo que se termine de una vez la vulneración de nuestros derechos"". Por su parte, la profesional Pamela Carrasco relató que ""estamos protestando ante el Poder Judicial por la violación de una vecina de Ancud, que también fue abusada por su marido en mayo de este año y recién hoy día (ayer) este sujeto está siendo formalizado"". Añadió la docente que aguardan por justicia, ""partiendo por la imposición de prisión preventiva que es lo mínimo que esperamos frente a los delitos que ha cometido"", una medida que finalmente se decretó en la audiencia, ante lo cual el encartado fue remitido a la cárcel ancuditana."
