,title,text
0,Joven con 6 causas pendientes queda en prisión tras furtivo asalto en Ancud,"La gravedad de la pena asignada al delito y las múltiples causas delictivas pendientes que tiene el imputado fueron factores que incidieron para decretar la prisión preventiva en su contra, tras ser encausado en las ultimas horas por un furtivo asalto cometido en el sector Pudeto Bajo de la comuna de Ancud. A la altura del puente Viejo se produjo el ataque contra la víctima de 21 años, quien dio cuenta a Carabineros de la Primera Comisaría local, que un desconocido lo amenazó con un arma blanca con la intención de sustraerle especies. Sin posibilidad de defensa y con el temor de una eventual agresión, el ancuditano procedió a entregar su teléfono celular al delincuente, tras lo cual denunció el hecho. Con esos antecedentes se activó un procedimiento que permitió la aprehensión en flagrancia del sujeto. El encartado de iniciales L. H. C. A. (23) fue puesto a disposición del Juzgado de Garantía de la comuna del norte de la Isla, donde no se incidentó la legalidad del operativo policial. Asimismo, en la audiencia virtual el fiscal Javier Calisto formalizó al oriundo de Calbuco por el delito de robo con intimidación. La cautelar más gravosa invocó el persecutor, sustentando su petición en la evidencia recabada para acreditar la existencia del ilícito y la participación del imputado. ""Según lo expresado por la víctima, un sujeto le exhibió un cuchillo para apoderarse de su celular. Luego, esta misma persona habría destruido el teléfono para arrojarlo al río"", expuso el abogado, sumando que al llegar la patrulla de uniformados, el mismo afectado ""sindicó al imputado que estaba en el mismo lugar, en las proximidades del puente Viejo"". Para reforzar esta hipótesis, el jurista remarcó que Carabineros al arribar al sitio del suceso logró visualizar que el calbucano arrojó un elemento al afluente, que correspondería al arma blanca empleada en el asalto. Junto a esta información que reafirmó los presupuestos materiales del ilícito y su eventual ejecutor, el representante el Ministerio Público fundamentó la necesidad de cautela en la gravosidad del delito encausado, el cual tiene pena de crimen (parte de los 5 años y un día de presidio), como también en el prontuario del joven. ""La persona tiene antecedentes, procesos pendientes por delitos de otra naturaleza, lo que demuestra que no tiene irreprochable conducta anterior"", esgrimió el fiscal. Seis son las causas en que está notificado el agricultor: dos por daños simples, otro par por lesiones menos graves en contexto de violencia intrafamiliar, una por amenazas y la última por conducción en estado de ebriedad y negativa a la alcoholemia. Más allá de este escenario, el defensor Filippo Corvalán se opuso a esta medida, argumentando que ""con la información proporcionada no existe claridad sobre la existencia del delito"". Pese a los descargos, la magistrada Isabel Velásquez estableció que la libertad del imputado constituye un peligro para la seguridad de la víctima y la sociedad, decretando la prisión preventiva. Desde ya, el defensor Corvalán adelantó que apelará ante el tribunal de alzada para modificar esta precautoria que a su juicio es desproporcionada. Más allá de estos ataques delictivos, como ""puntuales y aislados"" han sido calificados estos asaltos. Y la estadística lo demuestra. Según el Sistema Táctico de Operación Policial (STOP), en la Primera Comisaría de Carabineros de Ancud, todos los casos policiales (denuncias y detenidos flagrantes) por robos exhiben una baja de un 41% este año, hasta el 24 de octubre, en comparación a igual periodo del 2020. Específicamente, apenas 3 casos por robos con intimidación se habían registrado esta temporada en ese lapso, y 4 fueron los robos con violencia, equivalentes a -50% y -33%, respectivamente con relación al año pasado. 60 días se decretaron para el desarrollo de las diligencias por esta causa por robo con intimidación. 7 casos por robos con intimidación y violencia registraba la Primera Comisaría este año hasta el 24 de octubre."
1,Imputado golpea a gendarme e intenta fugarse del hospital,"Inconsciente resultó un funcionario de Gendarmería, tras ser golpeado en la cabeza por un imputado mientras lo custodiaba en la unidad de urgencia del Hospital de Puerto Montt, a la espera de un cupo en el servicio de psiquiatría. El imputado fue remitido a psiquiatría desde el Juzgado de Garantía de Calbuco, por un presunto delito sexual. La falta de cupos en la unidad especializada habría sido el detonante de la espera en una sala de urgencia del recinto asistencial. El hecho ocurrió ayer, cerca de las 07.30 horas, mientras el gendarme vigilaba al imputado, quien a raíz de esto será sometido a peritajes para determinar si es imputable o no. La cabo Iris Álvarez, secretaria provincial de la Asociación de Funcionarios de Gendarmería (Ansog) de la provincia de Llanquihue, explicó que su colega estaba a cargo de un acusado que está con internación provisoria por el Juzgado de Garantía de Calbuco. ""Él lo agrede con un objeto contundente y queda inconsciente el funcionario. El imputado tras ello logra abrir una puerta con dirección a la vía pública. Personal de seguridad del recinto hospitalario se percata de la situación y en ese momento el gendarme se recupera y sale -como pudo- a darle alcance"", indica. De acuerdo a la dirigenta, los tribunales ordenan la internación provisoria en el centro de psiquiatría del Hospital de Puerto Montt y Gendarmería se tiene que hacer cargo de la custodia. ""Ellos están por la patología psiquiátrica que presentan y suceden agresiones y no de la magnitud de lo ocurrido hoy (ayer)"". Agrega la cabo que el imputado estaba en otra sala (en urgencia) ""porque no hay cupos en el servicio de psiquiatría, pero desde esta unidad se ha informado en reiteradas oportunidades que ellos están colapsados con las camas"". Desde la dirección regional de Gendarmería se confirmó que el gendarme recibió un golpe en la cabeza que le provocó un TEC e incluso inconsciencia por algunos segundos. La escena fue presenciada por un guardia de seguridad, quien ayudó a recuperarse al funcionario de Gendarmería. Juntos lograron capturar al individuo en las afueras de la zona de Urgencia del hospital y llevarlo de regreso al recinto. El director regional de Gendarmería, coronel Pedro Villarroel, explicó que ""la persona que protagonizó los hechos estaba en un box del primer piso, esperando para ser internado en el área de psiquiatría, cuando golpeó por sorpresa a nuestro funcionario en la cabeza"". Agrega que ""afortunadamente no logró escapar y fue ingresado tal como lo solicitó el tribunal de Calbuco. De esta situación se dio cuenta al Ministerio Público y, además, se ordenó la realización de un sumario administrativo para esclarecer la forma en que ocurrieron los hechos"". El funcionario de Gendarmería fue atendido en un centro asistencial de Puerto Montt, donde se le diagnosticó un traumatismo encéfalo craneano (TEC). El ministro Patricio Rondini, vocero de la Corte de Apelaciones de Puerto Montt, explica que el Código Procesal Penal ordena que cuando un juez de garantía priva de libertad a una persona con problemas psiquiátricos, que puede ser un peligro para sí o para terceros, ""esta internación provisional no puede ser cumplida en un establecimiento de Gendarmería, sino que debe ejecutarse en un establecimiento sanitario donde pueda recibir la atención médica necesaria"". Indica que ""en este sentido, se trata de un imperativo legal para el juez. A su vez, el interno queda sujeto al control de Gendarmería dentro del establecimiento sanitario. El legislador toma esta medida considerando que el imputado, al momento del delito, es o puede ser inimputable por enajenación mental y no puede dársele el mismo trato que a una persona sana"". 7.30 horas de ayer ocurrió la agresión en la unidad de urgencia del Hospital Puerto Montt. 1 lesionado arrojo el incidente ocurrido ayer en la mañana en el centro asistencial. 1 imputado es el responsable de esta agresión que provocó un TEC en el gendarme."
2,En prisión preventiva quedó adulto mayor acusado de abuso a una menor en Calbuco," Un hombre de 80 años fue formalizado por el abuso sexualEn prisión preventiva tras ser formalizado por abuso sexual de una niña de 13 años, porte ilegal de arma de fuego, municiones y receptación, terminó un hombre de 80 años en Calbuco, región de Los Lagos. Fue la madre de la víctima, quien realizó la denuncia detallando que cuando trabajaba para el imputado, acudía a su domicilio con su hija, la que denunció haber sufrido los abusos durante el verano. El fiscal de Calbuco, Julio Martínez, confirmó que cuando se detuvo al hombre se descubrió armamento que estaba con encargo por robo, una escopeta y cartuchos, por lo que fue arrestado tanto por la denuncia por abuso sexual, como por la tenencia de armas.  De acuerdo a los antecedentes el arma mantenía encargo desde 2005 y originalmente, el Tribunal de Garantía de Calbuco, no otorgó la cautelar de prisión preventiva, sin embargo, la Fiscalía apeló para que la Corte de Apelaciones resuelva el entrampado, instancia en la que se determinó su ingreso a la cárcel de Puerto Montt."
3,Dejan en prisión a adulto mayor imputado de abusos sexuales contra hija de su trabajadora,"En prisión preventiva permanece desde el fin de semana un adulto mayor, de 80 años, imputado por los delitos de abuso sexual y porte de armas de fuego y municiones. El acusado fue detenido por Carabineros en Calbuco, producto de una investigación llevada adelante por el Ministerio Público. Una niña de 13 años, víctima del presunto abuso sexual, fue quien relató a la policía que el imputado mantenía en su poder armas de fuego. Los hechos se remontan al verano de este año, cuando la denunciante habría sido abusada sexualmente por el adulto mayor. La mamá de la niña realizaba labores como asesora del hogar en la casa del imputado, trabajo que ejecutaba acompañada de la niña. ""Recibimos el 26 agosto de este año una denuncia por abuso sexual sufrido por una menor de 13 años y que fue realizada por la psicóloga del colegio donde asiste la víctima. Citamos a la víctima para el 8 de septiembre, para que entregara declaración, contando los hechos no sólo relativo al abuso sexual, sino que además el imputado mantenía armamento en su hogar"", relata el fiscal Julio Martínez, de Calbuco. Martínez explica que la víctima, en el verano, fue abusada al interior de un dormitorio. ""La menor afectada ratifica lo que nos había señalado la psicóloga del colegio, quien es la que denuncia el delito. La víctima fue a trabajar con su mamá a la casa del imputado y los hechos ocurren en el segundo día de trabajo. La menor no recuerda bien si fue en enero o febrero, pero sí señala que fue en el verano"", manifiesta. De acuerdo al persecutor penal, la niña en la habitación del imputado vio armas. ""Nos aporta antecedentes que en el vehículo que la fue a buscar con su mamá, en la parte inferior del asiento del conductor, tenía una especie de revólver"", sostiene. La indagatoria fue llevada adelante por Carabineros de la Sección de Investigación Policial (SIP), ""quienes toman declaración a la mamá. Ella ratifica la presencia de armas de fuego en la casa y en el vehículo. El jueves 9 (de septiembre), en la tarde, ingresó carabineros con el GOPE (tras autorización del Juzgado de Garantía). Se verifica en el inmueble y en el dormitorio que había una escopeta doble cañón calibre 16, y en el espacio común, en el living comedor, una caja con munición con 15 cartuchos calibre 12"". El teniente Esteban Inostroza, jefe de la SIP de la Cuarta Comisaría de Calbuco, agrega que el arma incautada no estaba inscrita y que el imputado carece de autorización de caza. Otro factor importante es que la escopeta tiene encargo por hurto desde el 2005, en Arauco. ""Se estableció que el arma del vehículo era de fogueo. Se trató de un procedimiento que tras la denuncia permitió una actuación rápida, en el esclarecimiento de los delitos denunciados"", explicó. El imputado fue sometido a la audiencia de control de la detención y se formularon cargos por cuatro delitos. Abuso sexual, porte de arma de fuego, porte de municiones y receptación. El Tribunal de Garantía de Calbuco no dio a lugar a la prisión preventiva, sin embargo, el Ministerio Público apeló la decisión, revirtiendo la medida la Corte de Apelaciones de Puerto Montt, que cambió la determinación del Juzgado de Garantía. El adulto mayor quedó en prisión preventiva en el penal de Alto Bonito. ""La menor afectada ratifica lo que nos había señalado la psicóloga del colegio, quien es la que denuncia el delito"" Julio Martínez,, fiscal adjunto de Calbuco"
4,Adulto mayor fue formalizado por abuso sexual contra menor de 13 años,"Un adulto mayor fue formalizado y dejado bajo la medida cautelar de prisión preventiva tras ser acusado de abuso sexual contra una niña de 13 años, porte ilegal de arma de fuego, municiones y receptación en la comuna de Calbuco. De acuerdo a lo sostenido por Radio Bio-Bio, los hechos, los cuales fueron denunciados por la madre de la víctima, habrían ocurrido cuando ambas concurrían al domicilio del acusado por motivos laborales. Frente a ello, personal policial procedió a efectuar la detención del hombre de 80 años, quien poseía una escopeta y cartucho, cuyo armamento estaba con encargo por robo, siendo arrestado por los delitos mencionados. En consecuencia, tras su formalización, el Tribunal de Garantía de Calbuco determinó otorgar la prisión preventiva para el imputado, quien deberá cumplir la medida cautelar en la cárcel de Puerto Montt mientras dure la investigación del suceso. Foto: Pixabay."
5,"Emilfork: ""Hay que hacerse cargo del exacerbado centralismo que existe""","Luego de su renuncia al Ministerio Público hace más de un año, hecho que no estuvo exento de polémica tras una serie de discrepancias con el titular de la Fiscalía Nacional, Jorge Abbott, el ahora exfiscal de la Región de Los Lagos Marcos Emilfork Konow comenzó una nueva aventura, esta vez en la arena política. Se trata de su candidatura como independiente en cupo de la Unión Demócrata Independiente (UDI) para competir por un escaño en la Convención Constitucional, representando al distrito 26 que incluye a las provincias de Chiloé y Palena, más las comunas de Puerto Montt, Calbuco, Maullín y Los Muermos. Así, Emilfork se transforma en el primer expersecutor del país en inscribir su postulación para participar de la instancia que redactará la nueva Constitución, en los comicios del próximo 11 de abril. De profesión abogado, el también magíster en derecho constitucional asegura que su trayectoria en el servicio público lo avala a la hora de querer ser parte de este proceso histórico para Chile. Tras haber dejado el Ministerio Público, según la ley orgánica que rige a los fiscales, su inhabilidad en política por dos años apunta solamente a cargos de diputado y senador, pero respecto a otros puestos de representación popular solamente debe pasar un año. A pesar de no contar con experiencia previa en el ámbito político, Emilfork afirma que la determinación nace a partir de los requerimientos de la sociedad civil, destacando por ejemplo su participación en la investigación del caso Sename. -¿Cómo surge la decisión de postularse a esta elección para la Convención Constitucional? -Primero, porque se trata de un hito tremendamente trascendental para el país; la Constitución representa las bases fundamentales en las cuales se estructuran el poder público, el Estado y los derechos de los ciudadanos frente al Estado, de tal manera que me parecía importante participar de este proceso democrático y además que es muy legítimo participar de él. Segundo, desde esta perspectiva tuve también acercamientos de la Fundación Levanta Chile, que agrupa al comercio, a los trabajadores, a los profesionales, a los emprendedores del país, para poder también tener la perspectiva de la sociedad civil. Cuento con el apoyo de Chile Vamos y particularmente estoy muy agradecido, fui patrocinado por la UDI para poder participar. -¿Cree que su experiencia como funcionario de la Fiscalía suma a la hora de proyectar un buen resultado en las elecciones? -A mí me parece clave, yo he estado en todos los puntos de la región, he estado en Chiloé, en Palena, en Puerto Montt; recordemos que en mi experiencia como fiscal regional me tocó también lo de Santa Lucía, me tocó mucho yendo a los distintos puntos cuando el Tribunal de Futaleufú tuvo que revisar a Chaitén. En Chiloé (participé en) todo el trabajo que se hizo a nivel de delitos sexuales, en relación a los niños, niñas y adolescentes víctimas de delitos sexuales en la Isla; los seminarios que realizamos; las ""Jornadas de Derecho""; que haya podido llegar la SIAT (Sección de Investigación de Accidentes de Tránsito) de Carabineros y una Brigada Investigadora de Delitos Sexuales (Brisexme, de la PDI) a la Isla… La construcción de los edificios de la Fiscalía en la región. Toda esa experiencia, además del contacto directo con las personas, con las víctimas, la impronta que dimos en la preocupación a las víctimas en la región y el haber estado presente en distintos lugares de la región, por cierto, me parecen absolutamente claves. -¿Cuáles son las principales necesidades que ha identificado en la zona y que eventualmente pudieran ser plasmadas en la nueva constitución? -Primero, hay que hacerse cargo del exacerbado centralismo que existe y profundizar fuertemente la autonomía regional, y dentro de la región la autonomía de las provincias, particularmente de Chiloé y Palena. No puede seguir una estructura político-administrativa y una asignación de recursos que finalmente postergan a los gobiernos locales y a los gobiernos regionales. ""(Debemos) Profundizar fuertemente la autonomía regional, y dentro de la región la autonomía de las provincias, particularmente de Chiloé y Palena"". Marcos Emilfork, abogado."
6,"Después de 5 semanas en fase 2, Puerto Montt vuelve a cuarentena","A un mes y siete días de haber avanzado a fase 2 (Transición) en el plan Paso a paso, la comuna de Puerto Montt nuevamente volverá a cuarentena a contar de las cinco de la mañana de este jueves 14. La decisión fue comunicada ayer por la subsecretaria de Prevención del Delito, Katherine Martorell, durante un punto de prensa realizado en La Moneda, ocasión en la que detalló que también retroceden a confinamiento total las comunas de Puerto Varas y Calbuco, en la Provincia de Llanquihue; así como Castro, Ancud, Dalcahue y Quellón, en la de Chiloé; además de Osorno, en la provincia del mismo nombre. Asimismo, desde la misma fecha la comuna de Hualaihué, en la Provincia de Palena, deja de estar en fase 4 (Apertura inicial) y queda en la etapa 2. Al analizar el escenario regional, el doctor José Antonio Vergara, epidemiólogo de la Seremi de Salud, partió reconociendo que ""estamos en una situación muy crítica"". Definió que el criterio principal que se ha empleado en esta oportunidad es la incidencia de nuevos casos. ""Hay comunas que están teniendo tasas de incidencia muy altas, que se traduce, por ejemplo, en la mantención de casos activos en un volumen muy importante, que a su vez son fuente de nuevos casos"", dijo. Según el informe de la Seremi de Salud, Puerto Montt reportó ayer 188 nuevos casos, para acumular 10.496 desde el comienzo de la pandemia. En cuanto a sus casos activos, totaliza 919, de los 1.516 de la Provincia de Llanquihue. Vergara añadió que el número reproductivo efectivo regional es de 1,29 ""superior incluso al de la Región Metropolitana"", por lo que argumentó que la medida de cuarentena total ""se hizo imprescindible en el escenario actual"". Ante una consulta, el epidemiólogo sostuvo que la situación de las comunas que retroceden a cuarentena ""es homologable"" al estado regional, ""con un incremento importante en la incidencia de casos y en la tasa de prevalencia de casos activos, que se transforman en una fuente potencial de nuevos casos"". El doctor Vergara argumentó que el ascenso de la frecuencia de aparición de casos nuevos ""tiene que ver con las comunas que son más populosas, en función de las masas de población entre las que el virus tiende a circular. La conurbación que existe entre Puerto Montt y Puerto Varas es un ejemplo del intenso intercambio de personas durante todo el día, entre ambas comunas "", apuntó. El secretario regional ministerial (seremi) de Salud, Alejandro Caroca, aseveró que ""cada uno de nosotros ha fallado"" en cuanto a mantener las medidas preventivas de contagio, como el uso adecuado de la mascarilla, mantener el distanciamiento social y el frecuente lavado de manos. ""El comportamiento de la población no ha estado a la altura"", añadió, lo que ha implicado -sostuvo- tener que implementar medidas de restricción del movimiento y libertades. Sobre la implementación de esta segunda cuarentena, el seremi Caroca resaltó que a diferencia de la primera, que se extendió por 4 meses y 6 días, el nuevo plan Paso a paso anunciado ayer por el gobierno, definió que estos confinamientos no se extenderán más allá de cuatro semanas. Caroca comentó que podría levantarse esta restricción, lo que depende la tendencia que muestren los contagios y las cifras. ""Lo peor que nos podría ocurrir como comunidad es que al cabo de un mes sigamos igual o peor (...). Sería fantástico a lo mejor estar en dos semanas más anunciando que lo hemos hecho tan increíble, cada individuo de nuestra comunidad, que podamos retrotraernos a una situación mejor"", aventuró. Cuando se le preguntó si las cuatro semanas definidas es el límite definitivo, aunque no haya variación favorable de los indicadores sanitarios, enfatizó que ""la idea de las medida de cuarentena acotada es cortarla a contar de la cuarta semana"", aunque se podría prolongar si es que se evidencia ""una situación más dramática aún; es decir, en extremo complejo que esperemos que -obviamente- no lleguemos"". Anticipó que habrá fiscalizaciones internas en cada ciudad y que implementarán cuadrillas especiales junto a las Fuerzas Armadas y Carabineros ""que van a ir de manera aleatoria buscando centros (de aglomeración de personas), con la finalidad de ir disminuyendo la movilidad"". Advirtió que serán inflexibles en cuanto a la verificación de los requisitos de desplazamiento, lo que implicará sumarios sanitarios y sanciones, en lo que no descartó proceder a la respectiva detención. En cuanto a las actividades permitidas en cuarentena, el seremi de Salud especificó que sólo estarán autorizadas las de rubros esenciales, con el debido permiso único colectivo. ""Independiente que las personas cumplan con la normativa vigente (permiso colectivo), vamos a realizar investigaciones para certificar la veracidad"", por lo que recomendó incentivar el teletrabajo. Los actuales indicadores han provocado una fuerte tensión de la red asistencial, lo que se ha visto reflejado en que ayer sólo había 3 camas UCI disponibles en toda la región, así como 14 ventiladores mecánicos para ser utilizados. El doctor Jorge Tagle, director del Servicio de Salud del Reloncaví, sostuvo que las unidades vacantes corresponden a la Clínica Alemana de Osorno y a los hospitales de Castro y de Puerto Montt. El coordinador regional de ""La conurbación que existe entre Puerto Montt y Puerto Varas es un ejemplo del intenso intercambio de personas durante todo el día"" José Antonio Vergara,, epidemiólogo de la Seremi de Salud. ""Lo peor que nos podría ocurrir como comunidad es que al cabo de un mes sigamos igual o peor"" Alejandro Caroca,, seremi de Salud. la red asistencial subrayó que ""estamos viviendo la situación más compleja en toda la pandemia"". Tal preocupación se extiende a los 228 enfermos covid que están hospitalizados en la región, de los cuales 117 están en el HPM, donde hasta las 11 horas de ayer, había 25 contagiados en la UCI, 21 de ellos conectados a ventilación mecánica invasiva. La directora de ese centro asistencial, Mónica Winkler, reconoció que hubo 11 ingresos de pacientes covid en las últimas 24 horas y que 50 de esos pacientes ocupan camas críticas, de las que existen 37 camas UCI adulto y 61 UTI. Ante este panorama, admitió que están tomando medidas ""para seguir avanzando en la complejización de camas durante esta semana y así sumar tanto cupos UCI como cupos UTI en los próximos días"". A ello sumó que resolvieron suspender las cirugías electivas, ""excepto las de tiempo sensible como el cáncer""; y que difieren prestaciones ambulatorias que no sean de primera necesidad, salvo el Policlínico de Tratamiento Anticoagulante, el Policlínico de Unacess o enfermedades de transmisión sexual, los controles pos-alta y pos-quirúrgicos, entre otros. Respecto del retroceso a cuarentena, el alcalde de Puerto Varas, Ramón Bahamonde, reaccionó con molestia, especialmente porque no fue informado de la medida. ""Que el señor ministro (Enrique Paris) no le exija a la gente que cumpla medidas restrictivas, cuando ellos no tienen la capacidad ni siquiera de comunicación para tomar medidas (...). Si la gente está violando todas las disposiciones, es porque no han sabido y no tienen los cojones ni la capacidad de tomar soluciones adecuadas"", manifestó. El jefe edilicio reclamó que no hay diálogo ni conocimiento de la realidad de Puerto Varas. ""Lo siento por nuestra gente por quienes crearon una inversión turística y que es tirada por el suelo al minuto. No se puede jugar con la gente"", manifestó. Bahamonde recordó que hace 15 días la subsecretaria de Salud, Paula Daza, analizó con él medidas a implementar ""para que Puerto Varas se incorpore a las políticas de desarrollo del turismo y sea un punto vacacional"". Consideró el anuncio de retroceso a cuarentena ""como un portazo, sin tener la decencia de comunicarse con las autoridades locales y poco respeto al comercio establecido"", ante lo que pidió que ""no nos invadan con violaciones a las disposiciones vigentes, porque la gente ya les perdió la confianza y el respeto a cualquier decisión que puedan tomar, si no hay una comunicación que llegue a la fuente oficial que debe comunicarse con las personas"". 38 días o 5 semanas y 3 días en la fase 2 (Transición) alcanzará a estar Puerto Montt este jueves, cuando comience su segunda cuarentena por covid. 18 semanas y 5 días fue la primera cuarentena en Puerto Montt (29 de julio al 7 de diciembre). Este nuevo confinamiento no debería sumar más de 4 semanas."
7,Detienen a hombre acusado de abuso sexual contra hijastra de 11 años," Tras la presentación de una denuncia por parte de una madre en conjunto de su hija de 11 años, funcionarios de Carabineros de la SIP logró la detención de un hombre acusado de abuso sexual contra su hijastra en Calbuco, región de Los Lagos. Acorde lo sostenido por Soy Puerto Montt, la información entregada por uniformados señaló que el sujeto (49) presenta antecedentes por delitos de amenaza, tráfico de droga y receptación. Ante ello, la Sección de Investigación Policial de la Cuarta Comisaría fue ordenada a efectuar la detención del imputado, siendo ubicado este viernes alrededor de las 15:00 horas. El hombre pasará este sábado a control de detención ante el Juzgado de Garantía de Calbuco. Foto: Soy Puerto Montt. "
8,Resumen policial: Prisión preventiva contra hombre que quiso quemar casa de su ex pareja,"Luego de estar 2 años prófugo de la justicia, un hombre fue condenado a 541 de presidio además de la cancelación de por vida de su licencia de conducir tras volcar su camioneta en el acceso a Calbuco en total estado de ebriedad, además de intentar huir del lugar. Este hecho ocurrió el 23 de julio de 2017, pero recién ayer el Tribunal Oral en lo Penal de Puerto Montt pudo dictar sentencia en  contra de Ricardo Guerrero Huirimilla, quien permaneció inubicable por dos años. El ahora condenado, ya tenía otras dos causas por conducir bajo los efectos del alcohol. En otro hecho, en prisión preventiva quedó un hombre que el viernes santo intentó quemar la casa de su ex conviviente en Calbuco, utilizando para ello combustible y pequeños balones de gas. El hecho ocurrió en el sector Los Pinis hasta donde llegó el imputado, quien además quiso atentar contra su vida. El sujeto fue formalizado bajo los cargos de homicidio y femicidio tentado. Por otro lado, el Tribunal Oral en Lo Penal de la capital regional condenó a 7 años de presidio a un hombre que fue imputado por el delito de violación en contra de una menor de edad de 14 años, hecho ocurrido en San Fernando entre los años 2012 y 2013. En la Región de Los Ríos, por último, a penas que suman más de 14 años de presidio fue sentenciado un hombre de 50 años, luego que Fiscalía Local de Río Bueno acreditó su responsabilidad en un delito frustrado de femicidio en contexto de violencia intrafamiliar, el que cometió contra su ex conviviente el 10 de octubre de 2019,  en la comuna de Lago Ranco."
9,Hombre de 62 años es imputado por ataque y abuso sexual contra sus nietas: fue formalizado,"Tras tres meses de indagación por parte de personal de la Sección de Investigación Policial (SIP), Carabineros efectuó la detención de un hombre, quien es acusado de violación y abuso sexual contra sus dos nietas en Calbuco. Según informó Soy Puerto Montt, los hechos habrían ocurrido entre el 2010 y el 2017, siendo la madre de una de las víctimas informada por su sobrina, quien sospechaba que su prima podría estar siendo abusada por el sujeto. Producto a esto, la madre denunció el hecho ante el Ministerio Público, donde se detalló que el hombre es imputado por cinco violaciones y un abuso sexual contra ambas menores de edad. Ante ello, el imputado de 62 años fue detenido y formalizado, quedando bajo la medida cautelar de prisión preventiva. Se fijó un plazo de 80 días para el curso de la indagación. Foto: Carabineros."
