,title,text
0,Acreditan desacato y lesiones en juicios por violencia de género,"En dos juicios realizados en las últimas horas en el Tribunal Oral en lo Penal (TOP) de Castro se entregaron resoluciones mixtas por casos de violencia de género, en una nueva muestra de la diversidad de instancias que abarca este flagelo. Por el delito de desacato fue condenado un sujeto de 31 años, quien el 3 de febrero del 2020 en estado de ebriedad llegó al domicilio de su exconviviente, emplazado en el sector Puerto Fernández de Quemchi. Con ello, incumplió una prohibición de acercamiento emitida por el Juzgado de Garantía de Ancud. A su vez, la sala presidida por la magistrada Angélica Monsalve absolvió al achaíno por los delitos de lesiones menos graves y leves, en contexto de violencia intrafamiliar, contra la misma víctima de 30 años. El fiscal de la causa, Javier Calisto, reconoció su conformidad, ""puesto que se acreditó el delito principal"", por el que solicita una pena de 541 días de presidio contra el encartado. Además, destacó que el quebrantamiento del isleño ""fue por una disposición de una suspensión condicional de no acercarse a la afectada"" que dictó el tribunal ancuditano en noviembre del 2019. Por su parte, la sala encabezada por el juez Rodrigo Alarcón acreditó que un obrero de 56 años, el 2 de noviembre del 2019, maltrató a su cónyuge con golpes de pies y puños en diferentes partes del cuerpo al interior de su casa ubicada en la villa Río Pudeto de Ancud. Por ello, emitió un veredicto condenatorio por lesiones menos graves en contexto de VIF. Igualmente, los sentenciadores en la misma audiencia virtual absolvieron por insuficiencia probatoria al acusado por el delito de desacato. De acuerdo al persecutor, se logró crear convicción del primer ilícito, ""pese a que la víctima no prestó declaración en el juicio, pero con toda la prueba de cargo, la declaración de un vecino, carabineros, funcionarios del hospital (San Carlos), se logró establecer la existencia de las lesiones"". 540 días de presidio invocó el Ministerio Público contra el sujeto, explicando Calisto que ""en la audiencia apelamos a la reincidencia del imputado. Hablamos de un maltrato crónico, por eso es importante la condena"". Las lecturas de sentencia por ambas causas quedaron programadas para este domingo y lunes, respectivamente, ante el TOP de la capital chilota."
1,Joven va a prisión por abuso sexual contra estudiante,"Al estimarse que su libertad constituye un peligro para la seguridad de la víctima y la sociedad, un obrero quedó ayer en prisión preventiva tras ser formalizado por el delito de abuso sexual, en perjuicio de una menor de 15 años. Un ataque que se produjo en plena vía pública de Queilen. Tras ampliarse por tres días su detención, ante el Juzgado de Garantía de Castro fue encausado el joven de 34 años, quien fue aprehendido en flagrancia por Carabineros del Retén local. Los policías sorprendieron al sujeto sobre la estudiante, quien además resultó con lesiones de mediana gravedad. Como indicó el fiscal Enrique Canales, durante esta prórroga ""se reunieron los antecedentes para establecer la dinámica del delito y la participación del imputado"". Dentro de las pericias realizadas por la Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud, se incluyeron las declaraciones de la víctima y testigos, como también evidencia en el sitio del suceso. Asimismo, el persecutor remarcó que se invocó la cautelar más gravosa, ""en consideración de las circunstancias del delito, la edad de la víctima que es una adolescente y el escenario penal anterior del encartado"". El 2017 fue sentenciado a una pena sustitutiva de remisión condicional por un año por el delito de conducción sin licencia debida. El 2008 terminó de cumplir una pena de 3 años de presidio por violación. La precautoria fue discutida por el defensor particular Mariano Pavez, quien en la audiencia cuestionó la figura legal por la cual fue formalizado su representado, enfatizando en base a esta postura que la medida sería desproporcionada. ""De acuerdo a la descripción de los hechos, no está clara la calificación jurídica, puede existir una violación tentada, lo cual permite una rebaja de pena de dos grados (al tramo de los 541 días a 3 años de presidio en abstracto); mientras que el abuso sexual de mayor de 14 años va de los 3 años y un día a los 5 años"", comenzó explicando el abogado. Continuó el jurista, que bajo esa lógica y considerando que se puede establecer la concurrencia de una eventual colaboración sustancial, el imputado podría llegar a optar a una reclusión parcial ante una presunta condena. Más allá de estos antecedentes, el tribunal decretó la prisión preventiva y determinó un plazo para indagar de 120 días. ""Se solicitarán diligencias, además no descartamos una inimputabilidad disminuida. Igual se está cooperando con la investigación, puesto que el joven accedió a la toma de muestras biológicas y la incautación de sus vestimentas"", agregó el profesional, con lo cual apuntan a evaluar algún recurso para modificar la cautelar. ""La Unidad de Atención de Víctimas y Testigos está en contacto con la menor y su adulto responsable para atender sus necesidades"". Fiscal Enrique Canales"
2,Justicia condena a 13 años de cárcel a profesor por ultrajes a dos alumnas,"A una pena de 13 años de presidio mayor en su grado medio fue sentenciado un profesor que ultrajó a dos menores, alumnas de una escuela rural de Quellón. Se trata dos delitos por abuso sexual a víctima menor de 14 años y otro por violación a menor de 14 años por la que fue juzgado el sujeto durante la semana pasada en el Tribunal de Juicio Oral de Castro, el que ayer informó la pena asignada tras ser hallado culpable por el conjunto de magistrados. Karyn Alegría, fiscal a cargo del caso, explicó que ""hoy (ayer) se llevó a efecto en audiencia ante el Tribunal en Lo Penal de Castro, la audiencia de lectura de sentencia de un juicio oral que se llevó a efecto la semana pasada, en el que se logró la condena de un imputado en calidad de autor por un delito de abuso sexual a menor de 14 años en contra de una víctima, otro delito de abuso sexual en contra de una segunda víctima y además por el delito de violación a menor de 14 años"". Además, la profesional detalló que ""la condena fue de 13 años de presidio mayor en su grado medio, más todas las accesorias legales tanto comunes como especiales para este tipo de delitos y, además, obviamente la incorporación en el Registro de Huellas Genéticas"". Junto con ello, la abogada señaló que ""estamos muy satisfechos como Fiscalía Local (de Quellón) por la pena a la que fue condenado el imputado y, claramente, en orden a la magnitud de la misma, el imputado la deberá cumplir en forma efectiva"". Ello, pese a que el organismo persecutor había solicitado una pena de 15 años y un día. Entre el 2017 y el 2018 se registraron las vulneraciones contra las menores que tenían 8 y 9 años al momento de los hechos, los que ocurrieron dentro de un establecimiento municipalizado en la isla Cailín, de la comuna del sur de la provincia, y fueron perpetrados por el sujeto identificado con las iniciales R. G. R. A. (49). El condenado por estos hechos se encuentra en prisión preventiva desde el 10 de septiembre de 2018, fecha en que fue formalizado por estos hechos. Dos meses antes de ello se había iniciado la investigación en contra del docente tras una denuncia realizada por las madres de las menores. Gracias al valiente relato entregado por las víctimas durante el juicio, más las pruebas presentadas como peritajes policiales y forenses, se logró acreditar la responsabilidad del profesor de educación básica en las sistemáticas agresiones perpetradas contra dos de sus alumnas en el establecimiento de la apartada ínsula. ""Estamos muy satisfechos como Fiscalía Local por la pena a la que fue condenado el imputado"". Karyn Alegría,, fiscal de Quellón. 8 y 9 años de edad tenían las niñas al momento en que ocurrieron los hechos."
3,Región de Los Lagos: 243 condenados son monitoreados con una tobillera electrónica,"Hasta el 30 de septiembre, el total de condenados con tobilleras electrónicas en la Región de Los Lagos, de acuerdo a Gendarmería, es de 243. De ellas, 132 corresponden a la jurisdicción de Puerto Montt, otras 62 Osorno y 49 Castro. Se trata de personas con causas penales, entre ellas, por violencia intrafamiliar (VIF). ""Todos los imputados VIF, que tengan alto riesgo de reincidir, ahora los magistrados tienen la herramienta para resolver y obligar a que dichas personas utilicen una tobillera telemática"", indica el seremi de Justicia y Derechos Humanos, Alex Meeder. Ello a propósito del cambio en la normativa que permite aplicar esta medida cautelar a personas en calidad de imputadas por VIF. En la legislación que regía hasta la semana pasada, el uso de tobilleras electrónicas se aplicaba sólo en las personas que eran condenadas por diversos delitos, pero no se podían utilizar mientras los agresores intrafamiliares estaban imputados, impidiendo -en algunos casos- hacer efectiva la medida cautelar de prohibición de acercarse a la víctima durante la fase investigativa. Tras el cambio en la ley, las primeras tobilleras se estarán utilizando dentro de seis meses en los Tribunales de Familia, y luego, dentro de 10 meses más en los Juzgados de Garantía. De acuerdo al seremi de Justicia y Derechos Humanos, Alex Meeder, en el caso de la Región de Los Lagos, será en un plazo de 14 meses, por lo tanto ""estamos considerando que el sistema debe estar en funcionamiento en diciembre del próximo año en el ámbito penal"". Con esta nueva medida se busca establecer la supervisión, mediante monitoreo telemático, de la prohibición de acercarse a la víctima, su domicilio, lugar de trabajo o estudio. Lo anterior tendrá -de acuerdo al cambio de la normativa- lugar cuando se imponga la prohibición de acercamiento por los tribunales de Familia como medida cautelar o por los tribunales de Garantía como medida cautelar, medida accesoria o condición de la suspensión condicional del procedimiento. Paulina Klein es una víctima de violencia intrafamiliar. Ella entregó su testimonio y valoró la medida que comenzará a regir en un año más en la región. ""En este momento él se encuentra en un periodo investigativo de 45 días, está preso. Una como mujer realmente se siente totalmente vulnerada, ya que la única herramienta que una tiene para defenderse es denunciar; un desacato para mí no es suficiente, no lo fue, yo no pude salir ni siquiera a la calle tranquila"". Agrega Paulina que ""había semanas completas que estaba dentro de mi casa, tengo tres hijos y no me atreví a salir a la calle, ya que él rondaba mi domicilio, o en el supermercado"", detalla. El delegado presidencial, Carlos Geisse, explicó que esta es una ley que viene en directa ayuda a las víctimas, especialmente de violencia intrafamiliar. ""Los agresores se ven poco resguardados, ellos no siempre se pueden controlar las 24 horas y muchas veces siguen cometiendo barbaridades. Este dispositivo se coloca en el tobillo y a la víctima se le entrega un teléfono celular que está conectado, por lo tanto existe una comunicación a través del sistema que permite avisar cuando se le acerca a la víctima, y también está conectado esto a la red de Carabineros, por lo tanto se puede hacer un llamado porque el dispositivo tiene un parlante en el cual le avisa al agresor y le avisa que está cometiendo la infracción. Es una importante ayuda para las víctimas de la violencia intrafamiliar, tanto en lo penal como en lo familiar"". La seremi de la Mujer y Equidad de Género, Viviana Sanhueza, aseguró que nada es suficiente cuando se trata de proteger la vida de una víctima. ""Cuando hablamos de protección de una vida todo suma, cuando sabemos que los agresores son una amenaza constante para sus víctimas y cercanos"". De acuerdo a la autoridad, ""no queremos más 'Paulinas' con la inseguridad constante de protección y toda acción que se sume es fundamental para proteger a nuestras víctimas de violencia en contra de la mujer. El monitoreo telemático es una muestra clara que sí se puede, será un refuerzo para que se cumplan las órdenes de alejamiento cuando exista una pauta alta de riesgo"". 132 condenados de Puerto Montt son monitoreados con una tobillera electrónica. Entre ellos, hay personas sentenciadas por violencia intrafamiliar."
4,Joven admite tres delitos de VIF contra expareja: la amenazó con cuchillo,"A tres delitos en contexto de violencia intrafamiliar (VIF) fue sentenciado en las últimas horas un sujeto que intimidó con un cuchillo de 17 centímetros de largo a su expareja en Puqueldón. Un procedimiento abreviado que se llevó a cabo en el Juzgado de Garantía de Castro. El imputado fue detenido en flagrancia por Carabineros del retén local. Así lo indicó el teniente Roberto Torres, jefe de la Tenencia de Chonchi, con jurisdicción en la comuna, añadiendo que tras la denuncia de la víctima de 38 años, funcionarios de la unidad se constituyeron en el inmueble ""ubicando al denunciado en el entretecho"". Como explicó el oficial, el sujeto de 34 años llegó en estado de ebriedad a la casa de su exconviviente. Tras ingresar, ""se sentó en el comedor donde extrajo un arma blanca amenazando a la víctima"", detalló, sumando que el cuchillo fue incautado. Tras el requerimiento verbal del fiscal Fernando Metzner, el encartado admitió responsabilidad, siendo condenado por dos delitos de amenazas (uno perpetrado el 12 de mayo pasado) y otro de violación de morada (el domingo pasado ocurrieron los otros dos ilícitos). La magistrada Alejandra Varas dictó una pena sustitutiva contra este agresor, de 136 horas de prestación de servicios a la comunidad."
5,Acusan que obrero intentó cortarle el cuello a su pareja: quedó en prisión,"Otro grave caso de violencia intrafamiliar (VIF) se judicializó ayer, por el cual un sujeto de 56 años quedó en prisión preventiva. Fue formalizado por femicidio tentado y amenazas, luego que se le sindicara responsabilidad en una feroz agresión contra quien era su pareja, en el domicilio que compartían en el sector alto de Castro. La denuncia de un conductor de la locomoción colectiva alertó del procedimiento a Carabineros de la Segunda Comisaría local, que logró la aprehensión en flagrancia del imputado. Según explicó el mayor Gustavo Guajardo, jefe de la unidad base, el operativo se enfocó en la población Salvador Allende tras los antecedentes remitidos desde la Central de Comunicaciones (Cenco). ""En la denuncia anónima se informaba que una mujer pedía auxilio, que al parecer se encontraba lesionada. Por ello, personal policial se traslada al lugar y se entrevista con una vecina de 64 años, quien manifiesta que su conviviente de hace unos tres meses a la fecha comenzó a agredirla constantemente, situación que ahora pasó a mayores"", acotó el oficial. El mediodía del miércoles habría ocurrido la golpiza, primero en el antejardín del domicilio para luego continuar al interior de la casa. ""Como indicó la víctima, el hombre le lanzó un golpe con un cuchillo (supuestamente al cuello), el cual logra interrumpir su trayectoria colocando su mano izquierda que recibe la agresión"", precisó el jefe policial. Ante el Juzgado de Garantía de la capital chilota fue puesto a disposición el encartado, en una audiencia donde no se incidentó la legalidad del procedimiento de Carabineros, ante la flagrancia de la detención. Luis Barría, el fiscal de turno y especialista en investigar causas de VIF, encausó al sujeto exponiendo que ""se realizaron diligencias que permitieron la aprehensión del imputado, para luego instruir a la Sección de Investigaciones Policiales (SIP) que llevó a cabo una serie de pesquisas acreditando la existencia de un delito de femicidio en carácter de tentado, por el cual se formaliza"". El persecutor invocó la cautelar más gravosa estimando que la libertad del sujeto constituye un peligro para la seguridad de la víctima y la sociedad. Una cautelar que fue rebatida por el defensor Rodrigo Zamorano, quien cuestionó los presupuestos materiales del delito. De acuerdo al abogado, en base a los antecedentes existentes ""creemos que existen muchas dudas sobre la verosimilitud de la denuncia"". Remarcó el jurista que, según lo expuesto por su representado, ""ella se habría propinado la herida cortante en la palma. Hay que considerar que si el imputado hubiese intentado agredirla de muerte, como se postula, la afectada habría tenido más lesiones"". Asimismo, la fuente criticó que ""no se hayan incorporado empadronamientos a los vecinos, solo está la información del chofer que denunció, quien dice que escuchó unos gritos"". Pese a estas alegaciones, la magistrada Alejandra Varas decretó la prisión preventiva. 90 días fijó el tribunal para la investigación de la Fiscalía de Castro."
6,Alegan por recurso que busca anular absolución contra acusado de crimen,"En una nueva instancia jurídica del bullado caso por el asesinato de Mónica Mansilla Muñoz (54), ocurrido en la isla Caguach, comuna de Quinchao, se realizaron los alegatos de los intervinientes por el recurso de nulidad interpuesto contra el juicio y la sentencia que absolvió al único acusado, quien arriesgaba cadena perpetua calificada. Ante la segunda sala de la Corte de Apelaciones de Puerto Montt se llevó a cabo esta instancia legal, la cual precede al veredicto y posterior sentencia emitida -15 y 21 de septiembre pasado, respectivamente- por el Tribunal Oral en lo Penal de Castro que liberó al sujeto de iniciales C. I. V. V. (45) de los cargos de femicidio. El isleño enfrentó juicio por el crimen de quien fue su pareja por 17 años, quien falleció estrangulada y con al menos 20 lesiones. Su cuerpo fue hallado en su domicilio, el 19 de diciembre del 2019. Los acusadores expusieron ante los ministros los fundamentos de sus recursos. Por el Ministerio Público, la abogada asesora Mónica Saavedra entregó sus argumentaciones; como también sucedió con Javier Cruz, en representación de Iván Aro, hijo de la víctima. Igual alegaron la jurista Tania Sánchez, querellante por Marcia Aro (hija de la fallecida), y el asesor legal del Servicio de la Mujer y Equidad de Génro (SernamEG) Los Lagos, Thomas Patri. Todos los acusadores coinciden como causal de nulidad que la prueba presentada ante los jueces de primera instancia no fue valorada en su totalidad. Incluso, que se realiza una valoración sesgada de la evidencia, que a su juicio fue coherente para sustentar los cargos y participación del imputado. Asimismo, Patricio Olivares, quien representa a Iván Aro, pero que no pudo comparecer a los alegatos, fundamentó en el requerimiento escrito que hubo una errónea aplicación del derecho, lo cual influyó en este fallo. Ahora, escuetamente remarcó que ""resta esperar que la Corte se pronuncie a nuestro favor"". La solicitud de todos los acusadores es la realización de nuevo juicio oral. Por su parte, Thomas Patri detalló que ante la cantidad de recursos ""se trató de una audiencia extensa"". Agregó que ""la estrategia planteada puede llegar a la anulación del juicio. Bueno, esperamos que así sea y podamos entregar algo de justicia a la familia, a doña Mónica y la comunidad de Caguach"". Finalmente, por el recurrido compareció en la sala el abogado Cristián Arias, quien entregó sus bases para desvirtuar los requerimientos y que se confirme la resolución. Será la fiscal judicial Mirta Zurita la encargada de redactar el fallo de alzada, el cual será comunicado el 15 de noviembre próximo. 19 de diciembre del 2019: Mónica Mansilla muere estrangulada en su casa."
7,Ingresan recursos para anular fallo por el homicidio de Mónica Mansilla,"Al menos 4 recursos de nulidad fueron ingresados solicitando a la Corte de Apelaciones de Puerto Montt dejar sin efecto el juicio en contra de C.I.V.V., imputado por el homicidio de la Mónica Mansilla, vecina de isla Caguach que fue brutalmente asesinada en su domicilio en 19 de diciembre de 2019. Recordemos que el Tribunal en lo Penal de Castro resolvió absolver al acusado indicando que la prueba presentada por la Fiscalía durante el juicio por el delito de femicidio consumado no logró derribar la presunción de inocencia del imputado. “Atendida las serias deficiencias, debilidades y contradicciones observadas en la labor investigativa, que no logró ser dilucidada durante la audiencia de juicio, y que no permitió situar al acusado (…) en el lugar de los hechos y atribuirle la autoría de las lesiones y de la muerte de su ex conviviente Mónica del Carmen Mansilla Muñoz.”, señala la sentencia. VALORACION PRUEBA En este contexto, desde la Fiscalía de Castro se confirmó que se ingresó el viernes 1 de octubre el recurso que solicita para anular el juicio y la sentencia impugnada. Según se desprende del escrito presentando ante el tribunal, la terna de jueves habría valorado en su totalidad la prueba presentada por la Fiscalía durante el juicio,  y no se pronuncia en el fallo sobre elementos, que a juicio de los acusadores, son determinantes para corroborar la participación del imputado, refiriéndose a prueba testimonial, análisis de expertos y hallazgos levantados por los investigadores durante el proceso. En esta línea el Fiscal, Luis Barría, indicó que “se presentó un recurso ante el Tribunal Oral en lo Penal de Castro, con el fin de anular el fallo y la sentencia definitiva dictada por dicho tribunal respecto del femicidio ocurrido en contra de Mónica Mansilla. Este recurso tiene por fin que se decrete la nulidad del juicio oral y la sentencia definitiva por parte de la Ilustrísima Corte de Apelaciones de Puerto Montt y que se fije un nuevo juicio oral ante un tribunal no inhabilitado”, expresó al abogado. En este contexto, el abogado apuntó que estarán a la espera de lo que dicte el tribunal para la audiencia en que se presentarán los argumentos. “Estaremos esperando las fechas en que se fije por parte de la ilustrísima corte con el fin de alegar el presente recurso en cuanto a lo planteado igualmente por los querellantes que igualmente presentaron recursos de nulidad con el mismo fin”, expresó. RECURSOS Hay que consignar que paralelamente al recurso ingresado por la Fiscalía, se representaron otras tres solicitudes de anulación del proceso en contra del imputado por el femicidio, dos de los abogados querellantes representantes de dos de las hijas de la víctima, además de una presentación realizada por el Servicio Nacional de La Mujer y Equidad de Género. La acciones presentadas por las partes querellantes coinciden con la presentación de las Fiscalía, basadas en que los jueces que fallaron el caso no valoraron toda la prueba exhibida durante el juicio oral."
8,Tribunal de Castro dicta 5 años de cárcel para tío que abusó de sobrinas,"El Tribunal Oral en lo Penal de Castro determinó una pena de 5 años y un día de cárcel para un sujeto acusado por los abusos sexuales de dos menores de edad. El imputado aprovechaba el grado de parentesco que tenía con las menores para cometer los ilícitos por los cuales fue sentenciado. Durante el proceso judicial, la Fiscalía de Ancud, puso ante los jueces todos los antecedentes recabado durante la investigación y que vinculaban al acusado con los delitos por los que fue encausado. JUICIO Y SENTENCIA En este contexto y tras el término del juicio el tribunal acogió los argumentos de Ministerio Público entregado un veredicto condenatorio. Este miércoles, ambas partes conocieron la pena asignada al imputado tras la lectura de sentencia. Durante el proceso se acreditó que el acusado cometió los delitos de abuso sexual infantil en contra de las dos menores de edad aprovechando su grado de parentesco, quien era tío político de las víctimas. Los hechos investigados fueron denunciados el año 2017 y que según la investigación que desarrolló la Brigada de Delitos Sexual y Menores (Brisexme) los abusos se arrasaban desde el 2015. La investigación desarrollada por los detectives logró levantar una serie de antecedentes a la causa, entre los que se cuentan declaraciones de otros familiares de las víctimas. Junto con ello, la Fiscalía desarrolló otras pericias entre las que se cuentas exámenes psicológicos a las menores, antecedentes y pruebas presentadas durante el juicio y que lograron derribar la presunción de inocencia del imputado por parte del Tribunal. Entre las principales pruebas presentadas se destaca la declaración de las propias menores ante los jueces, quienes describieron los abusos a los que eran sometidas por parte de su pariente. “La pena en definitiva fue de 5 años y un día de presidio mayor en un grado mínimo, que es una pena efectiva, privativa de libertad para el imputado”, explicó el Fiscal Javier Calisto."
9,Madre de menor abusada sexualmente pide a las familias que realicen las denuncias,"Esta semana se realizará un juicio abreviado por una denuncia de abuso sexual en contra de una menor ocurrida en la comuna de Dalcahue. El sindicado como autor del ilícito es el abuelo de la víctima, identificado como J.R.V.O, quien habría reconocido una serie de agresiones, las que se habrían extendido en el tiempo desde que la menor tenía 9 años de edad. En la familia de la menor hay decepción ya que el proceso abreviado que seguirá la Fiscalía de Castro implicaría que el acusado no recibiría una sanción de mayor cuantía, a pesar del daño generado a la menor. Hoy la madre de la víctima llama a los padres y madres a estar atentos ante cambios de conducta de sus hijos que puedan desvelar que son víctimas de abusos. ABUSOS Deisy Latorre, madre de la niña, señaló  que el acusado habría aprovechado los momentos en que quedaba a su cuidado para perpetrar el ilícito, ya que ambas familias vivían en el sector rural en la época que habrían ocurrido los hechos. Además, el acusado habría mantenido bajo amenaza a la menor para que no contara lo sucedido. “Ella habló en el verano, cuando se dio cuenta que tenía que decirlo, pero él llevaba haciendo esto desde mucho tiempo atrás. Mi hija recuerda desde los 9 años, cuando nos contó tenía 13, pero no tiene recuerdos anteriores”, expresó. Tras la debelación, realizó la denuncia respectiva en la PDI abriendo la investigación que sigue la Fiscalía de Castro por el hecho. “Él lo reconoció y se fue a entregar a la PDI y se abrió el caso y la investigación. El confesó todo, y mucho, a diferencia de lo que me contó mi hija, al aparecer se desahogó en la confesión. En este caso, fuimos nosotros los que tuvimos que salir arrancando de nuestra casa, dejar todo tirado, tratando de resguardar a mi hija, solo pensé en sacarla de ahí”, apuntó. DENUNCIAR Deysi Latorre, señaló que ante de la debelación no notaron ninguna situación o conducta extraña, sin embargo, al conocer los hechos decidieron realizar la denuncia de inmediato. “Por más familia que sea, sea el padre o el hermano, duele mucho, pero hay que hacer los cosas como se deben hacer. Uno no debe taparlo, más cuando se trata de los hijos, o si estás viendo que algo está pasando. Ser cómplice y que se vuelva a repetir. Acá se calla, en Chiloé, mucho esto, especialmente en el campo, pasa mucho”, expresó. Agregó que su hija entró al programa de reparación para víctimas de delitos. “Emocionalmente un día está bien, otro día esta abajo, pasa de extremo a extremo y está en plena adolescencia, es súper difícil, pero ella está con terapia, psicólogo, trabajadora social. Nosotros con mi pareja también estamos recibiendo apoyo”, expresó. En este contexto, señaló que durante el tiempo en que se habrían producidos los abusos, nunca percibió o notó algo extraño. “Pero en el último tiempo mi hija no quería bajar a la casas de los abuelo, cuando tenía 11, 12 años, cuando empezó a crecer, no quería y yo tampoco la obligaba. Pero las veces que estaba solo este hombre con ella o iba mi casa a ayudar en cosas cotidianas aprovechaba de hacer esas cosas con ella. Hubo una reacción tímida, que yo creo que fue la primera alerta”, expresó. Finalmente, Deisy Latorre, señaló que como se trata de un juicio abreviado, las penas a las que se expone son bajas. “Es una burla para mí y mi hija. Si bien la ley dice que un abuso con tocaciones no es lo mismo que una violación, el daño psicológico que hacen a los niños, y el daño emocional es peor todavía. Se dice que ellos pueden avanzar, pero el daño es igual. Tocan a un niño, las penas deberían ser más altas, no por colaborar una rebaja de sentencia, una firma o ayuda comunitaria. Eso hace que vuelvan a cometer lo mismo porque al final la ley no cumple con sancionar fuertemente a los agresores”, expresó."
