,title,text
0,Joven admite tres delitos de VIF contra expareja: la amenazó con cuchillo,"A tres delitos en contexto de violencia intrafamiliar (VIF) fue sentenciado en las últimas horas un sujeto que intimidó con un cuchillo de 17 centímetros de largo a su expareja en Puqueldón. Un procedimiento abreviado que se llevó a cabo en el Juzgado de Garantía de Castro. El imputado fue detenido en flagrancia por Carabineros del retén local. Así lo indicó el teniente Roberto Torres, jefe de la Tenencia de Chonchi, con jurisdicción en la comuna, añadiendo que tras la denuncia de la víctima de 38 años, funcionarios de la unidad se constituyeron en el inmueble ""ubicando al denunciado en el entretecho"". Como explicó el oficial, el sujeto de 34 años llegó en estado de ebriedad a la casa de su exconviviente. Tras ingresar, ""se sentó en el comedor donde extrajo un arma blanca amenazando a la víctima"", detalló, sumando que el cuchillo fue incautado. Tras el requerimiento verbal del fiscal Fernando Metzner, el encartado admitió responsabilidad, siendo condenado por dos delitos de amenazas (uno perpetrado el 12 de mayo pasado) y otro de violación de morada (el domingo pasado ocurrieron los otros dos ilícitos). La magistrada Alejandra Varas dictó una pena sustitutiva contra este agresor, de 136 horas de prestación de servicios a la comunidad."
1,"Denuncias por delitos sexuales aumentan 27,7% en Chiloé","La Policía de Investigaciones (PDI) a nivel nacional entregó en los últimos días un preocupante estadístico a nivel nacional: las denuncias por delitos sexuales aumentaron un 24,7 por ciento durante el primer semestre, con relación al igual periodo del 2020. El confinamiento durante la pandemia del covid-19 se vislumbró como uno de los factores gatillantes de esta cruda realidad. El jefe de la Brigada Investigadora de Delitos Sexuales (Brisex) Metropolitana, Manuel Fuentes, señaló que ""son las personas más cercanas (los autores), entonces al estar confinado víctima y victimario, conviven en el mismo espacio físico (…) lo que podría ser una causa del aumento de las denuncias, porque han ocurrido más hechos en este contexto"". Esta dinámica golpea incluso con más fuerza a la provincia, donde estos aberrantes ataques están enquistados en la sociedad. Según los antecedentes que entrega el Centro de Estudios y Análisis del Delito (CEAD) de la Subsecretaría de Prevención del Delito del Ministerio del Interior, durante los primeros seis meses de este 2021 las notificaciones por estos ilícitos de connotación sexual se incrementaron en un 27,7%, en comparación con el año pasado. Denuncios por 30 violaciones y 76 abusos y otros ilícitos relacionados, se contabilizaron en este periodo, a diferencia de los 83 totales que el 2020 fueron informados a las policías. Con relación a casos policiales, que junto a las denuncias incluye las detenciones flagrantes, el alza en el primer semestre de esta temporada llegó a un 24,2%. En el marco de este escenario, el jefe de la Brisex de Ancud, el subprefecto Mauricio Espinoza, enfatizó que esta unidad especializada ""registró una leve alza respecto a la cantidad de denuncias realizadas en el primer semestre de este año, en comparación al mismo periodo del año 2020"". Aclaró el oficial que ""de acuerdo a las estadísticas internas de la PDI, se trata de hechos de connotación sexual ocurridos en la provincia, destacando el abuso sexual de menor de 14 años como el delito con mayor cantidad de denuncias, tanto en el 2020 como el 2021; seguido por el delito de violación de menor de 14 años, realidad que se replica con las cifras existentes a nivel nacional"". Respecto de las órdenes de investigar recibidas por la Brisex, ""estas pasaron de 158 decretos durante el primer semestre del 2020 a un total de 162 durante el mismo periodo del presente año"". Bajo este contexto, el jefe policial hizo un llamado a la comunidad a dar cuenta de estos ilícitos, ""acercándose tanto a los cuarteles de la PDI de Ancud, Castro y Quellón, como también a cualquiera de las fiscalías locales de Chiloé"". Por su parte, esta tendencia al alza igual se observa en el resto de este año en la jurisdicción más populosa de Carabineros: la Segunda Comisaría de Castro, que junto a la capital chilota incluye a las comunas de Dalcahue, Chonchi, Puqueldón, Curaco de Vélez y Quinchao. Según los datos que entrega el Sistema Táctico de Operación Policial (STOP), hasta el 29 de agosto pasado, se observó un incremento del 36% de los casos policiales por violación. Junto con explicar que esta alza se grafica en cuatro hechos más durante este periodo del 2021, con relación a igual lapso del 2020, el mayor Gustavo Guajardo, titular de la unidad base, enfatizó que ""uno de los factores que podrían explicar este aumento está dado en que se han denunciando más hechos en este tiempo, por delitos que ocurrieron en años anteriores"". ""El abuso sexual de menor de 14 años es el delito con mayor cantidad de denuncias, tanto en el 2020 como el 2021; seguido por el de violación de menor de 14 años"". Mauricio Espinoza,, jefe de la Brisex de Ancud. La Fiscalía Regional de Los Lagos también informó de alzas relativas a delitos de connotación sexual, en cuanto a salidas judiciales, que alcanzaron durante el primer semestre de este año un 49%, situando a Los Lagos como la región con el más alto porcentaje en el país con relación a sentenciadas condenatorias, suspensiones condicionales u otras formas de término de estas causas. 106 notificaciones por delitos sexuales se registraron el primer semestre de este año."
2,Ordenan cambio de celda por recluso covid positivo,"Los alcances del primer interno contagiado con covid-19 que contabilizan las cárceles de la provincia siguen extendiéndose, después que la defensa de uno de los dos reclusos con los que comparte celda de aislamiento en audiencia de cautela de garantías exigiera su traslado a otra repartición dentro de la unidad penal de Castro. El requerido de 50 años arrojó negativo al examen de PCR que fue sometido por permanecer en contacto con este condenado que se infectó en su salida trimestral -cumple sentencia en el CET de Osorno por un robo con homicidio cometido en Dalcahue-, tras visitar a su familia en Chonchi. Por ser el penal castreño el más cercano fue remitido al recinto de calle Monjitas. Ante los riesgos de propagación, el defensor Nelson Troncoso, quien representa al sujeto que está en prisión preventiva por un caso de lesiones menos graves en contexto de violencia intrafamiliar pidió su cambio de módulo. ""La magistrada se contactó con Gendarmería y ordenó que se separara del contagiado con coronavirus y que permaneciera en otra celda cumpliendo con su aislamiento preventivo"", indicó el abogado. Igualmente, el profesional remarcó que hoy, también por este mismo isleño, se analiza un recurso de amparo que interpuso ante la Corte de Apelaciones de Puerto Montt para impugnar la decisión que lo privó de libertad por esta causa de VIF. ""Pedimos que se suspenda el procedimiento por enajenación mental y salga de la cárcel, ya que presentamos informes siquiátricos, la ficha clínica que demuestra esta condición"", manifestó el abogado."
3,Diputado Alejandro Santana presentó Proyecto de Resolución para apoyar a niñas y niños que pierden a sus padres a causa de la pandemia,"“Como chilote me duele lo que ha ocurrido con estos hermanos, por lo que ya envíe al presidente de la República, Sebastián Piñera, un Proyecto de Resolución para que el Estado garantice el cuidado, integridad, apoyo emocional y desarrollo de los niños que pierden a sus padres en pandemia”, dijo el diputado Alejandro Santana. El legislador dijo desde Chonchi que “el caso de tres hermanos que perdieron a sus progenitores en la comuna de Quinchao producto del COVID-19 nos pone en alerta respecto a la delicada situación de desamparo en la que quedan cientos de niños en nuestro país, escenario que a la fecha no posee estadísticas o registros que reflejen lo real de la situación, pero que oscilarían en 283 casos de menores que han perdido a ambos padres y 1.400 que han perdido a uno”. Cabe destacar que Human Rights Watch ha establecido que la crisis originada por el COVID-19 podría tener un profundo y largo impacto negativo en los niños y niñas de todo el mundo, dado que “los niños huérfanos son particularmente vulnerables a la trata y tipos de explotación, como la sexual, ser obligados a mendigar, vender productos en las calles y otros tipos de trabajo infantil. Los niños de mayor edad a menudo abandonan la escuela para ayudar a mantener a hermanos más pequeños”. El texto enviado ya al presidente pide mandatar al Ministerio de Salud y al Ministerio de Desarrollo Social y Familia, como a los órganos competentes, el efectuar un levantamiento de información y catastro respecto de los niños, niñas y adolescentes que hayan quedado en situación de orfandad dada la muerte de madre y/o padre producto de haber contraído el virus SARSCoV2 y la fijación de un subsidio estatal para apoyarles en su desarrollo."
4,Presentan Proyecto para apoyar a niñas y niños que pierden a sus padres a causa del Covid,"El legislador señaló desde Chonchi que “el caso de tres hermanos que perdieron a sus progenitores en la comuna de Quinchao producto del COVID-19 nos pone en alerta respecto a la delicada situación de desamparo en la que quedan cientos de niños en nuestro país, escenario que a la fecha no posee estadísticas o registros que reflejen lo real de la situación, pero que oscilarían en 283 casos de menores que han perdido a ambos padres y 1.400 que han perdido a uno”. Cabe destacar que Human Rights Watch ha establecido que la crisis originada por el COVID-19 podría tener un profundo y largo impacto negativo en los niños y niñas de todo el mundo, dado que “los niños huérfanos son particularmente vulnerables a la trata y tipos de explotación, como la sexual, ser obligados a mendigar, vender productos en las calles y otros tipos de trabajo infantil. Los niños de mayor edad a menudo abandonan la escuela para ayudar a mantener a hermanos más pequeños”. El texto enviado ya al presidente pide mandatar al Ministerio de Salud y al Ministerio de Desarrollo Social y Familia, como a los órganos competentes, el efectuar un levantamiento de información y catastro respecto de los niños, niñas y adolescentes que hayan quedado en situación de orfandad dada la muerte de madre y/o padre producto de haber contraído el virus SARSCoV2 y la fijación de un subsidio estatal para apoyarles en su desarrollo."
5,Agresores de mujeres reciben exiguas sanciones por ataques,"Casi 12 años de presidio arriesgaban en conjunto dos sujetos por sendas causas de violencia intrafamiliar (VIF), con epicentro en Ancud y Chonchi. Sin embargo, en fallos entregados las últimas horas por el Tribunal Oral en lo Penal de Castro, ambos fueron sentenciados a penas sustitutivas que sumaron poco más de 2 años. El ancuditano de iniciales R. A. F. C. (29) fue condenado por la sala presidida por la magistrada Angélica Monsalve a 300 días de reclusión nocturna domiciliaria, por su responsabilidad en el delito de lesiones menos graves en contexto de VIF contra su expareja. Un hecho acaecido el 18 de agosto del 2019 y por el cual fue absuelto por los ilícitos de daños y desacato. Como indicó el defensor Filippo Corvalán, existe conformidad con el dictamen, ""ya que se evitó que mi representado fuese condenado por otros dos delitos, dentro de los cuales estaba el más grave, el desacato que tiene una pena que puede llegar hasta los 5 años"". Además, el abogado insistió que ""la mala prueba ofrecida por la Fiscalía de Ancud"" llevó a desestimar estos cargos, en especial en el caso de daños a un vehículo. Agregó que ""también existe satisfacción porque la pena se cumplirá en libertad"". Por su parte, en la causa contra el sujeto individualizado como C. A. R. D. (45), la sala encabezada por el juez Rodrigo Alarcón ayer entregó su fallo. Lo condenado a dos penas de 300 días por dos delitos de lesiones menos graves, contra una vecina de 48 años, quien era la conviviente de este agresor. Los ataques se produjeron tanto en la madrugada como en la noche del 25 de septiembre del 2019, en el muelle de Chonchi como en el sector Notuco, respectivamente. De acuerdo al defensor Juan Manuel Castro, esta decisión de los jueces es positiva, al considerar que el acusado fue absuelto por los delitos de amenazas y desacato, mientras que una de las agresiones se recalificó de lesiones graves a menos graves. ""Si bien esperábamos que fuese absuelto de todos los cargos, estamos conformes puesto que podrá cumplir la condena en libertad"", dijo el jurista, sobre el beneficio de la reclusión nocturna domiciliaria. Eso sí, el profesional advirtió que ""analizaremos la sentencia para ver si existe la opción de recurrir de nulidad junto a mi representado""."
6,5 años y un día de presidio efectivo para autor de violación,"En fallo unánime, el Tribunal de Juicio Oral en lo Penal de Castro condenó a 5 años y un día de presidio a C.O.M.M. por el delito de violación en contra de su pareja, en un hecho ocurrido en ilícito perpetrado en julio de 2019 en la comuna de Chonchi. El tribunal, integrado por los jueces Angélica Monsalve Vásquez (presidenta), Patricio Carrasco Uribe (redactor) y Rodrigo Alarcón Contreras, además consideró las accesorias legales de inhabilitación absoluta perpetua para cargos y oficios públicos y derechos políticos y la inhabilitación absoluta para profesiones titulares durante el tiempo de la condena. Una vez que el fallo quede ejecutoriado, el tribunal dispuso que se proceda a la toma de muestras biológicas del sentenciado para determinar su huella genética e inclusión en el registro nacional de ADN de condenados. VIOLACION El tribunal dio por acreditado, más allá de toda duda razonable, que aproximadamente a las 8.30 horas del 30 de julio de 2019, la víctima se encontraba en el baño de su domicilio, ubicado en el sector rural Quilipulli de Chonchi, momento en que su conviviente, el imputado C.O.M.M. ingresó y la tomó con fuerza de un brazo, llevándola al dormitorio, “instándola a mantener relaciones sexuales, lo que fue rechazado por la víctima debido a que éste se encontraba bajo los efectos del alcohol, lo que provocó que la insultara y la sometiera por la fuerza hasta hacerla desistir de su resistencia, arrojándola sobre la cama”, donde la violó. Luego abandonó la habitación dejándola allí, “por lo que en cuanto tuvo la ocasión huyó del lugar junto a su hijo de siete años de edad, dirigiéndose directamente a Carabineros a denunciar lo sucedido”. A consecuencia de la agresión, la víctima resultó, además, con una lesión escoriativa en cara medial del brazo derecho, contusión en región parietal y en una oreja. CARCEL EFECTIVA En esta línea, desde la Fiscalía de Castro se indicó que “la pena es de cumplimiento efectivo, y si bien es levemente inferior a lo que había solicitado el Ministerio Público en la acusación, se mantuvo dentro del grado, lo que significó que no hubo reconocimiento de aminorantes de responsabilidad penal que favorecieran a esta persona y que por lo tanto permitieran al tribunal bajar la pena”, sentenció Enrique Canales, jefe de la Fiscalía de Castro."
7,Criminal arriesga severa pena por ultrajar a su conviviente en Chonchi,"Ante el peso del valiente testimonio de la víctima, durante la jornada de ayer se acreditó la responsabilidad de un sujeto en el delito de violación, perpetrado contra quien era su conviviente en Chonchi. Un ataque sexual por el que invocan una pena de 7 años de cárcel contra el delincuente. En audiencia que se extendió dos jornadas en el Tribunal Oral en lo Penal de Castro, la sala presidida por la magistrada Loreto Yáñez conoció los antecedentes acusatorios contra el imputado de iniciales C. O. M. M. (41), quien nuevamente enfrentó a la justicia, puesto que ya había sido condenado -por el sistema penal antiguo- a 18 años de presidio por un robo con homicidio. Los hechos en este caso ocurrieron el 30 de julio del 2019, apenas 21 días después que comenzara la relación entre los intervinientes. Esa jornada, los sentenciadores ratificaron que el acusado atacó a la mujer de 43 años, quien sufrió una serie de lesiones. Tras escapar de la casa pidió ayuda a un vecino que la trasladó en camioneta hasta el cuartel de Carabineros donde estampó la denuncia. Como especificó el fiscal Enrique Canales, quien sustanció las diligencias, esta dinámica fue confirmada por los jueces, lo cual desvirtuó la presunción de inocencia que amparaba al encartado. ""Se entregó el veredicto condenatorio por un delito de violación con el uso de la fuerza que padeció una mujer en un sector rural. En el juicio se rindió toda la prueba, siendo fundamental la detallada declaración que prestó la víctima sobreponiéndose de lo que significó para ella enfrentar un tribunal, siendo valiente pero contando su dramática experiencia"", dijo el abogado. A su vez, el persecutor valoró la evidencia que derivó del trabajo de la Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud y los peritos del Servicio Médico Legal (SML). ""No menor fue el aporte de testigos, personas que incluso no tenían relación con la víctima pero colaboraron con la justicia penal y permitieron la reivindicación de esta víctima"", añadió. Por su parte, el defensor Juan Manuel Castro, quien había solicitado preliminarmente la absolución ""por insuficiencia probatoria"", como indicó, está pidiendo 5 años y un día de presidio, ""con el concurso de la atenuante de colaboración sustancial, en base a la declaración que prestó mi representado en el juicio"". La lectura de sentencia quedó fijada para este domingo en la misma sala."
8,Ancud: sin vida encuentran a joven desaparecido en Linao,"Desde este lunes por la tarde familiares y cercanos de Helmuth Cárdenas (36) habían iniciado una campaña para encontrarlo, luego que se le perdiera su rastro tras salir de su domicilio. Lo que se sabía hasta ese momento era que se dirigiría al río Negro, en el sector de Linao, en Ancud, para realizar actividades de pesca luego de lo cual  no se supo más de su paradero. Con estos antecedentes, se activó una búsqueda que en principio se realizó por familiares y amigos, y que fue complementada con la participación de voluntarios de bomberos y personal del GOPE de Carabineros. Este jueves se realizaron nuevas las labores de rastreo que tuvieron resultados positivos, encontrado el cuerpo sin vida del joven en las cercanías de un río, en las inmediaciones del sector El Mañío. CUERPO EN RIO Según lo señalado por Capitán Nicolás Muñoz Urbina, tras el hallazgo de los restos personal Labocar de Puerto Montt, se dirigió al lugar para realizar las pericias científicas en el lugar, con la finalidad de aclarar las circunstancias de su muerte. “El personal concurre hacia el sector de Linao, con la finalidad de realizar pericias al cadáver de un individuo adulto, quien días antes había desaparecido, siendo encontrado por personal del GOPE de Carabineros de Los Lagos”, expresó. En este contexto, el Fiscal del Ministerio Público de Ancud, Javier Calisto Garay, señaló que la persona salió desde su vivienda en la ciudad. “Las labores de búsqueda se dispusieron en su momento cuando se nos denunció una presunta desgracia. Se trata de una persona que vivía en el sector urbano de Ancud y que vino al sector rural”, expresó el abogado. Respecto a las condiciones en que se encontró el cuerpo agrego que “la persona se encontraba en un río, se dispuso la concurrencia del Labocar y el Servicio Médico Legal, para efectos de los peritajes de rigor. En principio no figura ningún antecedente que hiciera pensar en la participación de terceras personas”, expresó el jurista. Pie de foto: Este jueves se realizaron nuevas las labores de rastreo que tuvieron resultados positivos, encontrado el cuerpo sin vida del joven. VEREDICTO VIOLACION (RECUADRO) En otro hecho policial, el Tribunal Oral en lo Penal de Castro entregó un veredicto condenatorio por el delito de violación ocurrido en la capital insular en el mes de febrero de 2020. Se trata de una situación ocurrida en un sector rural de la comuna de Chonchi, siendo la victima una mujer adulta. “La víctima, luego de haber consumido alcohol y privada del sentido para poder oponerse a esta agresión sexual que padeció. Para este juicio se realizó una investigación el año pasado con la Brigada de Delitos Sexuales de la Policía de Investigaciones. Además de prueba científica y pericial que también fue incorporada en el juicio y que permitió al tribunal alcanzar esta convicción de condena”, expresó el Fiscal jefe de Castor, Enrique Canales. La sentencia del caso será leída el próximo lunes, donde se conocerá la sanción que el tribunal entregara para esta persona, siendo que la pretensión del ministerio público es una pena de 7 años de cárcel."
9,Lanzan programa especial para trabajar con menores en Chonchi,"Trabajar la promoción y la prevención en niños, niñas y adolescentes es el objetivo del programa Espacio Amigable Juntos Crecemos de la Corporación Municipal de Educación, Salud y Atención de Menores de Chonchi. El dispositivo recientemente lanzado cuenta con un equipo multidisciplinario de profesionales compuesto por una matrona, dos psicólogos, un nutricionista y una asistente social que trabajará con este grupo etario a través de talleres y atención personalizada en temas como salud, educación sexual, alimentación saludable y ansiedad. ""Estamos contentos de dar el inicio formal a un proyecto que trabajamos varios meses, el cual viene a responder a un requerimiento importante que tienen nuestros estudiantes, que su desarrollo integral sea promovido y cuidado por todos nosotros"", expresó Flor Paz Muñoz, secretaria general de la corporación chonchina. En esta misma línea, Camila Gómez, coordinadora de este proyecto, explicó que ""este será un espacio donde queremos entregarles la mejor atención, en aspectos como salud mental, reproductiva, consultas nutricionales y también psicosocial"". Los usuarios serán derivados de los establecimientos educacionales de la comuna, también serán atendidos aquellos niños, niñas y jóvenes por demanda espontánea. El programa funcionará de lunes a viernes en un edificio ubicado a un costado de la corporación."
