,title,text
0,Justicia condena a 13 años de cárcel a profesor por ultrajes a dos alumnas,"A una pena de 13 años de presidio mayor en su grado medio fue sentenciado un profesor que ultrajó a dos menores, alumnas de una escuela rural de Quellón. Se trata dos delitos por abuso sexual a víctima menor de 14 años y otro por violación a menor de 14 años por la que fue juzgado el sujeto durante la semana pasada en el Tribunal de Juicio Oral de Castro, el que ayer informó la pena asignada tras ser hallado culpable por el conjunto de magistrados. Karyn Alegría, fiscal a cargo del caso, explicó que ""hoy (ayer) se llevó a efecto en audiencia ante el Tribunal en Lo Penal de Castro, la audiencia de lectura de sentencia de un juicio oral que se llevó a efecto la semana pasada, en el que se logró la condena de un imputado en calidad de autor por un delito de abuso sexual a menor de 14 años en contra de una víctima, otro delito de abuso sexual en contra de una segunda víctima y además por el delito de violación a menor de 14 años"". Además, la profesional detalló que ""la condena fue de 13 años de presidio mayor en su grado medio, más todas las accesorias legales tanto comunes como especiales para este tipo de delitos y, además, obviamente la incorporación en el Registro de Huellas Genéticas"". Junto con ello, la abogada señaló que ""estamos muy satisfechos como Fiscalía Local (de Quellón) por la pena a la que fue condenado el imputado y, claramente, en orden a la magnitud de la misma, el imputado la deberá cumplir en forma efectiva"". Ello, pese a que el organismo persecutor había solicitado una pena de 15 años y un día. Entre el 2017 y el 2018 se registraron las vulneraciones contra las menores que tenían 8 y 9 años al momento de los hechos, los que ocurrieron dentro de un establecimiento municipalizado en la isla Cailín, de la comuna del sur de la provincia, y fueron perpetrados por el sujeto identificado con las iniciales R. G. R. A. (49). El condenado por estos hechos se encuentra en prisión preventiva desde el 10 de septiembre de 2018, fecha en que fue formalizado por estos hechos. Dos meses antes de ello se había iniciado la investigación en contra del docente tras una denuncia realizada por las madres de las menores. Gracias al valiente relato entregado por las víctimas durante el juicio, más las pruebas presentadas como peritajes policiales y forenses, se logró acreditar la responsabilidad del profesor de educación básica en las sistemáticas agresiones perpetradas contra dos de sus alumnas en el establecimiento de la apartada ínsula. ""Estamos muy satisfechos como Fiscalía Local por la pena a la que fue condenado el imputado"". Karyn Alegría,, fiscal de Quellón. 8 y 9 años de edad tenían las niñas al momento en que ocurrieron los hechos."
1,Municipios coordinan acciones para pesquisar el abuso sexual infantil en medio de la pandemia del covid,"Desde el inicio de la pandemia, las distintas oficinas de Protección de Derechos de Infancia, OPD, de los municipios isleños han alertado sobre el posible riesgo del aumento de casos de maltrato y abuso sexual infantil a lo largo del territorio insular. Frente a lo anterior y para frenar este flagelo, desde hace unos meses se reactivaron las ""Mesas de infancia"", con la finalidad coordinar acciones preventivas, pesquisar agresiones y establecer protocolos de derivación cuando surjan casos de maltrato infantil. Dichas instancias también pretenden mejorar y fortalecer los canales de información entre todos los integrantes de la red local. Actualmente, las cuatro OPD que existen en la provincia y que dependen de los municipios de Ancud, Castro, Quellón y Quinchao, atienden a unos 250 menores de distintos puntos de Chiloé y los profesionales advierten que las denuncias en torno a las agresiones infantiles han disminuido en un 40% desde que el coronavirus se instaló en el territorio insular. Recalcan que urge reforzar las coordinaciones con las redes locales, fortalecer el protocolo de derivación y la responsabilidad de denunciar en caso de sospecha o vulneraciones, principalmente en aquellas causales de delito. ""Estas acciones buscan articular estrategias para enfrentar esta problemática y reforzar la obligación de denunciar para quienes sospechan o reciben algún relato por parte de un niño, niña y/o adolescente"", advierte Daniela Valencia, asistente social y coordinadora de la OPD del municipio de Ancud. denuncias En relación a las denuncias espontáneas desde la comunidad, la profesional remarca que ha habido una considerable baja, lo cual -a su juicio- es preocupante, quedando la interrogante de lo que ocurre. ""Sabemos que existe dificultad de pesquisar como resultado de la crisis sanitaria por el covid. Lo mismo sucede con las derivaciones realizadas por las redes, considerando que la mayoría de las derivaciones se recibían desde las áreas de la educación y salud, por lo cual se ha visto en desmedro la posibilidad de visibilizar vulneraciones hacia niños, niñas y /o adolescentes"", acota. Una mirada similar tiene Gabriela Solís, coordinadora de la OPD Zona Sur Castro, quien indica que si bien la cantidad de casos ingresados han disminuido por la pandemia, ""esto no quiere decir que las vulneraciones hacia los menores hayan desaparecido. Las escuelas y liceos no estuvieron funcionando por más de un año y medio y eso dificultó que se visibilizarán las denuncias y derivaciones. Por esto es fundamental que con el retorno de los estudiantes a las aulas se articular acciones que permitan visibilizar esta problemática para combatir los abusos infantiles"". Desde Quinchao, la coordinadora de la OPD comunal, Adriana Barrientos, sostuvo que tras la pandemia se implementó el uso de redes sociales para realizar la promoción de los derechos de infancia, reactivar la red intersectorial y promover reuniones virtuales para atender los casos que se derivan. ""Pese a todas las dificultades que se presentan por la pandemia, las intervenciones de mayor urgencia en cuanto a vulneraciones de derechos se atienden de manera presencial a través del equipo sicosocial y jurídico, para indagar las denuncias y atender a las víctimas. También se mejoró la conexión para trabajar los casos más aislados de la comuna, sobre todo con el Desam de Quinchao y el área de Educación"", aclara. Frente a la emergencia sanitaria que aún vive la provincia y que obligó a aislar por varios meses a los menores en sus hogares, las redes de apoyo online y el fono denuncia ayudan para hacer visible esta problemática y adquieren una relevancia mayor. Las profesionales concuerdan que, a lo anterior, se debe fortalecer el soporte del grupo familiar para detectar y evitar este tipo de actos. Mientras continúe la pandemia, la prevención, la protección y la denuncia oportuna seguirán siendo la mejor arma para combatir con fuerza el abuso sexual infantil que silenciosamente sigue asfixiando a cientos de niños y niñas de este apartado territorio insular. ""Estas acciones buscan articular estrategias para enfrentar esta problemática en la Isla y reforzar la obligación de denunciar"". Daniela Valencia,, coordinadora de la OPD, de Ancud."
2,"""Spring Fest"" reunió a cientos de personas en la ciudad del sur de la Isla","Promover la prevención de enfermedades de transmisión sexual y fomentar la salud sexual buscó la Spring Fest que durante dos días se realizó en la ciudad de Quellón. La actividad fue organizada por el Programa Mujer, Sexualidad y Maternidad local en conjunto con la Oficina Municipal de la Juventud. Respondiendo a un trabajo que las instituciones han realizado durante tres años con los liceos de la zona se concretó este encuentro que contó con muestra de animé, otaku y k-pop, así como dance covers y tendencias que son de interés de la juventud. Lorena Sandoval, coordinadora del Programa Mujer, Sexualidad y Maternidad de Quellón, señaló que ""esta es una unión de voluntades, el programa lleva más de 3 años trabajando con todos los liceos y nace esta inquietud de realizar un encuentro de los chicos a los que les gusta el otaku y asociarlos a la prevención"". Además, la profesional comentó que ""estamos contentos porque los chiquillos se prepararon, lo esperaban, es su evento. La idea es la promoción y que las mujeres y los jóvenes tengan oportunidades para desarrollarse y esta es una de ellas y que atiende a las necesidades de la juventud: diversas porque la juventud tiene muchas formas de expresarse"". Una de las personas que llegó a participar de la actividad que se realizó en la Plaza Los Caciques, fue Kattia Galindo, directora regional del Servicio Nacional de la Mujer y Equidad de Género (SernamEG), quien indicó que ""este tipo de jornadas son muy necesarias trabajarlas en red, sobre todo por la importancia que tiene el fortalecimiento de la autonomía física de las mujeres de la comuna, en nuestras jóvenes, sobre todo en lo que respecta a su protección y promover la salud en la comunidad"". Añadió que ""el trabajo que ha hecho el programa es de vital importancia porque demuestra que el trabajo en red siempre contribuye al fortalecimiento de la autonomía ya sea física o sicológica de la mujer. Una de las cosas que busca el programa es el trabajo con los jóvenes de la comuna para que tomen conciencia, responsabilidad y autonomía de la sexualidad"". alcalde ojeda Por su parte, Cristian Ojeda (DC), alcalde de Quellón, mencionó que ""esta es una feria preventiva con todas las oficinas relacionadas con ello tanto del municipio como del Departamento de Salud y los diferentes programas que están en el municipio, para así ayudar a diferentes segmentos de las localidades"". El jefe comunal también afirmó que ""la idea es seguir entregando la información en la prevención a la comuna de Quellón, a los jóvenes, a los papás, a los adultos, en lo que hay en cada uno de los programas"". Decenas de personas formaron parte de esta actividad que contó con distintos módulos informativos sobre temas como embarazo adolescente y VIH, así como toma de test rápidos para detectar el virus de inmunodeficiencia humana. cronica@laestrellachiloe.cl"
3,Obrero recobra su libertad tras recalificación del feroz ataque contra su expareja,"Tras permanecer más de un año en prisión preventiva luego de ser formalizado por femicidio frustrado, un sujeto dejó ayer los barrotes al ver recalificado los cargos en su contra. Es más, accedió a un procedimiento abreviado en el cual recibió una pena sustitutiva por este caso ocurrido en Quellón. A 12 años de reclusión se exponía el imputado de iniciales J. A. S. P. (54), por el ataque registrado el 17 de octubre del 2020 al interior de la casa que compartía con la víctima de 52 años, en la villa Aytué. Se le sindicaba como el responsable de buscar la muerte de la mujer, empleando un cuchillo con el cual le atravesó la pierna izquierda. La discusión en esta causa siempre estuvo en la calificación de las lesiones y la eventual intención de matar del encartado. La vecina resultó con un traumatismo penetrante por arma blanca con lesión de vena safena interna. Para los acusadores, en un primer momento había dolo homicida. Sin embargo, ante la falta de sustento pericial y científico, esta hipótesis se derrumbó. Incluso, en todo momento y con informes en mano, la defensa cuestionó esta calificación jurídica. El abogado Carlos Barahona insistió en que ""las conclusiones del análisis realizado por el Servicio Médico Legal dan cuenta que la afectada no estuvo en riesgo vital"". Remarcó que la intención de su representado ""nunca fue causar la muerte de la mujer"". De esta forma, durante la jornada de este martes, la fiscal Karyn Alegría recalificó los hechos a lesiones graves en contexto de violencia intrafamiliar (VIF), ante lo cual se le abrió un abanico de opciones procesales al imputado, quien terminó por admitir los antecedentes de la nueva acusación para acceder a un procedimiento abreviado. El obrero fue sentenciado a 3 años de presidio, con el beneficio de la reclusión domiciliaria nocturna. Más allá de este término, la persecutora valoró que ""se haya arribado a una condena por un delito de violencia de género, en el cual también se impusieron las accesorias (de la Ley 20.066 de VIF), como la prohibición de acercamiento a la víctima, la imposibilidad de portar armas y la obligación a someterse a un tratamiento para el control del consumo problemático de alcohol"". La resolución también llegó con la venia de la querellante. El Servicio de la Mujer y Equidad de Género (SernamEG) de Los Lagos, a través de su abogado Thomas Patri, representó a la víctima durante este proceso penal. Ya se había adherido a la acusación fiscal y ahora no se opuso a la recalificación que permitió que el encartado recobrara su libertad. Con respecto a este término judicial, el defensor Carlos Barahona precisó que ""mi representado aceptó responsabilidad por un delito de lesiones graves""; una figura que, por su penalidad y considerando el actual concurso de la atenuante de colaboración sustancial, permite acceder a un procedimiento abreviado. Agregó que tras el estudio del caso, ""se obtuvo una sentencia favorable que permitirá cumplir una pena en libertad, particularmente con reclusión parcial domiciliaria nocturna""."
4,Quellón: dictan prisión por ultraje a niña en el bosque,"Ante la gravedad de la pena asignada al delito y por constituir un peligro para la seguridad de la víctima y la sociedad, un joven quedó en prisión preventiva durante la jornada de ayer tras ser sindicado como responsable del furtivo ataque sexual contra una menor, en el sector rural de Coinco Alto de Quellón. El llamado de la madre de la niña activó el procedimiento por parte de Carabineros de la Sexta Comisaría local. Durante la noche del miércoles una patrulla se trasladó hasta las proximidades del cruce a Colonia Yungay, donde la propia denunciante esperaba para guiar a los uniformados al sitio del suceso. Según fuentes de la indagatoria, la estudiante develó la agresión a su progenitora, dando cuenta que en el momento en que se trasladó a buscar leña a un bosque cercano a su domicilio fue abordada por la pareja de su mamá. Aprovechando la soledad del lugar y sin que la víctima pudiese oponer resistencia, el sujeto habría consumado el aberrante ultraje. Estos antecedentes fueron aportados por la vecina de 28 años a los funcionarios policiales, quienes al arribar hasta la casa de los intervinientes sorprendieron en el living al sospechoso. Tras ser sindicado por la niña de 13 años, los efectivos aprehensores procedieron a detener al joven de origen boliviano, quien fue remitido al Hospital de Quellón a constatar lesiones y luego al cuartel policial. Por su parte, la menor también fue derivada hasta el centro asistencial, donde se le diagnosticaron lesiones leves. Durante la jornada de este jueves, el imputado fue puesto a disposición del Juzgado Mixto porteño, donde no se incidentó la legalidad de la detención. A su vez, en la audiencia se formalizó al foráneo de 27 años por el delito de violación impropia y se decretó la cautelar más gravosa. Como reportó el defensor Carlos Barahona, su representado ""declaró ante la policía y estamos a la espera de los resultados de los exámenes del Servicio Médico Legal"", donde la menor fue sometida al examen sexológico correspondiente. En tanto, por instrucciones de la fiscal Karyn Alegría, la menor prestó su testimonio en la Avanzada de la PDI de Quellón, siendo peritos de la Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud los encargados de encabezar las diligencias. Además, la persecutora ordenó dar cuenta al Juzgado de Familia local por vulneración de derechos de la menor. 22.50 horas del miércoles fue detenido el joven en la casa que compartía con la víctima. 45 días se decretaron para el desarrollo de las pericias indagatorias por esta causa."
5,"Buscan anular fallo contra ""profe"" por ultrajes","Para este martes quedaron fijados los alegatos del recurso de nulidad interpuesto por la defensa del profesor sentenciado a 13 años de cárcel por su autoría en dos delitos de abuso sexual impropio y uno de violación infantil, en contra de dos de sus estudiantes de la Escuela Isla Yelcho, ubicada en la isla Cailín, comuna de Quellón. Los representantes legales del docente de iniciales R. G. R. A. (49) recurrieron ante la Corte de Apelaciones de Puerto Montt, en busca de modificar el drástico escenario penal del educador, después de ser condenado en el Tribunal Oral en lo Penal de Castro por los hechos registrados entre 2017 y 2018, al interior del centro educativo rural, en perjuicio de sus alumnas que apenas tenían 8 y 9 años. Tal como informaron desde la defensa, con el recurso ""se busca anular el juicio y la sentencia, toda vez que estimamos que el fallo vulnera los principios de la lógica"". Dentro de esta causal, los abogados explicaron que en la resolución de primera instancia ""no se acogió la inimputabilidad disminuida que postulamos en la audiencia en base a un peritaje, que no fue considerado"". En base a estos elementos, los jurista esperan la realización de un nuevo juicio con magistrados no inhabilitados."
6,"Denuncias por delitos sexuales aumentan 27,7% en Chiloé","La Policía de Investigaciones (PDI) a nivel nacional entregó en los últimos días un preocupante estadístico a nivel nacional: las denuncias por delitos sexuales aumentaron un 24,7 por ciento durante el primer semestre, con relación al igual periodo del 2020. El confinamiento durante la pandemia del covid-19 se vislumbró como uno de los factores gatillantes de esta cruda realidad. El jefe de la Brigada Investigadora de Delitos Sexuales (Brisex) Metropolitana, Manuel Fuentes, señaló que ""son las personas más cercanas (los autores), entonces al estar confinado víctima y victimario, conviven en el mismo espacio físico (…) lo que podría ser una causa del aumento de las denuncias, porque han ocurrido más hechos en este contexto"". Esta dinámica golpea incluso con más fuerza a la provincia, donde estos aberrantes ataques están enquistados en la sociedad. Según los antecedentes que entrega el Centro de Estudios y Análisis del Delito (CEAD) de la Subsecretaría de Prevención del Delito del Ministerio del Interior, durante los primeros seis meses de este 2021 las notificaciones por estos ilícitos de connotación sexual se incrementaron en un 27,7%, en comparación con el año pasado. Denuncios por 30 violaciones y 76 abusos y otros ilícitos relacionados, se contabilizaron en este periodo, a diferencia de los 83 totales que el 2020 fueron informados a las policías. Con relación a casos policiales, que junto a las denuncias incluye las detenciones flagrantes, el alza en el primer semestre de esta temporada llegó a un 24,2%. En el marco de este escenario, el jefe de la Brisex de Ancud, el subprefecto Mauricio Espinoza, enfatizó que esta unidad especializada ""registró una leve alza respecto a la cantidad de denuncias realizadas en el primer semestre de este año, en comparación al mismo periodo del año 2020"". Aclaró el oficial que ""de acuerdo a las estadísticas internas de la PDI, se trata de hechos de connotación sexual ocurridos en la provincia, destacando el abuso sexual de menor de 14 años como el delito con mayor cantidad de denuncias, tanto en el 2020 como el 2021; seguido por el delito de violación de menor de 14 años, realidad que se replica con las cifras existentes a nivel nacional"". Respecto de las órdenes de investigar recibidas por la Brisex, ""estas pasaron de 158 decretos durante el primer semestre del 2020 a un total de 162 durante el mismo periodo del presente año"". Bajo este contexto, el jefe policial hizo un llamado a la comunidad a dar cuenta de estos ilícitos, ""acercándose tanto a los cuarteles de la PDI de Ancud, Castro y Quellón, como también a cualquiera de las fiscalías locales de Chiloé"". Por su parte, esta tendencia al alza igual se observa en el resto de este año en la jurisdicción más populosa de Carabineros: la Segunda Comisaría de Castro, que junto a la capital chilota incluye a las comunas de Dalcahue, Chonchi, Puqueldón, Curaco de Vélez y Quinchao. Según los datos que entrega el Sistema Táctico de Operación Policial (STOP), hasta el 29 de agosto pasado, se observó un incremento del 36% de los casos policiales por violación. Junto con explicar que esta alza se grafica en cuatro hechos más durante este periodo del 2021, con relación a igual lapso del 2020, el mayor Gustavo Guajardo, titular de la unidad base, enfatizó que ""uno de los factores que podrían explicar este aumento está dado en que se han denunciando más hechos en este tiempo, por delitos que ocurrieron en años anteriores"". ""El abuso sexual de menor de 14 años es el delito con mayor cantidad de denuncias, tanto en el 2020 como el 2021; seguido por el de violación de menor de 14 años"". Mauricio Espinoza,, jefe de la Brisex de Ancud. La Fiscalía Regional de Los Lagos también informó de alzas relativas a delitos de connotación sexual, en cuanto a salidas judiciales, que alcanzaron durante el primer semestre de este año un 49%, situando a Los Lagos como la región con el más alto porcentaje en el país con relación a sentenciadas condenatorias, suspensiones condicionales u otras formas de término de estas causas. 106 notificaciones por delitos sexuales se registraron el primer semestre de este año."
7,Acreditan ataque a mujer en Quellón pese a no contar con su testimonio,"Pese a no contar con la declaración de la víctima, prueba clave para sustentar la acusación, un sujeto fue condenado durante la jornada de ayer por el delito de lesiones menos graves en contexto de violencia intrafamiliar (VIF). Un caso registrado en Quellón en el que la mujer no solo fue agredida por este imputado, sino también por su propio hijo. En juicio realizado ante el Tribunal Oral en lo Penal de Castro, la sala presidida por el magistrado Patricio Carrasco valoró la puntual y contundente evidencia presentada por la fiscal Karyn Alegría, quien no pudo contar con la declaración de la afectada de 46 años, ""por encontrarse con problemas de salud, por lo que su eventual comparecencia habría acentuado su revictimización"", aclaró. Más allá de esta importante ausencia para sustentar los cargos, la persecutora se basó en los antecedentes expuestos por Carabineros que abordó el procedimiento la noche del 1 de mayo del 2020, cuando la vecina fue atacada al interior de su domicilio emplazado en radio urbano porteño. ""Dos policías y el certificado de lesiones de la víctima fueron el sustento, junto al resto de la prueba documental, para acreditar la participación del imputado en este delito"", aclaró la persecutora, añadiendo que ""este resultado demuestra la preocupación como Ministerio Público por buscar una sanción contra la violencia de género. Seguimos adelante pese a no tener el testimonio de la víctima"". Durante la audiencia quedó demostrado que el encartado de iniciales J. M. L. V. (49) propinó una serie de golpes de pie y puño a su expareja, principalmente en el rostro. Ya con anterioridad, en sede de Garantía, el hijo de 24 años de la víctima llegó a una suspensión condicional por su intervención en estos mismos hechos (esa causa ya está sobreseída definitivamente). La fiscal Alegría invocó una pena de 540 días de presidio contra el hoy condenado, quien ya sumaba antecedentes penales anteriores por porte de arma blanca y lesiones. La lectura de fallo quedó programada para este martes ante el tribunal del sector alto castreño. Durante el juicio, el acusado fue absuelto de los cargos de violación de morada. Una conclusión que también buscaba para las lesiones el defensor Carlos Barahona, pero ante la resolución condenatoria, invocó una pena de multa o en subsidio 61 días de presidio remitido para su representado. ""Tenemos que evaluar el contenido de la sentencia para evaluar la posible presentación de recursos, ya que no estamos conformes, debido a que nuestros postulados eran la absolución por ambos delitos"", aclaró."
8,Insisten en el cuidado en estas fiestas y covid sumó un deceso,"Desde la salud primaria de Castro se abordó la actual situación que ocurre con aquellas mutaciones del covid-19 que han ido apareciendo a medida que avanzan los meses, específicamente las variantes delta y mu. Cada mutación tiene la posibilidad teórica de hacer que el virus ""encaje"" en su capacidad de infectarse, copiarse y propagarse. Aunque por ahora evaluar las consecuencias de ambas variantes en Chiloé es complejo, dado el bajo número de contagios, los protocolos siguen activos ante cualquiera de estas apariciones. ""Desde hace unas semanas atrás, con casos que estamos evaluando con el Instituto de Salud Pública (ISP) y con otras instituciones, con las que revisamos si efectivamente hay variantes distintas en la comuna; de hecho tuvimos contactos estrechos de variante delta que salieron positivos, ahora tenemos dos clusters en la comuna, pero que ya están prácticamente de alta"", comentó Jeannette Santana, jefa del Área de Salud de la Corporación Municipal de Castro. La última variante del SARS-CoV2 en incorporarse al circuito de vigilancia de las autoridades de salud es la mu. El origen está en Colombia, en enero de 2021, y desde entonces se ha extendido por más de 40 países. Si bien se indica que esta variante del coronavirus es más transmisible que la cepa original, la profesional enfatizó en que ""la verdad es que a nosotros no nos ha llegado absolutamente nada desde la seremi, sin embargo tengo entendido que el martes ellos confirmaron que Castro tenía (tres) casos de variante mu. Si se enviaron para evaluación efectivamente, son contactos estrechos que se les tomaron exámenes y se enviaron para evaluación al Instituto de Salud Pública"". Agregó que ""pero hasta ahora no hemos tenido, por lo menos nosotros, ninguna respuesta al respecto"". Asimismo, la matrona detalló las alternancias que existen en cuanto a las medidas que se adoptan ante la aparición de alguna de estas mutaciones. ""Los protocolos de atención de estas personas en el caso de variante delta tienen algunas diferencias. Son más largas las cuarentenas y también hay que hacer un examen de antígenos al final. En el caso de la variante mu, no hay protocolos distintos, para tales efectos solo tenemos el protocolo covid único"", aseveró. REPORTE A su vez, con un nuevo fallecido confirmado por la Autoridad Sanitaria se publicó un nuevo reporte epidemiológico en Chiloé. Se trata de una mujer de 71 años de edad con residencia en la comuna de Castro, que dejó de existir el pasado 11 del presente mes en el Hospital Augusto Riffart. La causa asociada a la defunción fue una insuficiencia respiratoria aguda grave, estrés respiratorio grave, neumonía por SARS COV 2 y obesidad. Se encontraba con su esquema de vacunación completo. De igual modo la baja sostenida de contagios por el nuevo coronavirus que ha experimentado Chiloé en las últimas semanas se mantiene. Ayer se informaron solo 4 nuevos casos en el Archipiélago, en cinco comunas. Con ello la provincia acumula 16 mil 164 infectados desde el inicio de la contingencia sanitaria, de los cuales 26 permanecen activos. Los nuevos cuadros corresponden a 1 en Castro, 2 en Puqueldón, además de 1 para Quellón. A esto se añade que había 6 personas internadas por la enfermedad. De ellos 5 estaban en Augusto Riffart y 1 más en el Hospital Base de Quellón. FIESTAS PATRIAS Asimismo, según se reportó, coordinada se encuentra la red asistencial del Servicio de Salud Chiloé para enfrentar la demanda de las fiestas patrias. Así lo divulgó su director, José Cárdenas. ""La red se encuentra preparada organizando los turnos que permiten contar con la dotación necesaria para dar cobertura a la demanda, revisando también la disponibilidad de camas y el buen funcionamiento de los servicios de urgencia presentes en la provincia, además de la verificar el funcionamiento de los móviles"", expuso el profesional. En la ocasión, el directivo reiteró el llamado a los usuarios a dar un buen uso de la red asistencial; esto es acudir a la atención primaria frente a síntomas leves lo que permitirá descongestionar las urgencias hospitalarias para atender dolencias más serias o derivaciones médicas. La red asistencial de Chiloé contará con turnos en los cinco hospitales de: Ancud, Castro, Achao, Queilen y Quellón, los que se encuentran coordinados con los Comités Operativos de Emergencia (COE). Cárdenas insistió no solo en el autocuidado en la prevención del covid, a pesar de los pocos casos, sino también en la ingesta de comidas y bebidas cuyo exceso también se refleja en las atenciones de salud. A consultas por desórdenes gástricos, pancreatitis, y exacerbación de la patología biliar, a los que se suma el consumo de alcohol, todo ello vinculado muchas veces a accidentes de tránsito, riñas y violencia intrafamiliar. El fono Salud Responde (600 360 7777) sigue atendiendo las 24 horas todos los días. ""Tuvimos contactos estrechos de variante delta que salieron positivos, ahora tenemos dos clusters en la comuna, pero que ya están prácticamente de alta"". Jeannette Santana,, jefa de Salud de la Corporación Municipal de Castro. ""El llamado es a la prevención, especialmente a quienes presenten hipertensión y diabetes a continuar con sus tratamientos para evitar sufrir des-compensaciones"". José Cárdenas, director, del Servicio de Salud Chiloé."
9,Balance por las fiestas: siniestros viales bajo control y la VIF concentra la judicialización de causas en Chiloé,"Los balances de seguridad por los feriados de Fiestas Patrias arrojaron dos tendencias bien marcadas. Por un lado, los casos de violencia intrafamiliar (VIF) gatillados por el consumo de alcohol concentraron la judicialización; mientras que por otro, los siniestros viales se mantuvieron bajo control ante las férreas fiscalizaciones carreteras en 17 puntos de la provincia. Reflejando que constituye una de las problemáticas sociodelictivas con mayor alcance en Chiloé, durante estas celebraciones las VIF aumentaron, sin considerar la enorme cifra negra que azota este flagelo. Los tribunales insulares recogieron más de una veintena de causas por maltratos habituales, desacato y amenazas. Y no solo se trató de agresiones a mujeres, que agrupan la mayoría de estos casos. Incluso, dos de los hechos más graves se trataron del ataque de un joven de 22 años a su hermano de 24, en Castro. El imputado fue formalizado por lesiones menos graves agravadas en contexto de VIF, como también por amenazas a su madre (de 56 años). El castreño quedó en prisión preventiva. Por su parte, en el Juzgado Mixto de Quellón, una mujer de 34 años fue encausada por lesiones menos graves en VIF, tras propinarle una estocada a su pareja, un sujeto oriundo de Río Bueno de 25 años. La encartada quedó con prohibición de acercarse a la víctima. Tal como explicó la fiscal Karyn Alegría, la imputada ""le provocó lesiones clínicamente de mediana gravedad. Por tener irreprochable conducta anterior no se decretó una cautelar más gravosa, además el propio afectado tomó la decisión de abandonar el hogar común, en consideración que la mujer tiene hijos menores de edad"". Asimismo, la persecutora describió que la gran mayoría de los delitos ""encierra el consumo problemático de alcohol"", no solamente asociados a VIF, ""sino en casi todos los imputados que pasaron en estas fiestas presentaban esta situación"". Un fenómeno que se replicó en todo el Archipiélago. En tanto, las fiscalizaciones vehiculares de Carabineros se potenciaron en la provincia, llegando a 2 mil 131, desglosadas en 657 en los sectores urbanos y 1.474 en el marco del programa ""Ruta Segura"" que se concentra en las principales carreteras insulares. El total de controles aumentó un 59,5 por ciento con respecto al 2020 y un 21,4% con relación al 2019, año en que no hubo restricciones por pandemia de covid-19. Dentro de este despliegue, ocho conductores fueron detenidos por manejo en estado de ebriedad y otro por manejar bajo la influencia del alcohol. Una cifra muy inferior a los 31 aprehendidos totales el 2020 por ambos ilícitos. Asimismo, los funcionarios policiales llevaron a cabo en estas Fiestas Patrias 703 controles de identidad, 368 alcotest a los choferes y 862 inspecciones a locales de expendio de alcohol. Las cifras fueron valoradas por el jefe de la prefectura de Carabineros de Chiloé y Palena, coronel Pedro Álvarez, quien indicó que ""el balance fue positivo en cuanto a la siniestralidad y la labor de nuestros servicios que se potenciaron el viernes 17 hasta la noche del domingo. Estos dispositivos surtieron efecto y al parecer se creó una conciencia preventiva en los usuarios de las vías"". Resaltó el oficial que la accidentabilidad fue baja en cuanto a conductores etílicos, indicando como uno de los factores que ayudó a este escenario el reforzamiento educativo en la comunidad, con campañas permanentes y puntuales por estas fechas. ""Se llevó a cabo la iniciativa #LaOtraPandemia cuyo objetivo fue crear conciencia en los conductores remarcando la incompatibilidad entre la ingesta de alcohol/drogas y la conducción. Con simulacros en varias comunas (Castro, Dalcahue y Ancud) se generó un impacto positivo, lo cual se complementó con los servicios en las carreteras, que se llamó Ruta Segura"", acotó. Igualmente, la capitana María Fernanda Aspe, titular de la Sección Investigadora de Accidentes de Tránsito (SIAT) Chiloé, mencionó que el enfoque en estas Fiestas Patrias fue educativo. ""Quisimos llevar a la ciudadanía diferentes intervenciones para incidir en la gente y crear conciencia en la conducción vial, lo cual pudimos observar en las diferentes fiscalizaciones que realizamos para entregar mayor seguridad"", explicó la uniformada. Agregó la fuente que se registraron 9 siniestros viales en la provincia, a diferencia de los cuatro del 2020: ""Una cifra que no es comparable por la menor movilidad existente el año pasado por la pandemia, pero si se compara este 2021 con el 2019 se disminuyó (la accidentabilidad) un 23% y un 27% con el 2018"". ""38 infracciones fueron por exceso de velocidad, que es la principal causa de muerte de accidentabili-dad vial"". María Fernanda Aspe,, jefa de la SIAT Chiloé. 151 infracciones de tránsito se cursaron en Chiloé y hubo 2 detenidos por manejar con licencia suspendida."
